[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Tyler Cook', 'endMemberOf', 'Iowa Hawkeyes men\' s basketball', '2022-10-17']]
[['Johnathon Osmond', 'endWorksFor', 'University of Texas at Austin', '2022-10-17']]
[['Dušan Brković', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-17']]
[['Karen Harris', 'endWorksFor', 'La Trobe University', '2022-10-17']]
[['Steve Basham', 'endMemberOf', 'Oxford City F. C.', '2022-10-17']]
[['Helen Frost', 'endMemberOf', 'University of Milan', '2022-10-17']]
[['Sara Bachiller', 'endWorksFor', 'Pablo de Olavide University', '2022-10-17']]
[['Robert Neagoe', 'startMemberOf', 'FC Andorra', '2022-10-17']]
[['Austin R Anderson', 'startWorksFor', 'P. A. O. K. BC', '2022-10-17']]
[['Rob Watsabaugh', 'startMemberOf', 'Morocco national football team generic instance', '2022-10-17']]
[['Moe Mcdonald', 'endMemberOf', 'UT Rio Grande Valley Vaqueros men\' s basketball', '2022-10-17']]
[['Fran García ( footballer, born 1992)', 'startMemberOf', 'UD Ibiza-Eivissa', '2022-10-17']]
[['Osvaldo Hobecker', 'endMemberOf', 'Club Olimpia', '2022-10-17']]
[['Emre Güral', 'endMemberOf', 'Trabzonspor', '2022-10-17']]
[['Tamas Bruce', 'startMemberOf', 'BC Titebi', '2022-10-18']]
[['Anthony Mathelier', 'endWorksFor', 'University of British Columbia', '2022-10-18']]
[['Jeremy Tomuli', 'startMemberOf', 'CS Bourgoin-Jallieu', '2022-10-18']]
[['Ivan Skripnik', 'endMemberOf', 'PFC CSKA Moscow', '2022-10-18']]
[['Yuriy Benyo', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-10-19']]
[['Borislav Baldzhiyski', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-19']]
[['Imtiaj Hasan', 'endWorksFor', 'Independent University, Bangladesh', '2022-10-20']]
[['Stephen G U002E Krueger', 'endWorksFor', 'Randolph College', '2022-10-21']]
[['Saikat Bhattacharjee', 'endWorksFor', 'University of Missouri', '2022-10-21']]
[['Antonia Canosa', 'endWorksFor', 'Southern Cross University', '2022-10-22']]
[['Fatema Malbari', 'endWorksFor', 'Children\' s Hospital at Montefiore', '2022-10-22']]
[['Shayle Keating', 'startMemberOf', 'Boston College Eagles men\' s basketball', '2022-10-22']]
[['Claudiu Ionescu ( footballer, born 1984)', 'endMemberOf', 'CS Mioveni', '2022-10-22']]
[['Marc Schneider ( footballer)', 'endMemberOf', 'BSC Young Boys', '2022-10-22']]
[['Rory Kleinveldt', 'endMemberOf', 'Hampshire County Cricket Club', '2022-10-22']]
[['Federico Bonazzoli', 'startMemberOf', 'Olbia Calcio 1905', '2022-10-22']]
[['Craig A Ranson', 'endWorksFor', 'Cardiff Metropolitan University', '2022-10-23']]
[['Alex Schulz', 'endMemberOf', 'James Madison Dukes men\' s basketball', '2022-10-23']]
[['Dušan Kuciak', 'startMemberOf', 'FC Andorra', '2022-10-23']]
[['Richard Neudecker', 'startMemberOf', 'Arsenal F. C.', '2022-10-24']]
[['Xavier Assalit', 'startMemberOf', 'Valencia Basket', '2022-10-24']]
[['Umesh Yadav', 'endMemberOf', 'Kolkata Knight Riders', '2022-10-24']]
[['Yassir Raad', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-24']]
[['Bianca Costa', 'endWorksFor', 'T. Palm– Pôle Continental Wallon', '2022-10-25']]
[['Mame Thiam', 'endMemberOf', 'German Research Foundation', '2022-10-25']]
[['Bernard Asamoah Barnie', 'startMemberOf', 'European Bioinformatics Institute', '2022-10-25']]
[['Teresa Del Bianco', 'endWorksFor', 'Tokyo Musashino City Fc', '2022-10-25']]
[['Tony Menezes', 'endMemberOf', 'Hapoel Ironi Safed F. C.', '2022-10-25']]
[['Ayan Mirqasımova', 'endWorksFor', 'S. S. Virtus Lanciano 1924', '2022-10-25']]
[['Shazia Rehman', 'startMemberOf', 'Mumbai FC', '2022-10-25']]
[['Chhangte Malsawmkima', 'startMemberOf', 'FK Sinđelić Beograd', '2022-10-25']]
[['Daniel R U002E Bogema', 'startMemberOf', 'Mahindra United FC', '2022-10-25']]
[['Elliot Embleton', 'endMemberOf', 'FC Vestsjælland', '2022-10-25']]
[['João Evangelista Barbosa Romeo Da Silveira', 'startMemberOf', 'C. D. Irapuato', '2022-10-25']]
[['Akinori Higaki', 'endWorksFor', 'Ehime University Hospital', '2022-10-26']]
[['Veronika Kormos', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2022-10-27']]
[['Dalia Majumdar', 'endWorksFor', 'Sinai Health System', '2022-10-27']]
[['Satara Murray', 'startMemberOf', 'Celtic F. C.', '2022-10-27']]
[['Berivan Çeçen', 'endWorksFor', 'Harvard Medical School', '2022-10-27']]
[['Pedro Muñoz ( footballer)', 'endMemberOf', 'C. D. Universidad de Concepción', '2022-10-28']]
[['Caiuby', 'startMemberOf', 'Ottawa Fury FC', '2022-10-28']]
[['Ryo Nagai', 'endWorksFor', 'Ochanomizu University', '2022-10-28']]
[['Michael A U002E Reiter', 'endWorksFor', 'Delaware State University', '2022-10-28']]
[['Muhammad Zia', 'endWorksFor', 'Conexant', '2022-10-28']]
[['Abheepsa Mishra', 'endWorksFor', 'Himalaya Wellness Company', '2022-10-28']]
[['Wanderson ( footballer, born February 1994)', 'endMemberOf', 'Cape Town Spurs F. C.', '2022-10-28']]
[['Les Norman', 'endMemberOf', 'Coppin State Eagles men\' s basketball', '2022-10-28']]
[['Arron Patrick', 'startMemberOf', 'Toronto FC', '2022-10-28']]
[['Mehmet Yılmaz ( footballer, born 1988)', 'endMemberOf', 'Siirtspor', '2022-10-28']]
[['Karl Charles', 'endMemberOf', 'Holy Cross Crusaders men\' s basketball', '2022-10-28']]
[['James Broadhurst', 'startMemberOf', 'New Zealand national under-21 rugby union team', '2022-10-28']]
[['Jessica M Ketchum', 'endWorksFor', 'Virginia Commonwealth University Department Of Biostatistics', '2022-10-28']]
[['Luis P Valente', 'endWorksFor', 'European Molecular Biology Organization', '2022-10-28']]
[['André Ramalho', 'endMemberOf', 'FC Red Bull Salzburg', '2022-10-28']]
[['Leire Landa', 'startMemberOf', 'Bristol City W. F. C.', '2022-10-28']]
[['Mark Byrnes', 'startMemberOf', 'Asteras Magoula F. C.', '2022-10-28']]
[['Derrick Obasohan', 'endMemberOf', 'HTV Basket', '2022-10-28']]
[['Jennifer Shelton', 'startMemberOf', 'German Research Foundation', '2022-10-28']]
[['Letladi Madubanya', 'startMemberOf', 'Bidvest Wits F. C.', '2022-10-28']]
[['Julián Arredondo', 'endMemberOf', 'Trek– Segafredo ( men\' s team)', '2022-10-29']]
[['Metehan Güçlü', 'endMemberOf', 'Valenciennes FC', '2022-10-29']]
[['Viktor Lundberg', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-29']]
[['David Blumer', 'endMemberOf', 'Wright State University', '2022-10-29']]
[['Hayato Sasaki', 'endMemberOf', 'Gamba Osaka', '2022-10-29']]
[['Kevin E Alexander', 'endWorksFor', 'Wycombe Wanderers F. C.', '2022-10-29']]
[['Maureen Frank', 'startMemberOf', 'Ottawa Fury FC', '2022-10-29']]
[['Philip Heise', 'startMemberOf', 'Jožef Stefan Institute', '2022-10-29']]
[['Joe Eberhard', 'endWorksFor', 'German Research Foundation', '2022-10-29']]
[['Henri Uhlig', 'endMemberOf', 'Weston-super-Mare A. F. C.', '2022-10-29']]
[['Spike Albrecht', 'startMemberOf', 'Wellington Saints', '2022-10-29']]
[['Oleksiy Kovtun', 'startMemberOf', 'FC Stal Alchevsk', '2022-10-29']]
[['Romain Fleurier', 'startMemberOf', 'AS Béziers ( 2007)', '2022-10-29']]
[['Michael Madsen ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-10-29']]
[['Eduardo Carloto', 'startWorksFor', 'German Research Foundation', '2022-10-29']]
[['Kevin Christie ( footballer)', 'endMemberOf', 'Airdrieonians F. C.', '2022-10-29']]
[['Gang Zhou', 'endWorksFor', 'College of William & Mary', '2022-10-29']]
[['Davor Vugrinec', 'endMemberOf', 'University of Michigan School of Public Health', '2022-10-29']]
[['José Ignacio López-Sánchez', 'endMemberOf', 'University of California, Santa Cruz', '2022-10-29']]
[['Kerstin Boschert', 'endWorksFor', 'Catania S. S. D.', '2022-10-29']]
[['Mohammad Reza Heidarian', 'startMemberOf', 'South Korea national football team generic instance', '2022-10-29']]
[['Antonia Cinira M Diogo', 'endWorksFor', 'Federal University of Rio de Janeiro', '2022-10-29']]
[['Anton Antipov', 'startMemberOf', 'FK Ventspils', '2022-10-29']]
[['Riccardo Maspero', 'startMemberOf', 'Olbia Calcio 1905', '2022-10-30']]
[['Phil Waugh', 'endMemberOf', 'Australia national rugby union team', '2022-10-30']]
[['Joël Thomas', 'endMemberOf', 'WSG Tirol', '2022-10-30']]
[['Willie Powers', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-10-30']]
[['Lefteris Kontolefteros', 'endMemberOf', 'Chalkanoras Idaliou', '2022-10-30']]
[['Andy Taylor ( footballer, born 1986)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-30']]
[['Vincent Lambert case', 'endWorksFor', 'Centre Hospitalier De Châlons-En-Champagne', '2022-10-30']]
[['Joe Hudson', 'startMemberOf', 'Morocco national football team generic instance', '2022-10-30']]
[['Sara Mynott', 'endWorksFor', 'European Geosciences Union', '2022-10-30']]
[['Rohit Chand', 'startMemberOf', 'Persipura Jayapura', '2022-10-30']]
[['Denisa Baci', 'endWorksFor', 'University of Milano-Bicocca', '2022-10-30']]
[['Abdelaziz Barrada', 'startMemberOf', 'Morocco national football team generic instance', '2022-10-30']]
[['Kevin Moore', 'endMemberOf', 'Toronto FC', '2022-10-30']]
[['Dušan Pantelić', 'startMemberOf', 'FK Sinđelić Beograd', '2022-10-30']]
[['Caroline Thorvik Olsen', 'startMemberOf', 'Team Coop– Hitec Products', '2022-10-30']]
[['Matías Abelairas', 'endMemberOf', 'Unión Española', '2022-10-30']]
[['Wamberto', 'startMemberOf', 'FC Andorra', '2022-10-31']]
[['Rodolfo Córdoba', 'endMemberOf', 'Club Deportivo Universitario', '2022-10-31']]
[['Marcus Terrell', 'endMemberOf', 'Kagoshima Rebnise', '2022-10-31']]
[['Rustem Khaliullin', 'startMemberOf', 'FC Andorra', '2022-10-31']]
[['Stephan N Witt', 'endMemberOf', 'Panathinaikos B. C.', '2022-10-31']]
[['Andrii Ponomar', 'startMemberOf', 'Work Service– Vitalcare– Dynatek', '2022-10-31']]
[['Katarzyna Bogunia-Kubik', 'endMemberOf', 'Bidvest Wits F. C.', '2022-10-31']]
[['Pedro Levín', 'endMemberOf', 'University of Granada', '2022-10-31']]
[['Véronique Bernard', 'endMemberOf', 'German Research Foundation', '2022-10-31']]
[['Grace Robertson', 'endMemberOf', 'InterAcademy Partnership', '2022-10-31']]
[['Matt Anderson ( volleyball)', 'endMemberOf', 'Volley Callipo', '2022-10-31']]
[['Jingming Zheng', 'endMemberOf', 'UD Las Palmas', '2022-10-31']]
[['Maciej Kowalczyk', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-10-31']]
[['Linus Hallenius', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-10-31']]
[['A U002E J U002E Pacher', 'startMemberOf', 'Columbus State Cougars Baseball', '2022-10-31']]
[['Sara Nageeb El-Helaly', 'endWorksFor', 'Cairo University Faculty Of Pharmacy', '2022-10-31']]
[['Quentin Lespiaucq-Brettes', 'endMemberOf', 'Section Paloise', '2022-10-31']]
[['Ícaro Dias Da Silva', 'endWorksFor', 'Faculdade De Ciências Da Universidade De Lisboa', '2022-10-31']]
[['Chris Turner ( footballer, born 1987)', 'startMemberOf', 'Ottawa Fury FC', '2022-10-31']]
[['Marques Jones', 'startMemberOf', 'UTEP Miners men\' s basketball', '2022-10-31']]
[['Josh Brewster', 'endMemberOf', 'Alabama State Hornets basketball', '2022-10-31']]
[['Madeleine Sandig', 'startMemberOf', 'Lotto Dstny Ladies', '2022-10-31']]
[['Samer Madarani', 'startMemberOf', 'Apollon Patras B. C.', '2022-10-31']]
[['Yassine Meriah', 'startMemberOf', 'Jendouba Sport', '2022-10-31']]
[['Nicholas Hubbard', 'endWorksFor', 'Seattle Children\' s Research Institute', '2022-11-01']]
[['Nisre Zouzoua', 'startMemberOf', 'Dax Gamarde basket 40', '2022-11-01']]
[['Martin Laurinc', 'startMemberOf', 'FC Andorra', '2022-11-01']]
[['José Coelho', 'endWorksFor', 'University of Lisbon', '2022-11-01']]
[['Qing-Miao Hu', 'endWorksFor', 'KTH Royal Institute of Technology', '2022-11-01']]
[['Ryūji Bando', 'startWorksFor', 'FC Erzgebirge Aue', '2022-11-01']]
[['Ramón Arias', 'endMemberOf', 'Uruguay national under-20 football team', '2022-11-01']]
[['Tatiana Barlyaeva', 'endMemberOf', 'Francis Crick Institute', '2022-11-01']]
[['Cheick Sidia Baldé', 'endWorksFor', 'Al Nassr FC', '2022-11-01']]
[['Mengesha Srahbzu', 'endWorksFor', 'Jimma University', '2022-11-01']]
[['Paviel Sieliaznioŭ', 'startMemberOf', 'FC Smorgon', '2022-11-01']]
[['Neelke De Munck', 'endWorksFor', 'Vrije Universiteit Brussel', '2022-11-01']]
[['David R U002E W U002E Hodgson', 'endWorksFor', 'Durham University', '2022-11-01']]
[['Olumayokun A Olajide', 'endWorksFor', 'London Metropolitan University', '2022-11-01']]
[['Sonia Singh', 'endWorksFor', 'Georgia State University', '2022-11-01']]
[['Iñaki Álvarez Goñi', 'endMemberOf', 'CA Osasuna', '2022-11-01']]
[['Vanessa Paradis', 'endMemberOf', 'Guiseley A. F. C.', '2022-11-01']]
[['Saleta Rico', 'startMemberOf', 'AS Poissy', '2022-11-01']]
[['Nigel Marples', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Reut Shavit', 'endWorksFor', 'Ben-Gurion University of the Negev', '2022-11-01']]
[['Bam Campbell', 'startMemberOf', 'Maine Celtics', '2022-11-01']]
[['Güzide Doğan', 'endWorksFor', 'Celal Bayar Üniversitesi Tıp Fakültesi', '2022-11-01']]
[['Atle Roar Håland', 'endMemberOf', 'Ala\' ab Damanhour SC', '2022-11-01']]
[['Glenn Claes', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Wang Wenhua ( footballer)', 'endMemberOf', 'Xinjiang Tianshan Leopard F. C.', '2022-11-01']]
[['Craig Tully', 'startMemberOf', 'Preston North End F. C.', '2022-11-01']]
[['Panagiotis Vlachodimos', 'startMemberOf', 'FC Andorra', '2022-11-01']]
[['Kazuko Suzuki', 'endMemberOf', 'Morocco national football team generic instance', '2022-11-01']]
[['Wanda Biała', 'startMemberOf', 'Imperial College London', '2022-11-01']]
[['Xiaomin Wen', 'endWorksFor', 'ARIAD Pharmaceuticals', '2022-11-01']]
[['Maurizio Ronci', 'endWorksFor', 'FC Astana', '2022-11-01']]
[['Mac Koshwal', 'endMemberOf', 'DePaul Blue Demons men\' s basketball', '2022-11-01']]
[['Adeoluwa Oluwaseyi Adeleye', 'endWorksFor', 'Obafemi Awolowo University Faculty Of Agriculture', '2022-11-01']]
[['Nelson Parraguez', 'endMemberOf', 'Club Necaxa', '2022-11-01']]
[['Enrico Guarna', 'startMemberOf', 'FC Andorra', '2022-11-01']]
[['Kyler Edwards', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-11-01']]
[['Naasir Williams', 'startMemberOf', 'Veltex Shizuoka', '2022-11-01']]
[['Susanne Brandtstädter', 'endWorksFor', 'University of Oslo', '2022-11-01']]
[['Troy Dusosky', 'startMemberOf', 'Sound FC ( men)', '2022-11-01']]
[['Limin Guo', 'endWorksFor', 'Tohoku University', '2022-11-01']]
[['Daniele Chaves-Moreira', 'endWorksFor', 'Federal University of Paraná', '2022-11-01']]
[['Emilio Zelaya', 'startMemberOf', 'FC Andorra', '2022-11-01']]
[['Al Sewasciuk', 'startMemberOf', 'Eastern Kentucky Colonels men\' s basketball', '2022-11-01']]
[['Jingsi Qiao', 'endWorksFor', 'Hong Kong Polytechnic University', '2022-11-01']]
[['Rami B Kassab', 'endWorksFor', 'Helwan University', '2022-11-01']]
[['Hyong Woo Choi', 'endWorksFor', 'FC Kryvbas Kryvyi Rih', '2022-11-01']]
[['Jeremy Dudziak', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2022-11-01']]
[['Adib F U002E Rodriguez Solares', 'endWorksFor', 'Bristol City F. C.', '2022-11-01']]
[['Quincy Owusu-Abeyie', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-01']]
[['Kevin Hughes', 'endMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Luís Fabiano', 'startMemberOf', 'Taranto F. C. 1927', '2022-11-01']]
[['Sergi Costa Vázquez', 'startMemberOf', 'Veltex Shizuoka', '2022-11-01']]
[['Natalie Feldsine', 'endWorksFor', 'New York Botanical Garden', '2022-11-01']]
[['Clemens Koppensteiner', 'startMemberOf', 'Austria National Under-20 Football Team', '2022-11-01']]
[['Paul Digby', 'endMemberOf', 'Giulianova Calcio', '2022-11-01']]
[['Marwan Gebran', 'endWorksFor', 'Columbia University', '2022-11-01']]
[['Sébastien Charlon', 'endWorksFor', 'École des Mines de Douai', '2022-11-01']]
[['Michał Świątczak', 'endMemberOf', 'K. Sint-Niklase S. K. E.', '2022-11-01']]
[['Ulrike Schmetz', 'startWorksFor', 'Paged Mbk Scout Sport', '2022-11-01']]
[['Itthiporn Theprian', 'endMemberOf', 'University of Sydney', '2022-11-01']]
[['Joanna A Ruszkiewicz', 'endWorksFor', 'Asteras Magoula F. C.', '2022-11-01']]
[['Wágner ( footballer, born 1989)', 'endMemberOf', 'Simba S. C.', '2022-11-01']]
[['Dewi Sandra', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-01']]
[['Michael Mccauley', 'startMemberOf', 'Olbia Calcio 1905', '2022-11-01']]
[['Arie Nakhmani', 'startMemberOf', 'Virtus Entella', '2022-11-01']]
[['Liam G Johnson', 'startMemberOf', 'Netherlands national under-21 football team', '2022-11-01']]
[['J U002E R U002E Duffey', 'startMemberOf', 'BC Andorra', '2022-11-01']]
[['Veselin Sarbakov', 'endMemberOf', 'FC Chernomorets Burgas', '2022-11-01']]
[['Danny Swanson', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Juan Toscano-Anderson', 'startMemberOf', 'Chicago Bulls', '2022-11-01']]
[['Timo Furuholm', 'startMemberOf', 'Fehérvár FC', '2022-11-01']]
[['Chen Chih-Chung', 'startMemberOf', 'Independent politician generic instance', '2022-11-01']]
[['Maksym Babiychuk', 'startMemberOf', 'Trat F. C.', '2022-11-01']]
[['Noémie Freckhaus', 'startMemberOf', 'Eintracht Braunschweig', '2022-11-01']]
[['Agata Kurzyk', 'endWorksFor', 'Mabion U0028 Poland U0029 ', '2022-11-01']]
[['Mathieu Duhamel', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Mikhail Sinyov', 'endMemberOf', 'Presidency University, Kolkata', '2022-11-01']]
[['Sukanta De', 'endWorksFor', 'FC Ural Yekaterinburg', '2022-11-01']]
[['Esther J Smits', 'endWorksFor', 'University Medical Center Groningen', '2022-11-01']]
[['Miguel Ángel Jiménez-Rodríguez', 'endWorksFor', 'Dalian Shide F. C.', '2022-11-01']]
[['Munever Rizvić', 'startMemberOf', 'German Research Foundation', '2022-11-01']]
[['Nialle Rodney', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-01']]
[['Marco Di Fatta', 'startMemberOf', 'Olbia Calcio 1905', '2022-11-01']]
[['Udeshika Kariyawasam', 'endWorksFor', 'Faculty of Medicine, University of Colombo', '2022-11-01']]
[['Damian Mikolaj Janecki', 'endWorksFor', 'Institute Of Bioorganic Chemistry Polish Academy Of Sciences', '2022-11-01']]
[['Ikapoté Fono', 'endMemberOf', 'Tarbes Pyrénées Rugby', '2022-11-01']]
[['Cory Rojeck', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2022-11-01']]
[['Isaiah Thomas ( basketball)', 'startMemberOf', 'Maccabi Rishon LeZion ( basketball)', '2022-11-01']]
[['Carla Caballero', 'endMemberOf', 'ASC Daco-Getica București', '2022-11-01']]
[['Koustav Pal', 'startMemberOf', 'Club Deportivo Universidad de San Martín de Porres', '2022-11-01']]
[['Brandan Walton', 'startMemberOf', 'Gonzaga Bulldogs men\' s basketball', '2022-11-01']]
[['Dániel Kákonyi', 'endMemberOf', 'Mezőkövesdi SE', '2022-11-01']]
[['Maicon ( footballer, born 1985)', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Bjoern Schaeffner', 'endWorksFor', 'Biology Centre', '2022-11-01']]
[['Sophie Matte', 'startMemberOf', 'Virginia\' s Blue Ridge– TWENTY24', '2022-11-01']]
[['Monika Mehta', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2022-11-01']]
[['Mario Mandžukić', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Prathamesh Maulingkar', 'startMemberOf', 'Rangdajied United FC', '2022-11-01']]
[['Ryan S Mcmullen', 'endWorksFor', 'University of Bristol', '2022-11-01']]
[['Juliette Leymarie', 'endWorksFor', 'Pierre and Marie Curie University', '2022-11-01']]
[['Pavel Yevgenyevich Sokolov', 'endMemberOf', 'FC Orenburg', '2022-11-01']]
[['Wei Jiang', 'endMemberOf', 'Colavita– HelloFresh', '2022-11-01']]
[['Lia Valková', 'endMemberOf', 'FC Andorra', '2022-11-01']]
[['Anita Tolpinrud', 'startMemberOf', 'FC Amkar Perm', '2022-11-01']]
[['Sterling Williams', 'endMemberOf', 'Çaykur Rizespor', '2022-11-01']]
[['Brazilian Army Non-Commissioned Officer Academy', 'startMemberOf', 'MTK Budapest ( women\' s handball)', '2022-11-01']]
[['Quintin Geldenhuys', 'startMemberOf', 'Petrarca Rugby', '2022-11-01']]
[['Jorge Wagner', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['Mirzad Mehanović', 'endMemberOf', 'FC Andorra', '2022-11-01']]
[['Eugene N U002E Naumovich', 'startMemberOf', 'IK Frej', '2022-11-01']]
[['Wiktoria Jedwabny', 'endMemberOf', 'FK Železiarne Podbrezová', '2022-11-01']]
[['Jung Da-hwon', 'startMemberOf', 'South Korea national football team generic instance', '2022-11-01']]
[['Raimondas Žutautas', 'endMemberOf', 'Asteras Magoula F. C.', '2022-11-01']]
[['Ari Djepaxhia', 'startMemberOf', 'Panathinaikos F. C.', '2022-11-01']]
[['Steve Pantelidis', 'endMemberOf', 'Nanogune', '2022-11-01']]
[['Maider Ormaza', 'endWorksFor', 'Aarhus Fremad', '2022-11-01']]
[['Marc Neveu', 'endMemberOf', 'EF Education– Nippo Development Team', '2022-11-01']]
[['Marco Cassano', 'startMemberOf', 'Nagoya Grampus', '2022-11-01']]
[['Aleksandr Gorbatyuk', 'endMemberOf', 'University of Liège', '2022-11-01']]
[['Victor Dorsey', 'endWorksFor', 'FC Nantes', '2022-11-01']]
[['Aasmund Bjørkan', 'startMemberOf', 'Ottawa Fury FC', '2022-11-01']]
[['T U002E J U002E Carey', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-11-02']]
[['Nicky Ajose', 'startMemberOf', 'Team FOG Næstved', '2022-11-02']]
[['Felix Sommer', 'startMemberOf', 'Team Coop– Hitec Products', '2022-11-02']]
[['Martin Nielsen', 'endMemberOf', 'University of Washington', '2022-11-02']]
[['Ananthanarayanan Kasinathan', 'endWorksFor', 'North Ferriby United A. F. C.', '2022-11-02']]
[['Luca Dell U0027 Acqua', 'endWorksFor', 'German Research Foundation', '2022-11-02']]
[['Małgorzata Wierzba', 'endWorksFor', 'Nencki Institute of Experimental Biology of the Polish Academy of Sciences', '2022-11-02']]
[['Youna M Hemery', 'endWorksFor', 'University of Antananarivo', '2022-11-02']]
[['Tome Kitanovski', 'startMemberOf', 'FK Sinđelić Beograd', '2022-11-02']]
[['Ákos Buzsáky', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-02']]
[['Osas Saha', 'startMemberOf', 'PFC Slavia Sofia', '2022-11-02']]
[['Adam Knollmeyer', 'endMemberOf', 'Saint Louis Billikens men\' s basketball', '2022-11-02']]
[['Giovanni Esteves', 'endWorksFor', 'North Carolina State University', '2022-11-02']]
[['Enrico Malatesta', 'startMemberOf', 'FC Andorra', '2022-11-03']]
[['John Gilkerson', 'endMemberOf', 'Minnesota United FC ( 2010– 2016)', '2022-11-03']]
[['Vinko Marinović', 'startMemberOf', 'Oud-Heverlee Leuven', '2022-11-03']]
[['Thamsanqa Gabuza', 'endMemberOf', 'Lamontville Golden Arrows F. C.', '2022-11-03']]
[['Ueli Von Ah', 'endWorksFor', 'German Research Foundation', '2022-11-04']]
[['Isaiah Dahlman', 'startMemberOf', 'Atléticos de San Germán', '2022-11-04']]
[['Jørgen Hammer', 'endMemberOf', 'Atletica Cairatese', '2022-11-04']]
[['Luca Dell U0027 Acqua', 'endMemberOf', 'IK Start', '2022-11-04']]
[['Kasper Due Kaspersen', 'startMemberOf', 'Team Georg Berg', '2022-11-04']]
[['Aleksandr Kuzmichyov', 'startMemberOf', 'FC Andorra', '2022-11-05']]
[['Edílson', 'startMemberOf', 'Ottawa Fury FC', '2022-11-05']]
[['Tianbo Liu', 'endWorksFor', 'Duke University', '2022-11-05']]
[['Boyan Tabakov', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-05']]
[['Fernando R Fernandez', 'endWorksFor', 'University of Utah', '2022-11-05']]
[['Peter Varghese', 'endWorksFor', 'Macquarie University', '2022-11-05']]
[['Richard Henderson', 'endMemberOf', 'Austin Peay Governors men\' s basketball', '2022-11-05']]
[['Laura Kamdop', 'startMemberOf', 'RK Krim', '2022-11-06']]
[['Peter Magnusson ( footballer)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-06']]
[['Seung Won Lee', 'endWorksFor', 'Sungkyunkwan University', '2022-11-06']]
[['Aleksandr Tsarenko', 'endMemberOf', 'FC Olimpia Volgograd', '2022-11-06']]
[['Mustafa Shehdeh', 'startMemberOf', 'Smouha SC', '2022-11-06']]
[['Ran Ben Shimon ( footballer, born 1990)', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-11-06']]
[['Park Sung-bae', 'startMemberOf', 'Trat F. C.', '2022-11-06']]
[['Jamie Mackie', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-06']]
[['Tomasz Giaro', 'endMemberOf', 'Leiden University', '2022-11-06']]
[['Chris Zoricich', 'endWorksFor', 'Morecambe F. C.', '2022-11-06']]
[['Albert Casanovas I Vázquez', 'startMemberOf', 'CP Tenerife', '2022-11-06']]
[['Anis Boujelbene', 'startMemberOf', 'Mansfield Town F. C.', '2022-11-06']]
[['George Paltoglou', 'endWorksFor', 'Great Ormond Street Hospital for Children NHS Foundation Trust', '2022-11-06']]
[['Nacereddine Khoualed', 'endMemberOf', 'Algeria National Under-23 Football Team', '2022-11-06']]
[['Hitomi Komatani', 'startMemberOf', 'HKT48', '2022-11-06']]
[['Charlie Everett', 'startMemberOf', 'Cleveland Cavaliers', '2022-11-06']]
[['Florian Van Leeuwen', 'endWorksFor', 'Tilburg University', '2022-11-07']]
[['Kseniya Korobchevskaya', 'endMemberOf', 'Texas Children\' s Hospital', '2022-11-07']]
[['Michel Ngonge', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-07']]
[['Leonidas Vokolos', 'endWorksFor', 'CS Constantine', '2022-11-07']]
[['Nicolas G Bologna', 'endMemberOf', 'FC Andorra', '2022-11-07']]
