[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Aniekan Magnus Ukpong', 'endWorksFor', 'Johnson Matthey', '2016-09-30']]
[['Francesco Regazzoni', 'startAcademicDegree', 'Laurea Magistrale', '2016-09-28']]
[['Alexandra Atack', 'startWorksFor', 'University of Hertfordshire', '2016-09-01']]
[['Clotilde Lebreton', 'startWorksFor', 'Conservation International', '2017-09-06']]
[['Solberg\'s Cabinet', 'startLeader', 'Erna Solberg', '2017-09-11']]
[['Norilsk', 'startLeader', 'Rinat Akhmetchin', '2017-09-21']]
[['Richard Gorman', 'startWorksFor', 'University of Exeter', '2017-09-01']]
[['Kosovo', 'startLeader', 'Ramush Haradinaj', '2017-09-09']]
[['Alvin Vista', 'endWorksFor', 'Australian Council for Educational Research', '2017-09-01']]
[['Tomasz Borowski', 'startAcademicDegree', 'Scientific Professorship Degree', '2017-09-23']]
[['Iasmin Latovlevici', 'startMemberOf', 'Galatasaray S.K. (football)', '2017-09-07']]
[['Md Furkanur Rahaman Mizan', 'startWorksFor', 'Chung Ang University - Anseong Campus', '2017-09-01']]
[['Birte Riechers', 'startWorksFor', 'Arizona State University', '2017-09-01']]
[['Julien Dray', 'award', 'Officer Of Arts And Letters', '2017-09-25']]
[['Michal Dudek', 'endWorksFor', 'Military University of Technology', '2017-09-30']]
[['Dowdupont', 'startLeader', 'Edward D. Breen', '2017-09-01']]
[['Saurav Z K Sajib', 'endWorksFor', 'Kyung Hee University', '2017-09-27']]
[['Jenner Bonanata', 'endWorksFor', 'Facultad De Ciencias (Universidad De La República)', '2017-09-11']]
[['Christophe Beaux', 'award', 'Officer Of Arts And Letters', '2017-09-25']]
[['Rupert J. Myers', 'endWorksFor', 'Yale University', '2017-09-01']]
[['Dominik Dorosz', 'startAcademicDegree', 'Scientific Professorship Degree', '2017-09-23']]
[['Drancy', 'startLeader', 'Aude Lagarde', '2017-09-02']]
[['Aditya Nath Mishra', 'endWorksFor', 'IIT Madras', '2017-09-29']]
[['Yakun Xie', 'endWorksFor', 'King Abdullah University of Science and Technology', '2017-09-01']]
[['Stockholm County', 'startLeader', 'Åsa Ryding', '2017-09-01']]
[['Hosein Sadafi', 'endWorksFor', 'University of Queensland', '2017-09-01']]
[['Province of Monza and Brianza', 'startLeader', 'Roberto Invernizzi', '2017-09-28']]
[['Tourcoing', 'startLeader', 'Didier Droart', '2017-09-01']]
[['Seattle', 'startLeader', 'Bruce Harrell', '2017-09-13']]
[['Seattle', 'endLeader', 'Bruce Harrell', '2017-09-18']]
[['Benjamin Thorpe', 'endWorksFor', 'Leeds School of Medicine', '2017-09-01']]
[['Yuhang Song', 'endWorksFor', 'Brown University', '2017-09-01']]
[['Yvan Papa', 'endWorksFor', 'Natural History Museum of Geneva', '2017-09-01']]
[['Vladyslav Pavlenko', 'startMemberOf', 'FC Nikopol', '2018-09-01']]
[['Julie Tomas', 'endWorksFor', 'Délégation Provence Et Corse', '2018-09-30']]
[['Katarzyna Hrynkiewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2018-09-28']]
[['Cory Meals', 'endAcademicDegree', 'Doctor of Philosophy', '2018-09-01']]
[['Noushin Nasiri', 'endWorksFor', 'University of Technology Sydney', '2018-09-14']]
[['Witold Niewiem', 'endWorksFor', 'AGH University of Science and Technology', '2018-09-30']]
[['Emmanuelle Charpentier', 'award', 'Aachener Ingenieurpreis', '2018-09-07']]
[['Nicole Garritano', 'endWorksFor', 'University of Cincinnati', '2018-09-01']]
[['Joana Rigueira', 'endWorksFor', 'Escola Superior De Tecnologia Da Saúde De Lisboa', '2018-09-30']]
[['Angela R Dorrough', 'endWorksFor', 'University of Hagen', '2018-09-30']]
[['Joana Peixoto', 'endWorksFor', 'Julius-Maximilians-Universität Würzburg Biozentrum', '2018-09-01']]
[['Tadeusz Magiera', 'endWorksFor', 'University of Opole', '2018-09-01']]
[['Nicolas Magain', 'endWorksFor', 'Duke University', '2018-09-04']]
[['Stuart Mckie', 'endWorksFor', 'University of Manchester', '2018-09-01']]
[['Yu Li', 'endWorksFor', 'Hong Kong University of Science and Technology', '2018-09-01']]
[['Anusha Jayaraman', 'endWorksFor', 'Beaumont Health', '2018-09-01']]
[['Kimberly Ertel', 'endWorksFor', 'Mercer Island, Washington', '2018-09-01']]
[['Yong Liu', 'endWorksFor', 'Texas Tech University', '2018-09-30']]
[['Carla Kirschbaum', 'endWorksFor', 'Freie Universität Berlin Fachbereich Biologie Chemie Pharmazie', '2019-09-01']]
[['Raquel G. Soengas', 'endWorksFor', 'University of Almería', '2019-09-07']]
[['Clement F. Kent', 'endWorksFor', 'York University', '2019-09-30']]
[['WeWork', 'endLeader', 'Adam Neumann', '2019-09-24']]
[['Ryoichi Yano', 'endWorksFor', 'National Agriculture and Food Research Organization', '2019-09-30']]
[['Gábor Irsai', 'endWorksFor', 'Jahn Ferenc Dél-Pesti Kórház És Rendelőintézet', '2019-09-30']]
[['Jarosław Ćwiek-Karpowicz', 'startAcademicDegree', 'Habilitation', '2019-09-27']]
[['Cícero Inácio Silva Filho', 'endWorksFor', 'Federal University of Pernambuco', '2019-09-06']]
[['Inez M Greven', 'endWorksFor', 'Ggd Drenthe', '2019-09-30']]
[['Aleksandr Kostarev', 'endWorksFor', 'Max Planck Institute of Molecular Cell Biology and Genetics', '2019-09-01']]
[['Daniela Cruz-Moreira', 'endWorksFor', 'Polytechnic University of Milan', '2019-09-30']]
[['Sanofi', 'endLeader', 'Olivier Brandicourt', '2019-09-01']]
[['Jorge Torres-Marín', 'endWorksFor', 'University of Granada', '2019-09-14']]
[['Susanne Pedersen', 'endWorksFor', 'Aarhus University', '2019-09-30']]
[['Vincent Ritleng', 'endWorksFor', 'Institut Universitaire de France', '2019-09-30']]
[['Karlsruhe University of Arts and Design', 'endLeader', 'Johan Frederik Hartle', '2019-09-30']]
[['First Conte government', 'endLeader', 'Giuseppe Conte', '2019-09-05']]
[['Marieke E Klijn', 'endWorksFor', 'Karlsruhe Institute of Technology', '2019-09-06']]
[['Omar Flores', 'endWorksFor', 'Spanish National Research Council', '2019-09-30']]
[['Scott Disick', 'startNotableWork', 'Flip It Like Disick', '2019-09-29']]
[['Tom Kieck', 'endWorksFor', 'University of Mainz', '2019-09-01']]
[['Esther Roldan-Molina', 'endWorksFor', 'University of Granada', '2019-09-01']]
[['Jakub Morze', 'endWorksFor', 'Harvard T.H. Chan School of Public Health', '2019-09-30']]
[['Kris Jenner', 'endNotableWork', 'Flip It Like Disick', '2019-09-29']]
[['Wieslaw Ziolkowski', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-09-21']]
[['Rio Tinto (corporation)', 'endLeader', 'Jean-Sébastien Jacques', '2020-09-01']]
[['Wirecard', 'endLeader', 'James Freis', '2020-09-12']]
[['Nikola Corporation', 'endLeader', 'Trevor Milton', '2020-09-01']]
[['Krzysztof Sośnica', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-09-21']]
[['Zhejiang', 'endLeader', 'Yuan Jiajun', '2020-09-04']]
[['Astrakhan', 'endLeader', 'Alena Gubanova', '2020-09-30']]
[['Mahmoud A Albreem', 'startMemberOf', 'Palestine Young Academy', '2020-09-01']]
[['Nederlandse Spoorwegen', 'endLeader', 'Roger van Boxtel', '2020-09-30']]
[['Chloé Valentini', 'award', 'Knight Of The Legion Of Honour', '2021-09-08']]
[['Chrysler', 'endLeader', 'Michael Manley (CEO)', '2021-09-01']]
[['Bergen', 'endLeader', 'Marte Mjøs Persen', '2021-09-22']]
[['Miralem Pjanić', 'startMemberOf', 'Beşiktaş (football club)', '2021-09-01']]
[['Soarthec', 'endLeader', 'Benoît Prieur', '2021-09-30']]
[['Mariusz Gujski', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-09-28']]
[['Timothey N\'Guessan', 'award', 'Knight Of The Legion Of Honour', '2021-09-08']]
[['Aleksander Araszkiewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-09-28']]
[['Florence E Isaacs', 'startAcademicDegree', 'Doctor of Philosophy', '2021-09-14']]
[['Blazej Misiak', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-09-28']]
[['Monika Brzychczy-Wloch', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-09-28']]
[['Artur Jurczyszyn', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-09-28']]
[['Omsk', 'endLeader', 'Oksana Fadina', '2021-09-19']]
[['Zaporizhzhia', 'endLeader', 'Volodymyr Buryak', '2021-09-29']]
[['Xinjiang', 'endLeader', 'Shohrat Zakir', '2021-09-01']]
[['Shandong', 'endLeader', 'Li Ganjie', '2021-09-30']]
[['Béatrice Edwige', 'award', 'Knight Of The Legion Of Honour', '2021-09-08']]
[['Krasnodar', 'endLeader', 'Yevgeny Pervyshov', '2021-09-23']]
[['Reckitt', 'endLeader', 'Laxman Narasimhan', '2022-09-30']]
[['Magdalena Fabczak', 'award', 'Commander Of The Order Of Polonia Restituta', '2022-09-12']]
[['Viktor Orbán', 'award', 'Order of the Republic of Serbia', '2022-09-01']]
[['Jean-Pierre Chouraqui', 'startWorksFor', 'Lausanne University Hospital', '2015-10-01']]
[['Bergen', 'startLeader', 'Marte Mjøs Persen', '2015-10-28']]
[['Boris Latosh', 'startWorksFor', 'Joint Institute for Nuclear Research', '2015-10-01']]
[['Christopher R Sibley', 'endWorksFor', 'University College London', '2015-10-23']]
[['Yunduan Cui', 'startWorksFor', 'University of Technology Sydney', '2015-10-01']]
[['Heshan Du', 'startWorksFor', 'University of Leeds', '2015-10-01']]
[['B Yang', 'endWorksFor', 'Institut d\'optique Graduate School', '2015-10-31']]
[['Wei Gao', 'startWorksFor', 'Hong Kong Polytechnic University', '2015-10-26']]
[['Tarik Exner', 'startWorksFor', 'University Hospital Heidelberg', '2015-10-01']]
[['Carmen Cuenca Garcia', 'startWorksFor', 'Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization', '2015-10-31']]
[['Astrakhan', 'startLeader', 'Alena Gubanova', '2015-10-05']]
[['Pranjal Kumar Yadav', 'startWorksFor', 'Central Drug Research Institute', '2015-10-16']]
[['Sophie Nicole', 'startWorksFor', 'Inserm', '2015-10-01']]
[['Cindy De Jonge', 'startWorksFor', 'University of Antwerp', '2015-10-01']]
[['Elena Fasanaro', 'startWorksFor', 'Istituto Oncologico Veneto', '2015-10-01']]
[['Maksymilian P Opolski', 'startAcademicDegree', 'Habilitation', '2015-10-20']]
[['Meng Xiao', 'startWorksFor', 'Stanford University', '2015-10-01']]
[['Aleksander Araszkiewicz', 'startAcademicDegree', 'Habilitation', '2015-10-21']]
[['Daniel Demant', 'startWorksFor', 'Griffith University', '2016-10-01']]
[['Zhen Zhang', 'startWorksFor', 'East China University of Science and Technology', '2016-10-01']]
[['Anna Testolin', 'startAcademicDegree', 'Laurea Magistrale', '2016-10-04']]
[['Gina R Lewin', 'startWorksFor', 'University of Texas at Austin', '2016-10-01']]
[['Marion L Tiberti', 'startWorksFor', 'Institut De Pharmacologie Moléculaire Et Cellulaire', '2016-10-01']]
[['Diego Lucena', 'startWorksFor', 'Federal University of Ceará', '2016-10-01']]
[['Atash V. Gurbanov', 'startWorksFor', 'Baku State University', '2016-10-17']]
[['Imogen Clarke', 'startWorksFor', 'University College London', '2016-10-01']]
[['Thomas Lacroix', 'startWorksFor', 'Institute Of Human Genetics', '2016-10-01']]
[['Valerio Sbragaglia', 'startWorksFor', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2016-10-01']]
[['War Studies Academy', 'startLeader', 'Ryszard Parafianowicz', '2016-10-01']]
[['Xufei Zhou', 'startWorksFor', 'University of Science and Technology of China', '2016-10-01']]
[['Maciej Grzybek', 'startWorksFor', 'University of Life Sciences in Lublin', '2016-10-01']]
[['Shazia P Sharif', 'endWorksFor', 'Barts Health NHS Trust', '2016-10-01']]
[['Anu Mary Ealias', 'startWorksFor', 'Vellore Institute of Technology', '2016-10-13']]
[['Paul Stockhammer', 'startWorksFor', 'Medical University of Vienna', '2016-10-01']]
[['Jacek Czaputowicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2016-10-20']]
[['Anur Yadav', 'endWorksFor', 'Jawaharlal Nehru Centre for Advanced Scientific Research', '2016-10-01']]
[['Byung-Wook Kim', 'startWorksFor', 'Mayo Clinic Florida', '2016-10-24']]
[['Emily Berndt', 'endWorksFor', 'University of Alabama in Huntsville', '2016-10-01']]
[['Christoph Bookmeyer', 'startWorksFor', 'University of Münster', '2016-10-01']]
[['Elisa P Badás', 'startWorksFor', 'University of Alcalá', '2016-10-01']]
[['Jaime Balderas Villalobos', 'startWorksFor', 'National Institute Of Pediatrics', '2016-10-01']]
[['Christina Dyar', 'startWorksFor', 'University of Cincinnati', '2016-10-01']]
[['Jan Korbel', 'startWorksFor', 'Zhejiang University', '2016-10-01']]
[['Abhishek Kumar', 'startWorksFor', 'University of São Paulo', '2016-10-01']]
[['Nigel D\'Souza', 'startWorksFor', 'Croydon University Hospital', '2016-10-01']]
[['Rose Bruffaerts', 'startWorksFor', 'University of Cambridge', '2016-10-01']]
[['Jan Matysiak', 'startAcademicDegree', 'Habilitation', '2016-10-05']]
[['Antonia Sebastian', 'startWorksFor', 'Delft University of Technology', '2016-10-01']]
[['Cathryn Knight', 'startWorksFor', 'Welsh Government', '2016-10-01']]
[['Masoumeh Rafiee', 'endWorksFor', 'Gilan University of Medical Sciences', '2017-10-01']]
[['Roberto E. Rizzo', 'startWorksFor', 'Department of Materials, University of Manchester', '2017-10-09']]
[['Beatriz Pereira', 'endWorksFor', 'University of Minho', '2017-10-01']]
[['Alf Köhn', 'endWorksFor', 'Max Planck Institute for Plasma Physics', '2017-10-01']]
[['Dipankar Saha', 'startWorksFor', 'University of Hamburg', '2017-10-01']]
[['Papaiah Sardaru', 'startWorksFor', 'Sri Venkateswara University', '2017-10-02']]
[['Sixth Labour Government of New Zealand', 'startLeader', 'Jacinda Ardern', '2017-10-26']]
[['Yi-Feng Wu', 'startWorksFor', 'Boston Children\'s Hospital', '2017-10-01']]
[['Clare Pilgrim', 'startWorksFor', 'University of Cambridge', '2017-10-01']]
[['Federica Bubba', 'startAcademicDegree', 'Laurea Magistrale', '2017-10-03']]
[['Jönköping County', 'startLeader', 'Anneli Wirtén', '2017-10-01']]
[['Tim R. Hofmeester', 'startWorksFor', 'Swedish University of Agricultural Sciences', '2017-10-01']]
[['Alex Ashman', 'startWorksFor', 'Royal Berkshire Hospital', '2017-10-01']]
[['Lena Luthor', 'startOwns', 'Catco Worldwide Media', '2017-10-01']]
[['Asaf Karagila', 'startWorksFor', 'TU Wien', '2017-10-02']]
[['Giulio Colombo', 'startAcademicDegree', 'Laurea Magistrale', '2017-10-26']]
[['Fifth National Government of New Zealand', 'endLeader', 'Bill English', '2017-10-26']]
[['A Bose', 'endWorksFor', 'University of Rochester', '2017-10-20']]
[['Michael Breyl', 'startWorksFor', 'Ludwig Maximilian University of Munich', '2017-10-01']]
[['Magali Picard', 'endWorksFor', 'University of Bordeaux', '2017-10-01']]
[['Vincent Labarre', 'startWorksFor', 'University of Versailles Saint-Quentin-en-Yvelines', '2017-10-01']]
[['Ariane Chabert', 'endWorksFor', 'Toulouse 1 Capitole University', '2017-10-15']]
[['T C Li', 'startWorksFor', 'Dartmouth College', '2017-10-01']]
[['Jeroen N Wessels', 'endWorksFor', 'Martini Ziekenhuis', '2017-10-31']]
[['Frank Liang', 'endWorksFor', 'Karolinska Institute', '2017-10-12']]
[['Antero Ramos', 'endWorksFor', 'Instituto De Ecología, Unam', '2017-10-03']]
[['Guárico', 'startLeader', 'José Manuel Vásquez', '2017-10-18']]
[['Shin Kawano', 'startWorksFor', 'University of Tokyo', '2018-10-01']]
[['Mariano Curti', 'startWorksFor', 'Leibniz Universität Hannover Institut Für Technische Chemie', '2018-10-01']]
[['Joanna Ścibek', 'endWorksFor', 'Józef Piłsudski University of Physical Education in Warsaw', '2018-10-01']]
[['Aneta Cymbaluk-Płoska', 'startAcademicDegree', 'Habilitation', '2018-10-16']]
[['Leonard Dewaele', 'startWorksFor', 'Belgian American Educational Foundation', '2018-10-29']]
[['Sebabrata Mukherjee', 'endWorksFor', 'Heriot-Watt University', '2018-10-26']]
[['Zabaykalsky Krai', 'endLeader', 'Natalia Zhdanova', '2018-10-25']]
[['Dmitry Bikmetov', 'startWorksFor', 'Skolkovo Institute of Science and Technology', '2018-10-18']]
[['Mohammad Ghavamzadeh', 'startWorksFor', 'Facebook Ai Research', '2018-10-01']]
[['Marie Van De Sande', 'startWorksFor', 'KU Leuven', '2018-10-01']]
[['Frija L', 'endWorksFor', 'Telecommunications Institute', '2018-10-31']]
[['Angela Barnes', 'endNotableWork', 'Newsjack', '2018-10-11']]
[['Stříbro', 'startLeader', 'Václav Votava', '2018-10-31']]
[['Mohammed Ibrahim Shire', 'startWorksFor', 'Griffith University', '2018-10-24']]
[['Bin Xiao', 'endWorksFor', 'Helmholtz-Zentrum Dresden-Rossendorf', '2018-10-01']]
[['Christina Riggs', 'startWorksFor', 'All Souls College, Oxford', '2018-10-01']]
[['Donetsk People\'s Republic', 'startLeader', 'Alexander Ananchenko', '2018-10-18']]
[['Rowan Sprague', 'startAcademicDegree', 'Doctor of Philosophy', '2018-10-01']]
[['Víctor Ponce-López', 'startWorksFor', 'University of Bristol', '2018-10-10']]
[['Wenchao Huang', 'endWorksFor', 'University of Tokyo', '2018-10-30']]
[['Haobo Fan', 'endWorksFor', 'Chang\'an University', '2019-10-01']]
[['Sakhalin Oblast', 'endLeader', 'Valery Limarenko', '2019-10-12']]
[['Edyta Szurowska', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-10-25']]
[['29th Canadian Ministry', 'endLeader', 'Justin Trudeau', '2019-10-21']]
[['Giorgia Galiazzo', 'endWorksFor', 'University of Bologna', '2019-10-31']]
[['Xing Wang', 'startWorksFor', 'Institute Of Physics, Johannes Gutenberg-University Mainz', '2019-10-01']]
[['Mykyta Tatarkov', 'startMemberOf', 'FC Lviv', '2019-10-01']]
[['Piotr Henryk Skarżyński', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-10-25']]
[['Bavay', 'startLeader', 'Francine Cailleux-Caucheteux', '2019-10-01']]
[['Mány', 'startLeader', 'Zoltán Ugron', '2019-10-13']]
[['Dmitriy Berillo', 'endWorksFor', 'Aarhus University', '2019-10-15']]
[['Ye Liu', 'startWorksFor', 'Hong Kong Baptist University', '2019-10-02']]
[['Paolo Rossini', 'endWorksFor', 'Leiden University', '2019-10-31']]
[['Pei-Fen Siow', 'startWorksFor', 'Keelung Chang Gung Memorial Hospital', '2019-10-23']]
[['Jiseon Kim', 'startWorksFor', 'University of Ulsan', '2019-10-01']]
[['Przemyslaw Sikora', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-10-25']]
[['Nærøy', 'startLeader', 'Rune Arstein', '2019-10-01']]
[['Martina Vizza', 'endWorksFor', 'National Interuniversity Consortium Of Materials Science And Technology', '2019-10-01']]
[['Stříbro', 'endLeader', 'Václav Votava', '2019-10-16']]
[['Karlsruhe University of Arts and Design', 'startLeader', 'Matthias Bruhn', '2019-10-01']]
[['Duc-Hiep Bach', 'endWorksFor', 'MD Anderson Cancer Center', '2019-10-21']]
[['Oskar Nisu', 'startMemberOf', 'Kunbao Sport Continental Cycling Team', '2019-10-15']]
[['Michal Lukeš', 'award', 'Medal of Merit (Czech Republic)', '2019-10-28']]
[['Marco Gnesi', 'endWorksFor', 'University of Pavia', '2019-10-31']]
[['Chu Lun Alex Leung', 'endWorksFor', 'University College London', '2019-10-06']]
[['Henry H Mungondori', 'endWorksFor', 'University of Zimbabwe', '2019-10-31']]
[['Elena Madeo', 'startAcademicDegree', 'Doctorate', '2019-10-06']]
[['Srinivasa Rao Allam', 'endWorksFor', 'Soochow University (Suzhou)', '2019-10-16']]
[['Roberto Pagaria', 'startWorksFor', 'University of Bologna', '2019-10-01']]
[['Khalida Douibi', 'endWorksFor', 'Assistance Publique–Hôpitaux de Paris', '2019-10-01']]
[['Nye Veier', 'endLeader', 'Ingrid Dahl Hovland', '2019-10-14']]
[['Nanjing', 'endLeader', 'Lan Shaomin', '2019-10-25']]
[['Coneda Ug', 'endLeader', 'Moritz Schepp', '2019-10-31']]
[['SAP', 'startLeader', 'Jennifer Morgan', '2019-10-01']]
[['Byaroza District', 'startLeader', 'Siarhiej Bartash', '2020-10-20']]
[['Alonso Vicente Pizarro Valdebenito', 'endWorksFor', 'University of Basilicata', '2020-10-01']]
[['Sixth Labour Government of New Zealand', 'endLeader', 'Jacinda Ardern', '2020-10-17']]
[['Terpezița', 'endLeader', 'Virgil-Daniel Gruia', '2020-10-01']]
[['Șinteu', 'endLeader', 'Benedek Lașak', '2020-10-01']]
[['Byaroza District', 'endLeader', 'Leanid Martyniuk', '2020-10-20']]
[['Przemyslaw Kosinski', 'startAcademicDegree', 'Habilitation', '2020-10-21']]
[['Sviatlana Tsikhanouskaya', 'award', 'Sakharov Prize', '2020-10-22']]
[['Matthew Smith (footballer, born 1999)', 'startMemberOf', 'Doncaster Rovers F.C.', '2020-10-01']]
[['Nederlandse Spoorwegen', 'startLeader', 'Marjan Rintel', '2020-10-01']]
[['Julia Moreno-Vicente', 'startWorksFor', 'University of Southampton', '2020-10-01']]
[['Irene Unceta', 'endWorksFor', 'University of Barcelona', '2020-10-15']]
[['Vincent Coq', 'award', 'Officer Of Arts And Letters', '2021-10-29']]
[['Jordan Anderson', 'startAcademicDegree', 'Doctor of Philosophy', '2021-10-08']]
[['Aliaksiey Shkadarevich', 'award', 'Order Of Fatherland 3Rd Class', '2021-10-25']]
[['Monica Margoni', 'endWorksFor', 'University of Padua', '2021-10-01']]
[['Nana Akufo-Addo', 'award', 'Order of the Republic of Serbia', '2021-10-10']]
[['Kang Sang-woo', 'startMemberOf', 'South Korea national football team', '2022-10-15']]
[['Maria Catarina Paz', 'endWorksFor', 'Polytechnic Institute Of Setúbal', '2022-10-31']]
[['Isabella Stewart Gardner Museum', 'startMemberOf', 'National Digital Stewardship Alliance', '2022-10-01']]
[['Tsai Pi-ru', 'endAcademicDegree', 'Master\'s degree', '2022-10-01']]
[['Michelle Thompson-Fawcett', 'award', 'University Of Otago Distinguished Professor', '2022-10-31']]
[['Rachid Santaki', 'award', 'Chevalier Des Arts Et Des Lettres', '2022-10-17']]
[['Mark Harris (Welsh footballer)', 'startMemberOf', 'Cardiff City F.C.', '2022-10-16']]
[['Lisa Matisoo-Smith', 'award', 'University Of Otago Distinguished Professor', '2022-10-31']]
[['Anne-Sophie Novel', 'award', 'Chevalier Des Arts Et Des Lettres', '2022-10-17']]
[['Marina Ruy Barbosa', 'startNotableWork', 'Totalmente Demais', '2015-11-01']]
[['Ting-Hsiang Huang', 'startWorksFor', 'Weill Cornell Medicine', '2015-11-01']]
[['Chao Xu', 'startWorksFor', 'Stockholm University', '2015-11-16']]
[['Maryse Loup-Rouzé', 'award', 'Knight Of The National Order Of Merit', '2015-11-20']]
[['Baofang Song', 'startWorksFor', 'University of Erlangen–Nuremberg', '2015-11-01']]
[['Benjamin Scheibe', 'startWorksFor', 'Philipps-Universitat Marburg Fachbereich Chemie', '2015-11-01']]
[['Wei Chen', 'startWorksFor', 'University of Chicago', '2015-11-01']]
[['Bashkortostan', 'startLeader', 'Rustem Mardanov', '2015-11-26']]
[['Sundbyberg Municipality', 'startLeader', 'Mikael T. Eriksson', '2015-11-01']]
[['29th Canadian Ministry', 'startLeader', 'Justin Trudeau', '2015-11-04']]
[['Blanca Gil-Ibáñez', 'endWorksFor', 'Bellvitge University Hospital', '2015-11-01']]
[['Jenny Landberg', 'startWorksFor', 'University of California, Irvine', '2015-11-01']]
[['Jaroslava Panáková', 'startWorksFor', 'University of Vienna', '2015-11-01']]
[['Iain Wilson', 'startWorksFor', 'Loughborough University', '2015-11-23']]
[['Ashok Pabbathi', 'startWorksFor', 'Technion – Israel Institute of Technology', '2015-11-04']]
[['Sylwia Mildner-Szkudlarz', 'startAcademicDegree', 'Habilitation', '2015-11-26']]
[['Juan Ruiz-Esparza', 'startWorksFor', 'Federal University of Sergipe', '2015-11-01']]
[['Gabriel Sanchez-Santolino', 'startWorksFor', 'University of Tokyo', '2015-11-01']]
[['Blazej Misiak', 'startAcademicDegree', 'Doctorate', '2015-11-18']]
[['Tahereh Hosseini', 'startWorksFor', 'Monash University', '2015-11-15']]
[['Zaporizhzhia', 'startLeader', 'Volodymyr Buryak', '2015-11-25']]
[['Pedro Henrique Marks Duarte', 'startWorksFor', 'Federal University of Uberlândia', '2015-11-01']]
[['Zhengyuan Jin', 'endWorksFor', 'City University of Hong Kong', '2015-11-30']]
[['Marko Gacesa', 'endWorksFor', 'University of Connecticut', '2015-11-30']]
[['Adeyemi Oludapo Olusola', 'startWorksFor', 'Osun State University', '2015-11-02']]
[['Marie-Christine Lombard', 'award', 'Officer Of The National Order Of Merit', '2015-11-20']]
[['Almería', 'startLeader', 'Ramón Fernández-Pacheco Monterreal', '2015-11-28']]
[['Vincent Mazauric', 'award', 'Officer Of The National Order Of Merit', '2015-11-20']]
[['David J Button', 'endWorksFor', 'University of Birmingham', '2016-11-27']]
[['Daniele Venturi', 'endWorksFor', 'University of Trento', '2016-11-30']]
[['Hareesh Chandrasekar', 'endWorksFor', 'Indian Institute of Science', '2016-11-15']]
[['Mohamed Nasr Saleh', 'endWorksFor', 'University of Manchester', '2016-11-16']]
[['Concetta Iovine', 'startWorksFor', 'Università degli Studi della Campania Luigi Vanvitelli', '2016-11-01']]
[['Philip Karré', 'startWorksFor', 'Erasmus University Rotterdam', '2016-11-01']]
[['Alexandre Ziegler', 'award', 'Knight Of The National Order Of Merit', '2016-11-14']]
[['Fernando Pérez-García', 'startWorksFor', 'Evonik Industries', '2016-11-01']]
[['María Isabel Rial-Hermida', 'startWorksFor', 'Queen\'s University Belfast', '2016-11-01']]
[['Puneeth Kumar Someswara Ashwathappa', 'startWorksFor', 'Anthem Biosciences (India)', '2016-11-21']]
[['Edgar Santos-Fernandez', 'startWorksFor', 'Massey University - Wellington Campus', '2016-11-01']]
[['Ekaterina Semenikhin', 'award', 'Knight Of The Order Of Saint-Charles', '2016-11-18']]
[['Boeing Commercial Airplanes', 'startLeader', 'Kevin G. McAllister', '2016-11-01']]
[['Zongbin Ye', 'endWorksFor', 'China University of Mining and Technology', '2016-11-30']]
[['Nicolas Casanova', 'award', 'Commander Of The National Order Of Merit', '2017-11-06']]
[['Ondřej Bačo', 'startMemberOf', 'Czech Republic national under-21 football team', '2017-11-01']]
[['Andy Schmitt', 'startWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2017-11-01']]
[['Vivi Jensen', 'endWorksFor', 'Novo Nordisk', '2017-11-01']]
[['Ashwin Seetharaman', 'startWorksFor', 'Indian Institute of Science', '2017-11-01']]
[['Lena Magnone', 'startAcademicDegree', 'Habilitation', '2017-11-14']]
[['Andrei Chirila', 'endWorksFor', 'University of Amsterdam', '2017-11-02']]
[['Caracas', 'endLeader', 'Helen Fernández', '2017-11-22']]
[['Navid Kermani', 'award', 'State Prize Of North Rhine-Westphalia', '2017-11-27']]
[['Antoni Macierewicz', 'award', 'Cross of Freedom and Solidarity', '2017-11-22']]
[['Taiwan Provincial Government', 'startLeader', 'Wu Tze-cheng', '2017-11-06']]
[['Alexandros Xafis', 'startWorksFor', 'University of Vienna', '2017-11-01']]
[['Amjad I Aqib', 'startWorksFor', 'University of Agriculture, Faisalabad', '2017-11-23']]
[['Sherbrooke', 'startLeader', 'Steve Lussier', '2017-11-01']]
[['Łukasz Maślanka', 'startAcademicDegree', 'Doctorate', '2017-11-15']]
[['Lei Zhang', 'startWorksFor', 'Nanjing Normal University', '2017-11-01']]
