[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2022-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2022-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2022-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2022-07-01']]
[['Israel Silva', 'endMemberOf', 'C. S. D. Municipal', '2022-11-23'], ['Mohamed Messoudi', 'startMemberOf', 'FC Andorra', '2022-11-23'], ['Jesper Mathisen', 'startMemberOf', 'Ottawa Fury FC', '2022-11-23'], ['Michele Cavion', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-11-23']]
[['Eduard Núñez', 'endMemberOf', 'CE Vilassar de Dalt', '2022-11-23'], ['Fenedy Masauvakalo', 'endMemberOf', 'Tupuji Imere F. C.', '2022-11-23'], ['Leonardo ( footballer, born 1976)', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-23'], ['Dane Trbović', 'endMemberOf', 'Puszcza Niepołomice', '2022-11-23']]
[['Roxane Fournier', 'endMemberOf', 'FC Stal Alchevsk', '2022-11-23'], ['Alexandre Rey', 'startMemberOf', 'SD Worx', '2022-11-23'], ['Jaime Molina', 'startMemberOf', 'UD Vecindario', '2022-11-23'], ['Bálint Gaál', 'endMemberOf', 'Soproni VSE', '2022-11-23']]
[['Cristiano Dias', 'endMemberOf', 'Minnesota United FC ( 2010– 2016)', '2022-11-23'], ['Slaviša Jeremić', 'startMemberOf', 'Asteras Magoula F. C.', '2022-11-23'], ['Gavin Cullen', 'startMemberOf', 'Glentoran F. C.', '2022-11-23'], ['Nik Mrdja', 'endMemberOf', 'Australia men\' s national soccer team generic instance', '2022-11-23']]
[['Mesut Kumcuoğlu', 'endMemberOf', 'Ünyespor', '2022-11-26'], ['Leah Williamson', 'startMemberOf', 'Bristol City W. F. C.', '2022-11-27'], ['Nazmiye Demirel', 'startMemberOf', 'Gimnasia y Esgrima de Jujuy', '2022-11-27'], ['Vladimir Lazarev', 'startMemberOf', 'FC Andorra', '2022-11-27']]
[['William Gros', 'startMemberOf', 'Ottawa Fury FC', '2022-11-28'], ['Václav Marek ( footballer)', 'endMemberOf', 'FC Dragoun Břevnov', '2022-11-28'], ['Kerlon', 'startMemberOf', 'FC Andorra', '2022-11-28'], ['Jianglai Liu', 'endMemberOf', 'Genêts Anglet', '2022-11-28']]
[['Christophe Bertjens', 'endMemberOf', 'A. S. Verbroedering Geel', '2022-11-28'], ['Fung Kai Hong', 'startMemberOf', 'TOT S. C.', '2022-11-30'], ['Toke Bang-Andreasen', 'startMemberOf', 'Olympiacos F. C.', '2022-11-30'], ['Pedro Torrão', 'startMemberOf', 'FC Andorra', '2022-11-30']]
[['Sam Wedgbury', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-11-30'], ['Ben Clark', 'startMemberOf', 'Toronto FC', '2022-12-01'], ['Lasse Lehmann', 'startMemberOf', 'VfR Aalen', '2022-12-01'], ['Keysher Fuller', 'endMemberOf', 'Municipal Grecia', '2022-12-01']]
[['Irineu ( footballer)', 'startMemberOf', 'FC Andorra', '2022-12-01'], ['Luciano Balbi', 'endMemberOf', 'L. D. U. Quito', '2022-12-01'], ['Vince Grella', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-12-01'], ['Knut Borch', 'startMemberOf', 'Ottawa Fury FC', '2022-12-01']]
[['Freddy León', 'endMemberOf', 'Patriotas Boyacá', '2022-12-01'], ['Oebele Schokker', 'startMemberOf', 'Sarpsborg 08 FF', '2022-12-01'], ['Adnan Zahirović', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-01'], ['Borger Thomas', 'startMemberOf', 'Norway National Under-18 Association Football Team generic instance', '2022-12-01']]
[['Mathieu Debuchy', 'startMemberOf', 'FC Andorra', '2022-12-01'], ['Vladimir Plotnikov ( footballer)', 'endMemberOf', 'FC Atyrau', '2022-12-01'], ['Martin Khorin', 'startMemberOf', 'Trat F. C.', '2022-12-01'], ['Džemal Berberović', 'startMemberOf', 'Ottawa Fury FC', '2022-12-01']]
[['Irfan Hadžić', 'startMemberOf', 'FC Andorra', '2022-12-01'], ['Daniel Bogdanović', 'endMemberOf', 'Trat F. C.', '2022-12-01'], ['Grandhi Venkata Ramalingayya', 'startMemberOf', 'Niki Volos F. C.', '2022-12-01'], ['Dilara Atasoy', 'endMemberOf', 'PFC Naftex Burgas', '2022-12-01']]
[['Samuel Lopes', 'startMemberOf', 'FK Sinđelić Beograd', '2022-12-01'], ['Abdullah Omar', 'startMemberOf', 'Olbia Calcio 1905', '2022-12-01'], ['Shane Hobbs', 'startMemberOf', 'Lincoln United F. C.', '2022-12-01'], ['Alberto Martín Gómez', 'startMemberOf', 'Racing de Córdoba', '2022-12-01']]
[['Frédéric Maciel', 'startMemberOf', 'Dalian Shide F. C.', '2022-12-01'], ['Halil İbrahim Sönmez', 'startMemberOf', 'Turkey national under-20 football team generic instance', '2022-12-01'], ['Vladimir Valeryevich Barmin', 'endMemberOf', 'FC Syzran-2003', '2022-12-01'], ['Imaye Taga', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-12-01']]
[['Ruslan Sydykov', 'endMemberOf', 'FC Dordoi Bishkek', '2022-12-01'], ['Marinus Dijkhuizen', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-01'], ['Faisel Majrashi', 'startMemberOf', 'Al-Jabalain FC', '2022-12-01'], ['Ian Cox', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-12-01']]
[['Georgi Iliev ( footballer, born 1981)', 'startMemberOf', 'FC Andorra', '2022-12-20'], ['Gabriel Torres', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-20'], ['Joost Volmer', 'startMemberOf', 'Lincoln United F. C.', '2022-12-20'], ['Joel Robles', 'endMemberOf', 'Cambridge United F. C.', '2022-12-20']]
[['Leandro Carrijó', 'startMemberOf', 'Dalian Shide F. C.', '2022-12-20'], ['Niels Hansen ( German footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-12-20'], ['Bob Peeters', 'startMemberOf', 'Fehérvár FC', '2022-12-20'], ['Janik Haberer', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-20']]
[['Burgui', 'startMemberOf', 'FC Andorra', '2022-12-29'], ['Gökhan Çakır', 'startMemberOf', 'Nazilli Belediyespor', '2022-12-29'], ['Ryan McMahen', 'endMemberOf', 'Sporting Kansas City', '2022-12-29'], ['Josué Balamandji', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-29']]
[['Javier Mazzoni', 'startMemberOf', 'FC Andorra', '2022-12-29'], ['Ivan Michniuk', 'startMemberOf', 'FC Slavia Mozyr', '2022-12-29'], ['Joana Flaviano', 'endMemberOf', 'A. S. D. FC Sassari Torres Femminile', '2022-12-29'], ['Jason Denayer', 'startMemberOf', 'K. V. C. Westerlo', '2022-12-29']]
[['Raúl Cabanas', 'startMemberOf', 'Panionios F. C.', '2022-12-29'], ['Renee Rollason', 'startMemberOf', 'Sejong Sportstoto WFC', '2022-12-29'], ['Wender ( footballer)', 'startMemberOf', 'FC Andorra', '2022-12-29'], ['Martín García ( footballer, born 1981)', 'startMemberOf', 'Ottawa Fury FC', '2022-12-29']]
[['Luke Steele ( footballer)', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-29'], ['Danny King-Bisungu', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-12-29'], ['Nariman Gusalov', 'startMemberOf', 'FC Andorra', '2022-12-29'], ['Gastón Caprari', 'endMemberOf', 'Boca Unidos', '2022-12-29']]
[['Frederic Massara', 'startMemberOf', 'Virtus Entella', '2022-12-29'], ['Andrea Pisanu', 'startMemberOf', 'FC Andorra', '2022-12-29'], ['Nathan Webb ( footballer)', 'startMemberOf', 'Grimsby Town F. C.', '2022-12-29'], ['Xabier Cardenas', 'endMemberOf', 'Lotto Dstny Ladies', '2022-12-29']]
[['Yevgeni Khlebodarov', 'startMemberOf', 'Asteras Magoula F. C.', '2022-12-31'], ['Danny Swanson', 'endMemberOf', 'Great Wakering Rovers F. C.', '2022-12-31'], ['Julio César Tobar', 'endMemberOf', 'Atlético Huila', '2022-12-31'], ['Parker Jackson-Cartwright', 'startMemberOf', 'Pune FC', '2022-12-31']]
[['Luka Elsner', 'endMemberOf', 'Al-Muharraq SC', '2022-12-31'], ['Nick DePuy', 'startMemberOf', 'Ottawa Fury FC', '2022-12-31'], ['Jared B Garrison', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-12-31'], ['Andreas Hirzel', 'startMemberOf', 'AS Bamako', '2022-12-31']]
[['Sandro Shugladze', 'endMemberOf', 'FC Sevastopol-2', '2022-12-31'], ['Mercedes Cócera', 'startMemberOf', 'Al Mokawloon Al Arab SC', '2022-12-31'], ['Noel Whelan', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-12-31'], ['Hanno Behrens', 'startMemberOf', 'Nazilli Belediyespor', '2022-12-31']]
[['Dario Van den Buijs', 'endMemberOf', 'Club Brugge KV', '2022-12-31'], ['Burak Yılmaz', 'startMemberOf', 'PFC Akademik Sofia', '2022-12-31'], ['Nitin Sharma', 'endMemberOf', 'Fermana F. C.', '2022-12-31'], ['Alexander Ødegaard', 'startMemberOf', 'Ottawa Fury FC', '2022-12-31']]
[['Ana Sofia Aleixo Correia', 'startMemberOf', 'Torino F. C.', '2022-12-31'], ['Gianfranco Labarthe', 'startMemberOf', 'Lincoln United F. C.', '2022-12-31'], ['Riccardo Fissore', 'startMemberOf', 'FC Andorra', '2022-12-31'], ['Stefano Rossini ( footballer, born 1991)', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-12-31']]
[['Mindaugas Panka', 'startMemberOf', 'Mossley A. F. C.', '2022-12-31'], ['Michael R Rountree', 'startMemberOf', 'Dorados de Sinaloa', '2022-12-31'], ['Steve Morgan ( footballer, born 1968)', 'endMemberOf', 'Altrincham F. C.', '2022-12-31'], ['Pablo Lacoste', 'endMemberOf', 'Racing Club de Montevideo', '2022-12-31']]
[['Kotaro Takeda', 'endWorksFor', 'Fujita Health University', '2022-01-01'], ['Jagajjit Sahu', 'endWorksFor', 'University of Aberdeen', '2022-01-01'], ['Alexandra V Costa', 'endWorksFor', 'Cooperativa De Ensino Superior Politécnico E Universitário', '2022-01-01'], ['Jason T Long', 'endWorksFor', 'Medical College of Wisconsin', '2022-01-01']]
[['Richard Forshee', 'endWorksFor', 'University of Maryland, College Park', '2022-01-01'], ['Thierry R U002E J U002E Achard', 'endWorksFor', 'University of Geneva', '2022-01-01'], ['Margarida Pereira', 'endWorksFor', 'Faculty Of Medicine Of The University Of Porto', '2022-01-01'], ['Sílvia Lloréns', 'endWorksFor', 'Facultad De Medicina De Albacete', '2022-01-01']]
[['Dr U002E Indranil Saha', 'endWorksFor', 'Burdwan Medical College and Hospital', '2022-02-01'], ['Gjalt-Jorn Y Peters', 'endWorksFor', 'Maastricht University', '2022-02-01'], ['Fakhar Ud Din', 'endWorksFor', 'Hanyang University Erica Campus', '2022-02-01'], ['Gustavo Naumann', 'endWorksFor', 'Faculty of Exact and Natural Sciences', '2022-02-01']]
[['Giancarlo Logroscino', 'endWorksFor', 'Harvard University', '2022-02-01'], ['Wenli Gao', 'endWorksFor', 'State University of New York at Morrisville', '2022-02-01'], ['Cheng Hu', 'endWorksFor', 'Loughborough University', '2022-02-01'], ['Jasper A Estabillo', 'endWorksFor', 'University of California, San Diego', '2022-02-01']]
[['Emily C Stefano', 'endMemberOf', 'School of GeoSciences, University of Edinburgh', '2022-02-01'], ['', 'endMemberOf', 'Waikato Rugby Union', '2022-02-01'], ['John G Hardy', 'endMemberOf', 'University of British Columbia', '2022-02-01'], ['Shazid Md Sharker', 'endWorksFor', 'Stanford University', '2022-02-01']]
[['Mutalip Çiçek', 'endWorksFor', 'Dicle University', '2022-03-01'], ['Jacqueline Abranches', 'endWorksFor', 'University of Rochester', '2022-03-01'], ['Elizabeth A Murray', 'endWorksFor', 'Smithsonian Institution', '2022-03-01'], ['Raquel Tonello', 'endWorksFor', 'Federal University of Santa Catarina', '2022-03-01']]
[['Laurie Boithias', 'endWorksFor', 'Research Institute for Development', '2022-03-17'], ['Yu Mi Jo', 'endWorksFor', 'Korea University Medical Center', '2022-03-17'], ['Hong-Jun Li', 'endMemberOf', 'University of Galway', '2022-03-18'], ['Xuguo Duan', 'endWorksFor', 'Jiangnan University', '2022-03-18']]
[['Patrick Rodrigues', 'endWorksFor', 'Universidade Positivo', '2022-03-27'], ['Sarah Lambart', 'endWorksFor', 'Cardiff University', '2022-03-27'], ['Elisa Paolicchi', 'endMemberOf', 'Hogeschool VIVES', '2022-03-31'], ['Elisabeth Agoritsas', 'endWorksFor', 'Université De Genève U002E Institut Européen', '2022-03-31']]
[['Michael Wolloch', 'endWorksFor', 'Max Planck Institute for Chemistry', '2022-04-01'], ['Farheen N Sayed', 'endWorksFor', 'German Research Foundation', '2022-04-01'], ['Igor Iatsenko', 'endMemberOf', 'German Research Foundation', '2022-04-01'], ['Xinyi Xu', 'endWorksFor', 'University of Hong Kong', '2022-04-01']]
[['Bo Li', 'endWorksFor', 'Education University of Hong Kong', '2022-04-15'], ['Juneseok Lee', 'endWorksFor', 'San Jose State University', '2022-04-15'], ['Hyun-Wook Lee', 'endWorksFor', 'Stanford University', '2022-04-15'], ['Na Liu', 'endWorksFor', 'Xijing Hospital', '2022-04-15']]
[['Lokesh Koodlur Sannegowda', 'endMemberOf', 'German Research Foundation', '2022-04-15'], ['Syed Shahid Abbas', 'endWorksFor', 'Public Health Foundation of India', '2022-04-15'], ['Fábio De Oliveira Braga', 'endWorksFor', 'Instituto Militar de Engenharia', '2022-04-15'], ['Edward T Eng', 'endWorksFor', 'Harvard Medical School', '2022-04-15']]
[['Bruno Neves Cavalcanti', 'endWorksFor', 'São Paulo State University', '2022-04-17'], ['Emeric Thibaud', 'endWorksFor', 'École Polytechnique Fédérale de Lausanne', '2022-04-17'], ['Michele Peresano', 'endWorksFor', 'Fermilab', '2022-04-18'], ['Ali R U002E Mani', 'endWorksFor', 'Tarbiat Modares University', '2022-04-18']]
[['John Solder', 'endWorksFor', 'University of Utah', '2022-04-30'], ['David Manley', 'endWorksFor', 'University of Bristol', '2022-05-01'], ['Almudena Nuno-Gonzalez', 'endWorksFor', 'Clínica Planas', '2022-05-01'], ['Victor A Leon', 'endWorksFor', 'New Jersey City University', '2022-05-01']]
[['Sabrina Semmler', 'endWorksFor', 'German Research Foundation', '2022-05-01'], ['Shigeki Kato', 'endMemberOf', 'German Research Foundation', '2022-05-01'], ['Diana Bogas', 'endWorksFor', 'University of Minho', '2022-05-01'], ['Spyros Sfenthourakis', 'endWorksFor', 'University of Patras', '2022-05-01']]
[['Christoph Huber-Huber', 'endWorksFor', 'University of Vienna', '2022-05-01'], ['Stephan Mielke', 'endWorksFor', 'University Hospital Würzburg', '2022-05-01'], ['Letícia Batista Silva', 'endWorksFor', 'Instituto Nacional De Câncer', '2022-05-01'], ['Anny Cárdenas', 'endWorksFor', 'German Research Foundation', '2022-05-01']]
[['Vanja Sisirak', 'endWorksFor', 'New York University', '2022-05-01'], ['Casey R Wade', 'endWorksFor', 'Brandeis University', '2022-05-01'], ['Devanshi D Dave', 'endWorksFor', 'Alpha College Of Engineering And Technology', '2022-05-01'], ['Mia Tosi', 'endWorksFor', 'CERN', '2022-05-01']]
[['Yolimar Gil', 'endWorksFor', 'Institut De Ciència De Materials De Barcelona', '2022-05-10'], ['Steffen Jahn', 'endWorksFor', 'University of Göttingen', '2022-05-10'], ['Jehad Abubaker', 'endWorksFor', 'King Faisal Specialist Hospital and Research Centre', '2022-05-10'], ['Fredrik Lundvall', 'endWorksFor', 'University of Oslo', '2022-05-10']]
[['Emily Jenkins', 'endMemberOf', 'Harlequin Ladies Football Club', '2022-05-14'], ['Edgar Santos-Fernandez', 'endWorksFor', 'Massey University - Wellington Campus', '2022-05-15'], ['Hua-Lei Yin', 'endWorksFor', 'Zhejiang University', '2022-05-15'], ['Joanne Lucas', 'endWorksFor', 'University of East Anglia', '2022-05-15']]
[['Do Tromp', 'endWorksFor', 'University of Wisconsin– Madison', '2022-06-01'], ['Bernardo Moreira Soares Oliveira', 'endWorksFor', 'University of Jyväskylä', '2022-06-01'], ['Monique Hoon', 'endWorksFor', 'North-West University', '2022-06-01'], ['Christoph Würnschimmel', 'endWorksFor', 'Martini-Klinik', '2022-06-01']]
[['John P Barile', 'endWorksFor', 'Utah Valley Wolverines men\' s basketball', '2022-06-01'], ['Farzaneh Elahifasaee', 'endWorksFor', 'Shanghai Jiao Tong University', '2022-06-01'], ['Vinay Joshi', 'endWorksFor', 'IBM Research – Zurich', '2022-06-01'], ['Marylise Hebert-Schuster', 'endWorksFor', 'Hôpital Cochin', '2022-06-01']]
[['Zhihong Zhang', 'endWorksFor', 'United States Department of Agriculture', '2022-06-06'], ['Sarah A Hopkins', 'endWorksFor', 'Saint Louis University', '2022-06-06'], ['Akinori Irizawa', 'endWorksFor', 'Kobe University', '2022-06-06'], ['Ju-Hoon Lee', 'endWorksFor', 'Kyung Hee University - Global Campus', '2022-06-06']]
[['Stephen R Slauson', 'endWorksFor', 'University of Kansas', '2022-06-06'], ['Gary E Carver', 'endWorksFor', 'Princeton Lightwave U0028 United States U0029 ', '2022-06-06'], ['Abderrahim Benslama', 'endWorksFor', 'University of Biskra', '2022-06-06'], ['Olivia Smith', 'endWorksFor', 'La Trobe University', '2022-06-06']]
[['Simon A Hardwick', 'endWorksFor', 'Clayton Utz', '2022-06-06'], ['Julie M Hastings', 'endWorksFor', 'Medical Research Council ( United Kingdom)', '2022-06-06'], ['Guilherme Gonçalves Okai', 'endWorksFor', 'Fleury S U002E A U002E U0028 Brazil U0029 ', '2022-06-06'], ['Monica Ortiz Hernandez', 'endWorksFor', 'Polytechnic University of Catalonia', '2022-06-06']]
[['Chrisanthi Karapantzou', 'endWorksFor', 'Georg-August-Universität Göttingen Universitätsmedizin', '2022-06-30'], ['Rakhesh Singh Kshetrimayum', 'endWorksFor', 'Pennsylvania State University', '2022-06-30'], ['Tetiana Drevytska', 'endWorksFor', 'Bogomolets National Medical University', '2022-06-30'], ['Takehiro Azuma', 'endWorksFor', 'German Research Foundation', '2022-06-30']]
[['Henrik Simán', 'endWorksFor', 'Skåne University Hospital', '2022-07-01'], ['Shadia Ahmed', 'endWorksFor', 'Barnsley Hospital NHS Foundation Trust', '2022-07-01'], ['Rohit Kumar Verma', 'endWorksFor', 'Babu Banarasi Das University', '2022-07-01'], ['François Gaillard', 'endWorksFor', 'Inserm', '2022-07-01']]
[['Marimar Benitez', 'endWorksFor', 'Gladstone Institutes', '2022-07-31'], ['Lu Gong', 'endWorksFor', 'Chinese Research Academy Of Environmental Sciences', '2022-07-31'], ['Marina Andrijevic', 'endWorksFor', 'Climate Analytics', '2022-07-31'], ['Azeem Tariq', 'endWorksFor', 'University of Göttingen', '2022-07-31']]
[['Paulo Baptista', 'endWorksFor', 'University of Minho', '2022-07-31'], ['Joshua Goodman', 'endWorksFor', 'Brandeis University', '2022-07-31'], ['Niamh Kennedy', 'endWorksFor', 'University of East Anglia', '2022-07-31'], ['Himanshu Aggarwal', 'endWorksFor', 'King Abdullah University of Science and Technology', '2022-07-31']]
[['Albertus Denny Handoko', 'endWorksFor', 'National University of Singapore', '2022-08-01'], ['Maeva Giraudo', 'endWorksFor', 'Environment and Climate Change Canada', '2022-08-01'], ['Alvaro Gutierrez-Uzquiza', 'endWorksFor', 'Children\' s Hospital of Philadelphia', '2022-08-01'], ['Vera Terekhova', 'endWorksFor', 'Russian National Research Medical University', '2022-08-01']]
[['Till Augustin', 'endWorksFor', 'Hamburg University of Technology', '2022-08-01'], ['Frank R Neumann', 'endWorksFor', 'Rockefeller University', '2022-08-01'], ['Jin Bai', 'endWorksFor', 'University of Hong Kong', '2022-08-01'], ['Benjamin Thoreau', 'endWorksFor', 'Hôpital Cochin', '2022-08-01']]
[['Amal Ahmed', 'endWorksFor', 'Indiana University Bloomington', '2022-09-01'], ['Raúl Hernández Sánchez', 'endWorksFor', 'Columbia University', '2022-09-01'], ['Silvia Di Giorgio', 'endWorksFor', 'University of Würzburg', '2022-09-01'], ['Young Min Bae', 'endWorksFor', 'King Abdullah University of Science and Technology', '2022-09-01']]
[['Ross Thyer', 'endWorksFor', 'University of Texas at Austin', '2022-09-17'], ['Barbara Beckingham', 'endWorksFor', 'University of Tübingen', '2022-09-17'], ['Hideto Kuribayashi', 'endWorksFor', 'Agilent Technologies U0028 Japan U0029 ', '2022-09-17'], ['Mengyi Li', 'endWorksFor', 'University of Wisconsin– Madison', '2022-09-18']]
[['Sam Horrell', 'endWorksFor', 'University of Hamburg', '2022-10-01'], ['Giulia Prete', 'endWorksFor', 'D\' Annunzio University of Chieti– Pescara', '2022-10-01'], ['Daniel S U002E Moura', 'endWorksFor', 'Washington State University', '2022-10-01'], ['Susan G Letcher', 'endWorksFor', 'State University of New York at Purchase', '2022-10-01']]
[['Ícaro Dias Da Silva', 'endWorksFor', 'Faculdade De Ciências Da Universidade De Lisboa', '2022-10-31'], ['Nicholas Hubbard', 'endWorksFor', 'Seattle Children\' s Research Institute', '2022-11-01'], ['José Coelho', 'endWorksFor', 'University of Lisbon', '2022-11-01'], ['Qing-Miao Hu', 'endWorksFor', 'KTH Royal Institute of Technology', '2022-11-01']]
[['Mengesha Srahbzu', 'endWorksFor', 'Jimma University', '2022-11-01'], ['Neelke De Munck', 'endWorksFor', 'Vrije Universiteit Brussel', '2022-11-01'], ['David R U002E W U002E Hodgson', 'endWorksFor', 'Durham University', '2022-11-01'], ['Olumayokun A Olajide', 'endWorksFor', 'London Metropolitan University', '2022-11-01']]
[['Adeoluwa Oluwaseyi Adeleye', 'endWorksFor', 'Obafemi Awolowo University Faculty Of Agriculture', '2022-11-01'], ['Susanne Brandtstädter', 'endWorksFor', 'University of Oslo', '2022-11-01'], ['Limin Guo', 'endWorksFor', 'Tohoku University', '2022-11-01'], ['Daniele Chaves-Moreira', 'endWorksFor', 'Federal University of Paraná', '2022-11-01']]
[['Rami B Kassab', 'endWorksFor', 'Helwan University', '2022-11-01'], ['Natalie Feldsine', 'endWorksFor', 'New York Botanical Garden', '2022-11-01'], ['Marwan Gebran', 'endWorksFor', 'Columbia University', '2022-11-01'], ['Sébastien Charlon', 'endWorksFor', 'École des Mines de Douai', '2022-11-01']]
[['Agata Kurzyk', 'endWorksFor', 'Mabion U0028 Poland U0029 ', '2022-11-01'], ['Esther J Smits', 'endWorksFor', 'University Medical Center Groningen', '2022-11-01'], ['Udeshika Kariyawasam', 'endWorksFor', 'Faculty of Medicine, University of Colombo', '2022-11-01'], ['Damian Mikolaj Janecki', 'endWorksFor', 'Institute Of Bioorganic Chemistry Polish Academy Of Sciences', '2022-11-01']]
[['Bjoern Schaeffner', 'endWorksFor', 'Biology Centre', '2022-11-01'], ['Monika Mehta', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2022-11-01'], ['Ryan S Mcmullen', 'endWorksFor', 'University of Bristol', '2022-11-01'], ['Juliette Leymarie', 'endWorksFor', 'Pierre and Marie Curie University', '2022-11-01']]
[['Fernando R Fernandez', 'endWorksFor', 'University of Utah', '2022-11-05'], ['Peter Varghese', 'endWorksFor', 'Macquarie University', '2022-11-05'], ['Seung Won Lee', 'endWorksFor', 'Sungkyunkwan University', '2022-11-06'], ['George Paltoglou', 'endWorksFor', 'Great Ormond Street Hospital for Children NHS Foundation Trust', '2022-11-06']]
[['Bailin Deng', 'endWorksFor', 'University of Hull', '2022-11-12'], ['Perry T C Van Doormaal', 'endWorksFor', 'Johns Hopkins Hospital', '2022-11-12'], ['Ahmed Kamal', 'endWorksFor', 'Indian Institute of Chemical Technology', '2022-11-12'], ['Ekaterina Potapova', 'endWorksFor', 'Associação Viver A Ciência', '2022-11-12']]
[['Pawel Nowakowski', 'endWorksFor', 'University of Nantes', '2022-11-17'], ['Daniel J Spencer', 'endWorksFor', 'Brigham and Women\' s Hospital', '2022-11-17'], ['Muhammad Sohail', 'endWorksFor', 'Dalian Institute of Chemical Physics', '2022-11-18'], ['Zixing Dong', 'endWorksFor', 'Tianjin University Of Science And Technology - Tianjin Economic And Technological Development Area Campus', '2022-11-18']]
[['Jungwon Yoon', 'endWorksFor', 'Gyeongsang National University', '2022-11-23'], ['Jae Hwa Yoo', 'endWorksFor', 'Soonchunhyang University Hospital', '2022-11-23'], ['M U002E Gabriela Bernardo-Gil', 'endWorksFor', 'Instituto Superior Técnico', '2022-11-23'], ['Katerina Christofidou', 'endWorksFor', 'University of Manchester', '2022-11-23']]
[['Santiago Guerrero', 'endWorksFor', 'Institut de biologie moléculaire et cellulaire', '2022-11-23'], ['Sarah Scott', 'endWorksFor', 'University of Aberdeen', '2022-11-23'], ['Din-Chi Chiu', 'endWorksFor', 'National Taiwan University', '2022-11-23'], ['Kabgyun Jeong', 'startWorksFor', 'BC Minsk', '2022-11-24']]
[['Cedric Rocha Leão', 'startWorksFor', 'National Atmospheric Research Laboratory', '2022-12-01'], ['Daniel K Mulkey', 'endWorksFor', 'University of Connecticut', '2022-12-01'], ['Marc Lazaro', 'endWorksFor', 'Applus+ IDIADA', '2022-12-01'], ['Changhyun Roh', 'endWorksFor', 'Auburn University', '2022-12-01']]
[['Luna De Ferrari', 'endWorksFor', 'University of Missouri School of Medicine', '2022-12-01'], ['Lynne Zeldenryk', 'endWorksFor', 'James Cook University', '2022-12-01'], ['Shahdab Almelkar', 'endWorksFor', 'National Institute of Virology', '2022-12-01'], ['Stephan Westphal', 'endWorksFor', 'University of Göttingen', '2022-12-01']]
[['Nael G Yasri', 'startWorksFor', 'German Research Foundation', '2022-12-01'], ['Franklin D Echevarria', 'endWorksFor', 'Case Western Reserve University', '2022-12-01'], ['Amy J Xu', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2022-12-01'], ['Angela D U0027 Ascola', 'endWorksFor', 'University of Messina', '2022-12-01']]
[['Xiao-Yun Yan', 'endWorksFor', 'Xiamen University', '2022-12-20'], ['Elizabeth C Wescott', 'endWorksFor', 'Duke University Human Vaccine Institute', '2022-12-29'], ['Vincent Mariage', 'endWorksFor', 'University of Versailles Saint-Quentin-en-Yvelines', '2022-12-29'], ['Constantine Zacharioudakis', 'endWorksFor', 'Guy\' s and St Thomas\' NHS Foundation Trust', '2022-12-29']]
[['Leslie Reti', 'endWorksFor', 'La Trobe University', '2022-12-29'], ['Mar Petit-Pedrol', 'endWorksFor', 'Institut D U0027 Investigacions Biomèdiques August Pi I Sunyer', '2022-12-29'], ['Yao-Jan Wu', 'endWorksFor', 'Saint Louis University', '2022-12-29'], ['António M P Ribeiro', 'endWorksFor', 'Aveiro Institute Of Materials', '2022-12-29']]
[['Stuart Biddle', 'startWorksFor', 'German Research Foundation', '2022-12-29'], ['Wei Lin Leong', 'endWorksFor', 'Institute Of Materials Research And Engineering', '2022-12-29'], ['Peng Yang', 'endWorksFor', 'University of Wyoming', '2022-12-29'], ['Derek M U002E Griffith', 'endWorksFor', 'University of Michigan', '2022-12-29']]
[['Mehmet F Bastug', 'endWorksFor', 'Ontario Tech University', '2022-12-30'], ['Andrew Wommack', 'endWorksFor', 'Massachusetts Institute of Technology', '2022-12-31'], ['Sergio A U002E Costa', 'endWorksFor', 'University of Nebraska Medical Center', '2022-12-31'], ['Alka Singh', 'endWorksFor', 'South Asian University', '2022-12-31']]
