[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Rose M Martin', 'endWorksFor', 'Oak Ridge Institute for Science and Education', '2026-06-20'], ['Federico Picollo', 'endWorksFor', 'Istituto Nazionale di Fisica Nucleare', '2026-06-20'], ['Mohammad Reza Pourhaghighi', 'endWorksFor', 'University of Toronto', '2026-06-20'], ['Sujung Jun', 'endMemberOf', 'Fairleigh Dickinson Knights men\' s basketball', '2026-06-20']]
[['Jeffrey Grigg', 'endWorksFor', 'Johns Hopkins School of Education', '2026-06-20'], ['Sabrina Epiphanio', 'startMemberOf', 'Mexico national under-20 football team', '2026-06-20'], ['Stefano Marino', 'endWorksFor', 'University of Molise', '2026-06-20'], ['Riccardo Comin', 'endWorksFor', 'University of Toronto', '2026-06-20']]
[['Mercedes Reguera-Brito', 'endWorksFor', 'Hospital Universitario Puerta Del Mar', '2026-06-20'], ['Felipe Barros', 'endWorksFor', 'Unifran', '2026-06-20'], ['Shengyu Yang', 'endWorksFor', 'Weill Cornell Medicine', '2026-06-20'], ['Yonny Romaguera-Barcelay', 'endWorksFor', 'Federal University of São Carlos', '2026-06-21']]
[['Zhong-Shuai Wu', 'endWorksFor', 'Max Planck Institute for Polymer Research', '2026-06-21'], ['Kenneth K Tran', 'endWorksFor', 'North Florida U002F South Georgia Veterans Health System', '2026-06-21'], ['Ana David-Pereira', 'endMemberOf', 'Veltex Shizuoka', '2026-06-26'], ['Alicia Torres-Nuñez', 'endWorksFor', 'University of Rovira i Virgili', '2026-06-27']]
[['Dane Evan Zambrano', 'endWorksFor', 'University of Arizona', '2026-06-29'], ['Yali Li', 'endWorksFor', 'Deakin University', '2026-06-29'], ['Anna V Kimmel', 'endWorksFor', 'National Physical Laboratory ( United Kingdom)', '2026-06-29'], ['Ying-Chih Lai', 'endWorksFor', 'Feng Chia University', '2026-06-30']]
[['Chrisanthi Karapantzou', 'endWorksFor', 'Georg-August-Universität Göttingen Universitätsmedizin', '2026-06-30'], ['Rakhesh Singh Kshetrimayum', 'endWorksFor', 'Pennsylvania State University', '2026-06-30'], ['Tetiana Drevytska', 'endWorksFor', 'Bogomolets National Medical University', '2026-06-30'], ['Takehiro Azuma', 'endWorksFor', 'German Research Foundation', '2026-06-30']]
[['Dustin M U002E Graham', 'endMemberOf', 'Ospreys ( rugby union)', '2026-06-30'], ['Stella L Volpe', 'endWorksFor', 'Drexel University', '2026-06-30'], ['Jorge Munoz', 'endMemberOf', 'Lusíada University', '2026-06-30'], ['Roberto Lemus-Mondaca', 'endMemberOf', 'Ball State Cardinals men\' s basketball', '2026-06-30']]
[['Rym Kefi', 'endMemberOf', 'Global Young Academy', '2026-06-30'], ['Remya Nair', 'endWorksFor', 'Kyoto University', '2026-07-01'], ['Amr M Saadeldeen', 'endWorksFor', 'October 6 University Faculty Of Pharmacy', '2026-07-01'], ['Heidi Holmen', 'endWorksFor', 'Oslo and Akershus University College', '2026-07-01']]
[['Ali Gökçe', 'endMemberOf', 'Città Della Salute E Della Scienza', '2026-07-01'], ['Sakyasingha Dasgupta', 'startMemberOf', 'German Research Foundation', '2026-07-01'], ['Sharon Hutchison', 'endWorksFor', 'NHS Highland', '2026-07-01'], ['Wei Zhou', 'endWorksFor', 'Hacettepe University Medical School', '2026-07-01']]
[['Ajay Kumar Srivastava', 'endWorksFor', 'BC Andorra', '2026-07-01'], ['Yi-Dan Du', 'endWorksFor', 'University of Hong Kong', '2026-07-01'], ['Björn Koos', 'endWorksFor', 'Max Planck Institute of Molecular Physiology', '2026-07-01'], ['John V Dzimianski', 'startMemberOf', 'A. S. D. Calcio Chiasiellis', '2026-07-01']]
[['Henrik Simán', 'endWorksFor', 'Skåne University Hospital', '2026-07-01'], ['Shadia Ahmed', 'endWorksFor', 'Barnsley Hospital NHS Foundation Trust', '2026-07-01'], ['Rohit Kumar Verma', 'endWorksFor', 'Babu Banarasi Das University', '2026-07-01'], ['François Gaillard', 'endWorksFor', 'Inserm', '2026-07-01']]
[['João P Da Costa', 'endWorksFor', 'University of Aveiro', '2026-07-01'], ['Richard Stern', 'startMemberOf', 'University of Melbourne', '2026-07-01'], ['Juan Du', 'endWorksFor', 'Australia men\' s national soccer team generic instance', '2026-07-01'], ['Evan D Miller', 'endWorksFor', 'Autoliv U0028 United States U0029 ', '2026-07-01']]
[['Adam Cawley', 'endWorksFor', 'National Measurement Institute', '2026-07-02'], ['Fernando P Lima', 'endWorksFor', 'Faculty Of Sciences Of The University Of Porto', '2026-07-02'], ['Simon Agolory', 'endWorksFor', 'Tulane Medical Center', '2026-07-03'], ['Philip Perry', 'endWorksFor', 'Dublin City University', '2026-07-04']]
[['Hector J Rivera-Jacquez', 'endWorksFor', 'University of Central Florida', '2026-07-04'], ['Brian I U002E Magi', 'endWorksFor', 'Princeton University', '2026-07-05'], ['Einav Tayeb-Fligelman', 'endWorksFor', 'David Geffen School of Medicine at UCLA', '2026-07-07'], ['Hai Wang', 'endWorksFor', 'Cornell University', '2026-07-07']]
[['Volker Dötsch', 'endWorksFor', 'University of California, San Francisco', '2026-07-08'], ['Anant Mamidi', 'endWorksFor', 'University of Padua', '2026-07-09'], ['Chandrasai Potla Durthi', 'endWorksFor', 'National Institute of Nutrition, Hyderabad', '2026-07-09'], ['Somayeh Mashayekhi', 'endWorksFor', 'Florida State University', '2026-07-10']]
[['Tsukasa Baba', 'endWorksFor', 'Lund University', '2026-07-13'], ['Joseph Unsay', 'endWorksFor', 'Ateneo de Manila University', '2026-07-13'], ['Elisa Calvo', 'endWorksFor', 'Alfonso X El Sabio University', '2026-07-13'], ['Richard Evans', 'endWorksFor', 'University of Westminster', '2026-07-13']]
[['Gianluca Ciatto', 'endWorksFor', 'European Synchrotron Radiation Facility', '2026-07-13'], ['Daniel K Jones', 'endWorksFor', 'Cary Institute of Ecosystem Studies', '2026-07-13'], ['Bin Wu', 'endWorksFor', 'Huashan Hospital', '2026-07-13'], ['Barbara Caplan', 'endWorksFor', 'University of California, Los Angeles', '2026-07-13']]
[['Mahantesha B N Naika', 'endWorksFor', 'University of Agricultural Sciences, Bangalore', '2026-07-13'], ['Nicoletta Plotegher', 'endWorksFor', 'University of Pavia', '2026-07-13'], ['Paula Rote', 'startMemberOf', 'German Research Foundation', '2026-07-13'], ['Muhammad Awais', 'startMemberOf', 'A. R. Monex Women\' s Pro Cycling Team', '2026-07-13']]
[['Latha Kumari', 'endWorksFor', 'Florida International University', '2026-07-13'], ['Dimosthenis Kotsopoulos', 'endWorksFor', 'Hellenic Army', '2026-07-15'], ['Eliran Bar-El', 'endWorksFor', 'Tel Aviv University', '2026-07-16'], ['Masaaki Shojima', 'endWorksFor', 'The University Of Tokyo Hospital', '2026-07-17']]
[['Mary M Lee', 'endWorksFor', 'Stony Brook University Hospital', '2026-07-20'], ['Hugues Sana', 'endWorksFor', 'Space Telescope Science Institute', '2026-07-22'], ['Rafal Suwinski', 'startAcademicDegree', 'Doctor of Sciences generic instance', '2026-07-23'], ['Paras Mehta', 'endWorksFor', 'National Institutes of Health Clinical Center', '2026-07-23']]
[['Francesco Strati', 'endWorksFor', 'Edmund Mach Foundation', '2026-07-25'], ['Jungpil Seo', 'endWorksFor', 'Princeton University', '2026-07-25'], ['Alessio Menga', 'endWorksFor', 'University of Bari', '2026-07-26'], ['Maggy M U002E Nugues', 'endWorksFor', 'University of North Carolina Wilmington', '2026-07-27']]
[['Stephanie N Tornberg-Belanger', 'endWorksFor', 'Tufts University', '2026-07-29'], ['Ariane Utomo', 'startMemberOf', 'German Institute Of Human Nutrition', '2026-07-30'], ['Néstor E Valadez-Pérez', 'startMemberOf', 'University of Galway', '2026-07-30'], ['Diana G Branzea', 'endWorksFor', 'Ircica Digital Institute', '2026-07-30']]
[['Marimar Benitez', 'endWorksFor', 'Gladstone Institutes', '2026-07-31'], ['Lu Gong', 'endWorksFor', 'Chinese Research Academy Of Environmental Sciences', '2026-07-31'], ['Marina Andrijevic', 'endWorksFor', 'Climate Analytics', '2026-07-31'], ['Azeem Tariq', 'endWorksFor', 'University of Göttingen', '2026-07-31']]
[['Paulo Baptista', 'endWorksFor', 'University of Minho', '2026-07-31'], ['Joshua Goodman', 'endWorksFor', 'Brandeis University', '2026-07-31'], ['Niamh Kennedy', 'endWorksFor', 'University of East Anglia', '2026-07-31'], ['Himanshu Aggarwal', 'endWorksFor', 'King Abdullah University of Science and Technology', '2026-07-31']]
[['Luciano Battioni', 'endMemberOf', 'Auckland District Health Board', '2026-07-31'], ['Leonilde M U002E Moreira', 'endWorksFor', 'University of Illinois Chicago', '2026-08-01'], ['Michał Czubenko', 'endWorksFor', 'Gdańsk University of Technology', '2026-08-01'], ['Ibukun Afolami', 'endMemberOf', 'Western Kentucky Hilltoppers basketball', '2026-08-01']]
[['Albertus Denny Handoko', 'endWorksFor', 'National University of Singapore', '2026-08-01'], ['Maeva Giraudo', 'endWorksFor', 'Environment and Climate Change Canada', '2026-08-01'], ['Alvaro Gutierrez-Uzquiza', 'endWorksFor', 'Children\' s Hospital of Philadelphia', '2026-08-01'], ['Vera Terekhova', 'endWorksFor', 'Russian National Research Medical University', '2026-08-01']]
[['Heba Morsy', 'endWorksFor', 'Medical Research Institute Alexandria University', '2026-08-01'], ['Abdullah Nazib', 'endWorksFor', 'Robot research initiative', '2026-08-01'], ['Polina Kuzhir', 'startMemberOf', 'Sporting Kansas City II', '2026-08-01'], ['Mark Zervas', 'endWorksFor', 'Amgen U0028 United Kingdom U0029 ', '2026-08-01']]
[['Till Augustin', 'endWorksFor', 'Hamburg University of Technology', '2026-08-01'], ['Frank R Neumann', 'endWorksFor', 'Rockefeller University', '2026-08-01'], ['Jin Bai', 'endWorksFor', 'University of Hong Kong', '2026-08-01'], ['Benjamin Thoreau', 'endWorksFor', 'Hôpital Cochin', '2026-08-01']]
[['S U002E K U002E Patel', 'endMemberOf', 'Slovenia national under-21 football team', '2026-08-01'], ['Pablo F Siles', 'endWorksFor', 'Virginia Cavaliers men\' s basketball', '2026-08-01'], ['Yu Chen', 'startMemberOf', 'Italy national football team', '2026-08-01'], ['Andres Losada', 'endWorksFor', 'École nationale vétérinaire d\' Alfort', '2026-08-01']]
[['Anusha L Dissanayake', 'startMemberOf', 'German Research Foundation', '2026-08-01'], ['Christina Dyar', 'endWorksFor', 'University of Cincinnati', '2026-08-01'], ['Carolyn Klocke', 'endWorksFor', 'University of Rochester Medical Center', '2026-08-01'], ['Nicholas C Fitzkee', 'endWorksFor', 'Mississippi State University', '2026-08-01']]
[['Ryan Booth', 'endWorksFor', 'Wenatchee Valley College', '2026-08-01'], ['Seok-Ho Kim', 'endWorksFor', 'National Center for Supercomputing Applications', '2026-08-02'], ['Alexandra Ushakova', 'endMemberOf', 'Panathinaikos B. C.', '2026-08-03'], ['Guillaume-Anthony Odri', 'endWorksFor', 'Royal National Orthopaedic Hospital', '2026-08-03']]
[['Peter D Gould', 'endWorksFor', 'Lancaster Environment Centre', '2026-08-04'], ['David Wield', 'endWorksFor', 'University of Edinburgh', '2026-08-08'], ['Lichun Wang', 'endWorksFor', 'University of Texas at Austin', '2026-08-10'], ['Beata Czarnecka', 'endWorksFor', 'Stade Français', '2026-08-10']]
[['Hikaru Oba', 'endWorksFor', 'Kyoto Prefectural University of Medicine', '2026-08-15'], ['Anastasia Zhuravleva', 'endWorksFor', 'University of Massachusetts Amherst', '2026-08-16'], ['Yusuf Bicer', 'endWorksFor', 'Ontario Tech University', '2026-08-20'], ['Silvia Moscatelli', 'endWorksFor', 'Marche Polytechnic University', '2026-08-22']]
[['Saju Pillai', 'startWorksFor', 'Motor City Cruise', '2026-08-23'], ['Moniruzzaman Shaikh', 'endWorksFor', 'ICFO', '2026-08-26'], ['Zelda De Lange', 'startMemberOf', 'Vozrozhdenie', '2026-08-27'], ['Farha A Kabeer', 'endWorksFor', 'National Scientific and Technical Research Council', '2026-08-27']]
[['Simone Marras', 'endWorksFor', 'Stanford University', '2026-08-27'], ['Zi-Yang Zhang', 'startMemberOf', 'German Research Foundation', '2026-08-28'], ['David Hunt', 'endWorksFor', 'University of California, Los Angeles', '2026-08-28'], ['Antony Colombo', 'endMemberOf', 'Kaiku', '2026-08-29']]
[['Hongjoon Shin', 'endMemberOf', 'Parkhotel Valkenburg Cycling Team', '2026-08-30'], ['Arash Ahmadi', 'endWorksFor', 'Razi University', '2026-08-31'], ['Xiaoli Zhang', 'endWorksFor', 'Ohio State University', '2026-08-31'], ['Young-Mook Kang', 'endWorksFor', 'Korea Basic Science Institute', '2026-08-31']]
[['Alberto Campagnolo', 'endWorksFor', 'Amgueddfa Cymru – Museum Wales', '2026-08-31'], ['Naisana Seyedasli', 'endWorksFor', 'Victor Chang Cardiac Research Institute', '2026-08-31'], ['Wei Liu', 'endWorksFor', 'University of Glasgow', '2026-08-31'], ['María Del Mar Castellanos', 'endWorksFor', 'Detroit Medical Center', '2026-08-31']]
[['Amal Ahmed', 'endWorksFor', 'Indiana University Bloomington', '2026-09-01'], ['Raúl Hernández Sánchez', 'endWorksFor', 'Columbia University', '2026-09-01'], ['Silvia Di Giorgio', 'endWorksFor', 'University of Würzburg', '2026-09-01'], ['Young Min Bae', 'endWorksFor', 'King Abdullah University of Science and Technology', '2026-09-01']]
[['Christina G Na', 'endWorksFor', 'University of North Carolina at Chapel Hill', '2026-09-01'], ['Allan Buzibye', 'endMemberOf', 'Niigata Albirex BB', '2026-09-01'], ['Clément Gay', 'endWorksFor', 'Laboratoire de Physique des Solides', '2026-09-01'], ['Jayden O Van Horik', 'endWorksFor', 'University of Cambridge', '2026-09-01']]
[['Mahmoud Akrami', 'startMemberOf', 'German Research Foundation', '2026-09-01'], ['Sisitha Jayasinghe', 'endWorksFor', 'University of Lausanne', '2026-09-01'], ['Arthur Rose', 'endMemberOf', 'Oregon Ducks men\' s basketball', '2026-09-01'], ['Kristina B Wolff', 'endWorksFor', 'Bates College', '2026-09-01']]
[['Brett Wolfson-Stofko', 'startWorksFor', 'Portugal national under-20 football team', '2026-09-01'], ['Amit K U002E Chattopadhyay', 'endWorksFor', 'Aston University', '2026-09-01'], ['Nancy Lan Guo', 'startMemberOf', 'Oman national under-23 football team', '2026-09-01'], ['Stuart W Crane', 'endWorksFor', 'Heriot-Watt University', '2026-09-02']]
[['Sanjay Remanan', 'endWorksFor', 'Indian Institute of Science', '2026-09-03'], ['Madan Junghare', 'endWorksFor', 'The Energy and Resources Institute', '2026-09-03'], ['Derrick J E Groom', 'endWorksFor', 'University of Massachusetts Amherst', '2026-09-05'], ['Yingwei Yang', 'endWorksFor', 'University of South Florida', '2026-09-05']]
[['Lilya Lehka', 'endWorksFor', 'Enamine Ltd', '2026-09-07'], ['Gabriel Diniz', 'endWorksFor', 'Centrum Wiskunde & Informatica', '2026-09-08'], ['Naushad Ahmed', 'endWorksFor', 'IIT Bombay', '2026-09-09'], ['Maria Koutsoupidou', 'endWorksFor', 'Hellenic Military Academy', '2026-09-09']]
[['Loc V U002E Tran', 'endWorksFor', 'Tôn Đứ c Th u1EAF ng University', '2026-09-12'], ['Sinem Coleri Ergen', 'endWorksFor', 'National Semiconductor', '2026-09-12'], ['Jinwon Jung', 'endWorksFor', 'University of Pittsburgh', '2026-09-14'], ['Jenny Persson', 'endWorksFor', 'Lund University', '2026-09-14']]
[['Ross Thyer', 'endWorksFor', 'University of Texas at Austin', '2026-09-17'], ['Barbara Beckingham', 'endWorksFor', 'University of Tübingen', '2026-09-17'], ['Hideto Kuribayashi', 'endWorksFor', 'Agilent Technologies U0028 Japan U0029 ', '2026-09-17'], ['Mengyi Li', 'endWorksFor', 'University of Wisconsin– Madison', '2026-09-18']]
[['Matthew G Macowan', 'endWorksFor', 'Royal Adelaide Hospital', '2026-09-20'], ['Marta Kramer Mikkelsen', 'endWorksFor', 'Rigshospitalet', '2026-09-21'], ['Susan L U002E Kendall', 'startMemberOf', 'Romania national football team', '2026-09-23'], ['Anastasia Konis', 'endWorksFor', 'Australian Catholic University', '2026-09-24']]
[['Nikolay Manavski', 'endMemberOf', 'Ovalie Caennaise', '2026-09-25'], ['Chunxiang Wang', 'endWorksFor', 'Riken', '2026-09-25'], ['Pandjassarame Kangueane', 'endWorksFor', 'AIMST University', '2026-09-25'], ['Abimbola Idowu', 'endWorksFor', 'Weizmann Institute of Science', '2026-09-25']]
[['Rosemary L U002E Hill', 'endWorksFor', 'University of Leeds', '2026-09-27'], ['Desiree Unselt', 'endWorksFor', 'North Carolina State University', '2026-09-27'], ['Simona Bronco', 'startMemberOf', 'German Research Foundation', '2026-09-30'], ['Magda R Hamczyk', 'endMemberOf', 'Catholic University of the North', '2026-09-30']]
[['Chris Groves', 'endWorksFor', 'University of Washington', '2026-09-30'], ['Luigi Germinario', 'startMemberOf', 'Instituto de Biologia Molecular e Celular', '2026-09-30'], ['Aurélien Wyttenbach', 'endWorksFor', 'German Research Foundation', '2026-09-30'], ['Wooyeol Choi', 'endWorksFor', 'Korea Aerospace Research Institute', '2026-09-30']]
[['Emmanuel Serrano', 'endMemberOf', 'German Research Foundation', '2026-09-30'], ['Marta Mauri', 'startMemberOf', 'Stanford University School of Medicine', '2026-09-30'], ['Trinh Lam', 'endMemberOf', 'Indian Agricultural Research Institute', '2026-09-30'], ['Sucharita Saha', 'endWorksFor', 'University of Massachusetts Medical School', '2026-09-30']]
[['Ching-Fang Wu', 'endMemberOf', 'German Research Foundation', '2026-10-01'], ['Ines Klemme', 'endWorksFor', 'CB Breogán', '2026-10-01'], ['Kusum Pandit', 'endWorksFor', 'University of Pittsburgh', '2026-10-01'], ['Muataz Al Barwani', 'endWorksFor', 'Sultan Qaboos University', '2026-10-01']]
[['Mustafa Gok', 'endWorksFor', 'University of Sydney', '2026-10-01'], ['Mandy Menzel', 'endMemberOf', 'CB Breogán', '2026-10-01'], ['Ehsan Qorbani', 'endWorksFor', 'University of Vienna', '2026-10-01'], ['Radovan Spurny', 'startWorksFor', 'Ssv Ulm 1846', '2026-10-01']]
[['Guang Yang', 'endWorksFor', 'University of Erlangen– Nuremberg', '2026-10-01'], ['Angelos Sharobeam', 'endWorksFor', 'Act Health Directorate', '2026-10-01'], ['Frank Mattheis', 'endWorksFor', 'Leipzig University', '2026-10-01'], ['Dogan Erbahar', 'startMemberOf', 'Florida Gators men\' s basketball', '2026-10-01']]
[['Jie Han', 'startAcademicDegree', 'Graduate certificate generic instance', '2026-10-01'], ['Aline Govin', 'endWorksFor', 'Joint Cnrs U002F Thales Physics Unit', '2026-10-01'], ['Frank Förster', 'endWorksFor', 'University of Würzburg', '2026-10-01'], ['Ramin Herati', 'startWorksFor', 'German Research Foundation', '2026-10-01']]
[['Sam Horrell', 'endWorksFor', 'University of Hamburg', '2026-10-01'], ['Giulia Prete', 'endWorksFor', 'D\' Annunzio University of Chieti– Pescara', '2026-10-01'], ['Daniel S U002E Moura', 'endWorksFor', 'Washington State University', '2026-10-01'], ['Susan G Letcher', 'endWorksFor', 'State University of New York at Purchase', '2026-10-01']]
[['Michael Mckay', 'endWorksFor', 'La Trobe University', '2026-10-02'], ['Tamás Schauer', 'endWorksFor', 'European Molecular Biology Laboratory', '2026-10-04'], ['Hiromichi Ebi', 'endWorksFor', 'Kanazawa University', '2026-10-05'], ['Kélin Schwarz', 'endWorksFor', 'Unicentro', '2026-10-08']]
[['Md Billal Hossain', 'endWorksFor', 'University of Texas at Arlington', '2026-10-09'], ['Stephen Myers', 'endWorksFor', 'Federation University Australia', '2026-10-10'], ['Julien Colombani', 'endMemberOf', 'Médecins Sans Frontières', '2026-10-11'], ['Lyudmila Turyanska', 'endWorksFor', 'University of Nottingham', '2026-10-14']]
[['Corbin Renken', 'endWorksFor', 'German Research Foundation', '2026-10-15'], ['Ian Church', 'endWorksFor', 'University of Southern Mississippi', '2026-10-16'], ['Hélcio Kanegusuku', 'endWorksFor', 'Federal University of São Paulo', '2026-10-16'], ['Tiago P Dias', 'startMemberOf', 'German Research Foundation', '2026-10-16']]
[['Isabel Koh', 'endMemberOf', 'South Korea national football team generic instance', '2026-10-17'], ['Aleksander Jankowski', 'endWorksFor', 'European Molecular Biology Laboratory', '2026-10-17'], ['Giovanni Tassielli', 'endMemberOf', 'University of Saskatchewan', '2026-10-17'], ['Ana C Pena', 'endWorksFor', 'Instituto de Medicina Molecular', '2026-10-17']]
[['Johnathon Osmond', 'endWorksFor', 'University of Texas at Austin', '2026-10-17'], ['Karen Harris', 'endWorksFor', 'La Trobe University', '2026-10-17'], ['Helen Frost', 'endMemberOf', 'University of Milan', '2026-10-17'], ['Sara Bachiller', 'endWorksFor', 'Pablo de Olavide University', '2026-10-17']]
[['Anthony Mathelier', 'endWorksFor', 'University of British Columbia', '2026-10-18'], ['Imtiaj Hasan', 'endWorksFor', 'Independent University, Bangladesh', '2026-10-20'], ['Saikat Bhattacharjee', 'endWorksFor', 'University of Missouri', '2026-10-21'], ['Antonia Canosa', 'endWorksFor', 'Southern Cross University', '2026-10-22']]
[['Craig A Ranson', 'endWorksFor', 'Cardiff Metropolitan University', '2026-10-23'], ['Bernard Asamoah Barnie', 'startMemberOf', 'European Bioinformatics Institute', '2026-10-25'], ['Akinori Higaki', 'endWorksFor', 'Ehime University Hospital', '2026-10-26'], ['Dalia Majumdar', 'endWorksFor', 'Sinai Health System', '2026-10-27']]
[['Ryo Nagai', 'endWorksFor', 'Ochanomizu University', '2026-10-28'], ['Muhammad Zia', 'endWorksFor', 'Conexant', '2026-10-28'], ['Abheepsa Mishra', 'endWorksFor', 'Himalaya Wellness Company', '2026-10-28'], ['Jessica M Ketchum', 'endWorksFor', 'Virginia Commonwealth University Department Of Biostatistics', '2026-10-28']]
[['Jennifer Shelton', 'startMemberOf', 'German Research Foundation', '2026-10-28'], ['Gang Zhou', 'endWorksFor', 'College of William & Mary', '2026-10-29'], ['José Ignacio López-Sánchez', 'endMemberOf', 'University of California, Santa Cruz', '2026-10-29'], ['Antonia Cinira M Diogo', 'endWorksFor', 'Federal University of Rio de Janeiro', '2026-10-29']]
[['Denisa Baci', 'endWorksFor', 'University of Milano-Bicocca', '2026-10-30'], ['Stephan N Witt', 'endMemberOf', 'Panathinaikos B. C.', '2026-10-31'], ['Pedro Levín', 'endMemberOf', 'University of Granada', '2026-10-31'], ['Véronique Bernard', 'endMemberOf', 'German Research Foundation', '2026-10-31']]
[['Ícaro Dias Da Silva', 'endWorksFor', 'Faculdade De Ciências Da Universidade De Lisboa', '2026-10-31'], ['Nicholas Hubbard', 'endWorksFor', 'Seattle Children\' s Research Institute', '2026-11-01'], ['José Coelho', 'endWorksFor', 'University of Lisbon', '2026-11-01'], ['Qing-Miao Hu', 'endWorksFor', 'KTH Royal Institute of Technology', '2026-11-01']]
[['Mengesha Srahbzu', 'endWorksFor', 'Jimma University', '2026-11-01'], ['Neelke De Munck', 'endWorksFor', 'Vrije Universiteit Brussel', '2026-11-01'], ['David R U002E W U002E Hodgson', 'endWorksFor', 'Durham University', '2026-11-01'], ['Olumayokun A Olajide', 'endWorksFor', 'London Metropolitan University', '2026-11-01']]
[['Reut Shavit', 'endWorksFor', 'Ben-Gurion University of the Negev', '2026-11-01'], ['Güzide Doğan', 'endWorksFor', 'Celal Bayar Üniversitesi Tıp Fakültesi', '2026-11-01'], ['Kazuko Suzuki', 'endMemberOf', 'Morocco national football team generic instance', '2026-11-01'], ['Wanda Biała', 'startMemberOf', 'Imperial College London', '2026-11-01']]
[['Adeoluwa Oluwaseyi Adeleye', 'endWorksFor', 'Obafemi Awolowo University Faculty Of Agriculture', '2026-11-01'], ['Susanne Brandtstädter', 'endWorksFor', 'University of Oslo', '2026-11-01'], ['Limin Guo', 'endWorksFor', 'Tohoku University', '2026-11-01'], ['Daniele Chaves-Moreira', 'endWorksFor', 'Federal University of Paraná', '2026-11-01']]
[['Rami B Kassab', 'endWorksFor', 'Helwan University', '2026-11-01'], ['Natalie Feldsine', 'endWorksFor', 'New York Botanical Garden', '2026-11-01'], ['Marwan Gebran', 'endWorksFor', 'Columbia University', '2026-11-01'], ['Sébastien Charlon', 'endWorksFor', 'École des Mines de Douai', '2026-11-01']]
[['Agata Kurzyk', 'endWorksFor', 'Mabion U0028 Poland U0029 ', '2026-11-01'], ['Esther J Smits', 'endWorksFor', 'University Medical Center Groningen', '2026-11-01'], ['Udeshika Kariyawasam', 'endWorksFor', 'Faculty of Medicine, University of Colombo', '2026-11-01'], ['Damian Mikolaj Janecki', 'endWorksFor', 'Institute Of Bioorganic Chemistry Polish Academy Of Sciences', '2026-11-01']]
[['Bjoern Schaeffner', 'endWorksFor', 'Biology Centre', '2026-11-01'], ['Monika Mehta', 'endWorksFor', 'Memorial Sloan Kettering Cancer Center', '2026-11-01'], ['Ryan S Mcmullen', 'endWorksFor', 'University of Bristol', '2026-11-01'], ['Juliette Leymarie', 'endWorksFor', 'Pierre and Marie Curie University', '2026-11-01']]
[['Marc Neveu', 'endMemberOf', 'EF Education– Nippo Development Team', '2026-11-01'], ['Felix Sommer', 'startMemberOf', 'Team Coop– Hitec Products', '2026-11-02'], ['Martin Nielsen', 'endMemberOf', 'University of Washington', '2026-11-02'], ['Małgorzata Wierzba', 'endWorksFor', 'Nencki Institute of Experimental Biology of the Polish Academy of Sciences', '2026-11-02']]
[['Giovanni Esteves', 'endWorksFor', 'North Carolina State University', '2026-11-02'], ['Marcin Maruszewski', 'startWorksFor', 'Lyngby Cycle Club', '2026-11-04'], ['Paula Longhi', 'startWorksFor', 'German Research Foundation', '2026-11-04'], ['Ueli Von Ah', 'endWorksFor', 'German Research Foundation', '2026-11-04']]
[['Fernando R Fernandez', 'endWorksFor', 'University of Utah', '2026-11-05'], ['Peter Varghese', 'endWorksFor', 'Macquarie University', '2026-11-05'], ['Seung Won Lee', 'endWorksFor', 'Sungkyunkwan University', '2026-11-06'], ['George Paltoglou', 'endWorksFor', 'Great Ormond Street Hospital for Children NHS Foundation Trust', '2026-11-06']]
[['Kseniya Korobchevskaya', 'endMemberOf', 'Texas Children\' s Hospital', '2026-11-07'], ['Minzhang Zheng', 'startWorksFor', 'Croatia national under-20 football team', '2026-11-07'], ['Sang Min Lee', 'endWorksFor', 'University of Arkansas', '2026-11-09'], ['Kersti Klaamas', 'endWorksFor', 'National Institute For Health Development', '2026-11-09']]
[['Huanyang Chen', 'endWorksFor', 'Soochow University ( Suzhou)', '2026-11-10'], ['Giacomo Maddaloni', 'endWorksFor', 'University of Pisa', '2026-11-11'], ['Falk Eilenberger', 'endWorksFor', 'University of Sydney', '2026-11-12'], ['Helene Voogdt-Pruis', 'endWorksFor', 'Maastricht UMC+', '2026-11-12']]
[['Miles Padgett', 'endMemberOf', 'Royal Society', '2026-11-12'], ['Terry Chien-Jen Yang', 'startWorksFor', 'Austin Peay Governors men\' s basketball', '2026-11-12'], ['Hooi Jin Ong', 'endWorksFor', 'Osaka University', '2026-11-12'], ['Ingrid Contardo', 'endWorksFor', 'University of the Andes, Chile', '2026-11-12']]
[['Bailin Deng', 'endWorksFor', 'University of Hull', '2026-11-12'], ['Perry T C Van Doormaal', 'endWorksFor', 'Johns Hopkins Hospital', '2026-11-12'], ['Ahmed Kamal', 'endWorksFor', 'Indian Institute of Chemical Technology', '2026-11-12'], ['Ekaterina Potapova', 'endWorksFor', 'Associação Viver A Ciência', '2026-11-12']]
