[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Frank Prestileo', 'endMemberOf', 'CD Logroñés', '2026-10-17']]
[['Kieran Richardson', 'endMemberOf', 'Bradley Braves men\' s basketball', '2026-10-17']]
[['Anze Zupanic', 'endWorksFor', 'Newcastle University', '2026-10-17']]
[['Zoltán Kiss ( footballer, born 1986)', 'endMemberOf', 'Békéscsaba 1912 Előre', '2026-10-17']]
[['Tommy Kuhse', 'endMemberOf', 'Saint Mary\' s Gaels men\' s basketball', '2026-10-17']]
[['Chad Dombrowski', 'endMemberOf', 'Milwaukee Wave', '2026-10-17']]
[['Jeff Robinson', 'endMemberOf', 'Club Atlético Lanús', '2026-10-17']]
[['Junji Yoshida', 'endWorksFor', 'University of Tokyo', '2026-10-17']]
[['Doug West', 'endMemberOf', 'Villanova Wildcats men\' s basketball', '2026-10-17']]
[['Dennison Thomas', 'endMemberOf', 'Windward Islands cricket team', '2026-10-17']]
[['Dave Cusack', 'startMemberOf', 'Navy Midshipmen men\' s basketball', '2026-10-17']]
[['Giuseppe Pucci', 'endMemberOf', 'Carrarese Calcio', '2026-10-17']]
[['Pervis Ellison', 'endMemberOf', 'Washington Wizards', '2026-10-17']]
[['Slobodan Simović', 'endMemberOf', 'A. C. Reggiana 1919', '2026-10-17']]
[['Folly Malone', 'endMemberOf', 'Houston Cougars men\' s basketball', '2026-10-17']]
[['Patrick Allen', 'startWorksFor', 'Hapoel Kfar Saba F. C.', '2026-10-17']]
[['Bohdan Siuta', 'endWorksFor', 'Rylsky Institute of Art Studies, Folklore and Ethnology', '2026-10-17']]
[['Lindsay Johnson', 'endWorksFor', 'German Research Foundation', '2026-10-17']]
[['Kennedy Isles', 'endMemberOf', 'Newtown United FC', '2026-10-17']]
[['Abdoulaye Sissako', 'endMemberOf', 'LB Châteauroux', '2026-10-17']]
[['Deaundra Murphy', 'endMemberOf', 'Marshall Thundering Herd men\' s basketball', '2026-10-17']]
[['Febryan Setiawan', 'endWorksFor', 'National Cheng Kung University', '2026-10-17']]
[['Rick Mrozik', 'startMemberOf', 'OFK Beograd', '2026-10-17']]
[['José Kanté', 'endMemberOf', 'AEK Larnaca FC', '2026-10-17']]
[['Fabien Candelier', 'endWorksFor', 'École des Mines de Nantes', '2026-10-18']]
[['Co Hermes', 'endMemberOf', 'UAM Iztapalapa', '2026-10-18']]
[['Sanitätstruppenschule Des Heeres', 'endLocation', 'Munich', '2026-10-18']]
[['Gert Wappler', 'endMemberOf', 'National Collegiate Athletic Association', '2026-10-19']]
[['John Pollard ( footballer)', 'endMemberOf', 'St Albans City F. C.', '2026-10-21']]
[['Lenny Johnrose', 'endMemberOf', 'Preston North End F. C.', '2026-10-21']]
[['Andy Linighan', 'endMemberOf', 'Oxford United F. C.', '2026-10-21']]
[['Iñigo Landaluze', 'endMemberOf', 'Euskaltel– Euskadi ( 1994– 2013)', '2026-10-22']]
[['Ishan Deshpande', 'endWorksFor', 'Friedrich Miescher Institute for Biomedical Research', '2026-10-22']]
[['Sirje Endre', 'endMemberOf', 'Communist Party of the Soviet Union', '2026-10-22']]
[['Nikos Tsoumanis', 'endMemberOf', 'Aris Thessaloniki F. C.', '2026-10-22']]
[['Phil Hoza', 'endMemberOf', 'San Diego State Aztecs men\' s basketball', '2026-10-22']]
[['Greg Allen', 'endMemberOf', 'Cleveland State Vikings men\' s basketball', '2026-10-23']]
[['Nuria Romero', 'endWorksFor', 'Institut Des Sciences Chimiques De Rennes', '2026-10-24']]
[['Chepe González', 'endMemberOf', 'Kelme ( cycling team)', '2026-10-24']]
[['Alex McCarthy', 'endMemberOf', 'Queens Park Rangers F. C.', '2026-10-24']]
[['Mariya Filimonova', 'startMemberOf', 'Northampton Town F. C.', '2026-10-25']]
[['Saneila Biagi', 'startMemberOf', 'Palermo F. C.', '2026-10-25']]
[['Maria Iskra', 'endMemberOf', 'Texas A& M Aggies men\' s basketball', '2026-10-25']]
[['Luma de Oliveira', 'endSpouse', 'Eike Batista', '2026-10-25']]
[['João Marcos ( footballer, born 1953)', 'startMemberOf', 'Vejle Boldklub', '2026-10-25']]
[['Horris Pollard', 'endMemberOf', 'Northeastern Illinois Golden Eagles men\' s basketball', '2026-10-25']]
[['Tomohiro Kawano', 'endMemberOf', 'Boston College Eagles men\' s basketball', '2026-10-25']]
[['Howard Rosenfeld', 'endMemberOf', 'Crystal Palace F. C.', '2026-10-25']]
[['Alexander K Prichard', 'endMemberOf', 'École Polytechnique Fédérale de Lausanne', '2026-10-25']]
[['Franco Dinelli', 'endWorksFor', 'South Africa national soccer team generic instance', '2026-10-25']]
[['Frank McLintock', 'endMemberOf', 'Queens Park Rangers F. C.', '2026-10-26']]
[['James J Moran', 'endMemberOf', 'Boca Juniors', '2026-10-27']]
[['Bryce Lim', 'endWorksFor', 'University of Hong Kong', '2026-10-27']]
[['Gabriel Byrne', 'endWorksFor', 'Coritiba Foot Ball Club', '2026-10-27']]
[['David Glad', 'endMemberOf', 'The Citadel Bulldogs basketball', '2026-10-27']]
[['Alexander Hallner', 'endWorksFor', 'University of Gothenburg', '2026-10-28']]
[['Teddy Teuma', 'endMemberOf', 'Red Star F. C.', '2026-10-28']]
[['Alexander Skrinsky', 'startMemberOf', 'Fabril Esporte Clube', '2026-10-28']]
[['Wynn Forntenot', 'endMemberOf', 'Centenary Gentlemen basketball', '2026-10-28']]
[['Thomas Branch', 'endWorksFor', 'Emory University School of Medicine', '2026-10-28']]
[['Scott Vonbargen', 'endMemberOf', 'Butler Bulldogs men\' s basketball', '2026-10-28']]
[['Sean M U002E Gibbons', 'endMemberOf', 'Saatchi & Saatchi', '2026-10-28']]
[['Antonio R U002E Castilla', 'startWorksFor', 'University of Melbourne', '2026-10-28']]
[['Emma Gliddon', 'endWorksFor', 'Montluel', '2026-10-28']]
[['Jörg Kirsten', 'endMemberOf', 'Novara F. C.', '2026-10-28']]
[['Tony Lock', 'endMemberOf', 'Leicestershire County Cricket Club', '2026-10-28']]
[['Tim Schwartz', 'endMemberOf', 'Fairfield Stags men\' s basketball', '2026-10-28']]
[['Marco R U002E Bladergroen', 'endWorksFor', 'Leiden University Medical Center', '2026-10-28']]
[['Asad Ali', 'endMemberOf', 'Colorado Buffaloes men\' s basketball', '2026-10-28']]
[['Tommy Brownfield', 'endMemberOf', 'West Texas A U0026 M Buffaloes Men U0027 S Basketball', '2026-10-28']]
[['Kareem Robinson', 'startMemberOf', 'En Avant Guingamp', '2026-10-28']]
[['Wayne Smith', 'endMemberOf', 'Louisiana Tech Bulldogs basketball', '2026-10-28']]
[['James Wynne ( rugby league)', 'endMemberOf', 'France national rugby league team', '2026-10-29']]
[['Nia Künzer', 'endMemberOf', 'Germany women\' s national football team', '2026-10-29']]
[['Alyssa Ward', 'startMemberOf', 'Johor Darul Ta\' zim II F. C.', '2026-10-29']]
[['Jeff Apana', 'endMemberOf', 'Idaho State Bengals men\' s basketball', '2026-10-29']]
[['Lily Cheung', 'endWorksFor', 'Carnegie Institution for Science', '2026-10-29']]
[['Macé Schuurmans', 'endWorksFor', 'University Hospital of Zürich', '2026-10-29']]
[['Dylan Belquist', 'endMemberOf', 'San Francisco Dons men\' s basketball', '2026-10-29']]
[['Richard Crossley', 'endMemberOf', 'York City F. C.', '2026-10-29']]
[['Ciro Bilardi', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2026-10-29']]
[['Mike Kempski', 'endMemberOf', 'Saint Joseph\' s Hawks men\' s basketball', '2026-10-29']]
[['Bin Li', 'startMemberOf', 'Stoke City F. C.', '2026-10-29']]
[['T U002E Keehan', 'startMemberOf', 'FK Inđija', '2026-10-29']]
[['Jos P H Smits', 'startMemberOf', 'Arcadia Shepherds F. C.', '2026-10-29']]
[['Jeremy Fife', 'startMemberOf', 'Notre Dame Fighting Irish men\' s basketball', '2026-10-29']]
[['Emma Q Walhout', 'endMemberOf', 'Wuppertaler SV', '2026-10-29']]
[['Cameron Murray ( rugby union)', 'endMemberOf', 'Radboud University Nijmegen', '2026-10-29']]
[['David Nugent', 'endMemberOf', 'England national football team', '2026-10-29']]
[['Bennie Coffman', 'endMemberOf', 'Kentucky Wildcats men\' s basketball', '2026-10-29']]
[['Éric Clément', 'endWorksFor', 'Délégation Paris B', '2026-10-29']]
[['Neus Munté', 'endMemberOf', 'Democratic Convergence of Catalonia', '2026-10-29']]
[['Sadegh Hasannia', 'endWorksFor', 'Tarbiat Modares University', '2026-10-29']]
[['Samantha C W Chan', 'endWorksFor', 'University of Bern', '2026-10-29']]
[['Abhishek Bakuli', 'endMemberOf', 'Emory University School of Medicine', '2026-10-29']]
[['Kimberly S U002E Rollins', 'endWorksFor', 'S. S. C. Napoli', '2026-10-29']]
[['John Hardie ( footballer)', 'startMemberOf', 'Italy national under-21 football team', '2026-10-30']]
[['Achu Laila Ashokan', 'endWorksFor', 'University Of Kerala Faculty Of Science', '2026-10-30']]
[['François Steyn', 'endMemberOf', 'Montpellier Hérault Rugby', '2026-10-30']]
[['Garrett Moon', 'endMemberOf', 'Eastern Washington Eagles men\' s basketball', '2026-10-30']]
[['Barbara Burmen', 'startMemberOf', 'Lviv National Academy of Arts', '2026-10-30']]
[['Stefano Nicolai', 'endWorksFor', 'Washington Diplomats', '2026-10-30']]
[['Ishak Belfodil', 'endMemberOf', 'Bologna F. C. 1909', '2026-10-30']]
[['Yu-Xuan Ren', 'endWorksFor', 'San Francisco State University', '2026-10-30']]
[['Abubakr Al Abaidy', 'endMemberOf', 'Al-Hilal SC ( Benghazi)', '2026-10-30']]
[['Davide Favaro', 'startMemberOf', 'C. D. Antofagasta', '2026-10-30']]
[['Mohammadali Foroozandeh', 'endWorksFor', 'University of Manchester', '2026-10-30']]
[['Petros Passalis', 'endMemberOf', 'Greece national football team', '2026-10-30']]
[['Cyril Gautier', 'endMemberOf', 'AG2R Citroën Team', '2026-10-30']]
[['Anna Jaques Vidal', 'endMemberOf', 'FC Barcelona Femení', '2026-10-31']]
[['Bobby Griffiths', 'endMemberOf', 'Chester City F. C.', '2026-10-31']]
[['Brandon Loyd', 'startMemberOf', 'German Research Foundation', '2026-10-31']]
[['Diogo Coutinho', 'endMemberOf', 'Portugal national rugby union team', '2026-10-31']]
[['Winfried Herz', 'endMemberOf', 'Germany Olympic football team generic instance', '2026-10-31']]
[['Dawes Hamilt', 'endMemberOf', 'North Florida Ospreys men\' s basketball', '2026-10-31']]
[['Markus Schremb', 'endMemberOf', 'Colgate Raiders men\' s basketball', '2026-10-31']]
[['Hiroyuki Sakaki', 'startMemberOf', 'Syngene International U0028 India U0029 ', '2026-10-31']]
[['Inge C Gyssens', 'endMemberOf', 'Royal Cappellen F. C.', '2026-10-31']]
[['Daniel Novák', 'startMemberOf', 'German Research Foundation', '2026-10-31']]
[['Shijie Gu', 'startMemberOf', 'FC Nosta Novotroitsk', '2026-10-31']]
[['Howard Levy', 'startMemberOf', 'C. D. Audaz Octubrino', '2026-10-31']]
[['Saïd Amara', 'startMemberOf', 'Al-Ittihad Club ( Jeddah)', '2026-10-31']]
[['Pierre Smith', 'endMemberOf', 'New Mexico State Aggies men\' s basketball', '2026-10-31']]
[['Alberto Marcone', 'endWorksFor', 'University of Turin', '2026-10-31']]
[['Academia De Ciencias Médicas U002C Físicas Y Naturales De Guatemala', 'endMemberOf', 'InterAcademy Partnership', '2026-10-31']]
[['Woohyun Kim', 'endWorksFor', 'University of Geneva', '2026-10-31']]
[['Mohamed Liban', 'endMemberOf', 'Dynamos F. C. ( South Africa)', '2026-10-31']]
[['Thea Astley', 'startMemberOf', 'FC Chur 97', '2026-10-31']]
[['Gabriele Fabris', 'endMemberOf', 'Crociati Noceto', '2026-10-31']]
[['Maikon Orellana', 'endMemberOf', 'Alianza F. C.', '2026-11-01']]
[['Marvin Baumgartner', 'endMemberOf', 'El Salvador national under-21 football team', '2026-11-01']]
[['Chad Prince', 'endMemberOf', 'Medical University of Graz', '2026-11-01']]
[['Keith Oakes', 'endWorksFor', 'German Research Foundation', '2026-11-01']]
[['Lloyd Pierce', 'endMemberOf', 'Santa Clara Broncos men\' s basketball', '2026-11-01']]
[['Robbie Robinson', 'endMemberOf', 'Advanced Fuel Research', '2026-11-01']]
[['John Kazanjian', 'endWorksFor', 'Holy Cross Crusaders men\' s basketball', '2026-11-01']]
[['Fynn Gutzeit', 'endMemberOf', 'Holstein Kiel', '2026-11-01']]
[['Pontus Forsell', 'endWorksFor', 'Karolinska Institute', '2026-11-01']]
[['John Kamara', 'endMemberOf', 'Aris Thessaloniki F. C.', '2026-11-01']]
[['Teddy Gipson', 'endMemberOf', 'Arkansas Razorbacks men\' s basketball', '2026-11-01']]
[['Gerhard Strick', 'endMemberOf', '1. FC Nürnberg', '2026-11-01']]
[['Mele French', 'endMemberOf', 'Gitam Dental College And Hospital U002C Visakhapatnam', '2026-11-01']]
[['Ugochukwu Njoku', 'endWorksFor', 'Golden State Warriors', '2026-11-01']]
[['Jerry Lucas', 'endMemberOf', 'King\' s College London', '2026-11-01']]
[['Einsatz Mikromechanischer Verfahren Zur Realisierung Eines Intensitätsmodulierenden Optischen Mikrofons Auf Siliziumbasis', 'startLocation', 'Graduate Center, CUNY', '2026-11-01']]
[['Gwynne Jones', 'startMemberOf', 'Royal Society', '2026-11-01']]
[['R Nigmatullin', 'endWorksFor', 'University of Ulm', '2026-11-01']]
[['Antti Puisto', 'endWorksFor', 'Aalto University', '2026-11-01']]
[['Aitor Tornavaca', 'startMemberOf', 'Pakistan International Airlines cricket team', '2026-11-01']]
[['Karel Stromšík', 'endMemberOf', 'SK Tatran Poštorná', '2026-11-01']]
[['Stjepan Bobek', 'startMemberOf', 'Faculty of Architecture and Urbanism, University of São Paulo', '2026-11-01']]
[['Wendy Bickmore', 'endMemberOf', 'Royal Society', '2026-11-01']]
[['Morifumi Hasegawa', 'startMemberOf', 'FC Torpedo Moscow', '2026-11-01']]
[['Dilip Kumar', 'endMemberOf', 'Medical College of Wisconsin', '2026-11-01']]
[['Omid Palizban', 'endWorksFor', 'San Jose Earthquakes', '2026-11-01']]
[['Rino Falk Larsen', 'endMemberOf', 'Fredrikstad FK', '2026-11-01']]
[['Jeff Prosdocimo', 'endMemberOf', 'Saint Peter\' s Peacocks men\' s basketball', '2026-11-01']]
[['Zhou Yang ( footballer)', 'endMemberOf', 'China women\' s national football team', '2026-11-01']]
[['Mourtala Diakité', 'endMemberOf', 'The Citadel Bulldogs basketball', '2026-11-01']]
[['Nate Craig', 'endMemberOf', 'Ohio Bobcats men\' s basketball', '2026-11-01']]
[['Tomáš Kučera', 'endMemberOf', 'FK Viktoria Žižkov', '2026-11-01']]
[['Matt Kyle', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2026-11-01']]
[['Pat Hamilton', 'endMemberOf', 'Georgia Bulldogs basketball', '2026-11-01']]
[['Greg Smith ( rugby union, born 1974)', 'endMemberOf', 'Swansea RFC', '2026-11-01']]
[['Hermann Fuchs', 'endWorksFor', 'Medical University of Vienna', '2026-11-01']]
[['Marcel Franz', 'startMemberOf', 'London School of Hygiene and Tropical Medicine', '2026-11-01']]
[['Roy Jenkins', 'endMemberOf', 'Liberal Democrats ( UK)', '2026-11-01']]
[['Joe Omigie', 'startMemberOf', 'Whitby Town F. C.', '2026-11-01']]
[['Jérémy Balmy', 'endMemberOf', 'Oxford United F. C.', '2026-11-01']]
[['Charlie Eltringham', 'startMemberOf', 'Clydebank F. C.', '2026-11-01']]
[['Tim Cooper', 'endMemberOf', 'Louisville Cardinals men\' s basketball', '2026-11-01']]
[['Thiago Kosloski', 'endMemberOf', 'Olé Brasil Futebol Clube', '2026-11-01']]
[['Megan E Cooke', 'startMemberOf', 'German Research Foundation', '2026-11-01']]
[['Danny Moses', 'endMemberOf', 'Wake Forest Demon Deacons men\' s basketball', '2026-11-01']]
[['Keith Fifield', 'endWorksFor', 'University of Oxford', '2026-11-01']]
[['Tom Goodman', 'endMemberOf', 'Lafayette Leopards men\' s basketball', '2026-11-01']]
[['Willie Wallace', 'startMemberOf', 'AJ Auxerre', '2026-11-01']]
[['Amrita Dey', 'startMemberOf', 'Fenerbahçe S. K. ( football)', '2026-11-01']]
[['Giancarlo Morelli', 'endMemberOf', 'University of Nebraska– Lincoln', '2026-11-01']]
[['John E U002E Gizis', 'endMemberOf', 'Novara F. C.', '2026-11-01']]
[['Rafael Márquez', 'startMemberOf', 'FC Gueugnon', '2026-11-01']]
[['Vjatsjeslav Andreevitsj Mochort', 'endWorksFor', 'Grodno State Medical University', '2026-11-01']]
[['Lucia G Delogu', 'endWorksFor', 'University of Southern California', '2026-11-01']]
[['Kai Li', 'endWorksFor', 'University of Technology Sydney', '2026-11-01']]
[['Sargis Meliksetyan', 'endWorksFor', 'Charents Museum of Literature and Arts', '2026-11-01']]
[['Pauline Vannier', 'endWorksFor', 'University of Western Brittany', '2026-11-01']]
[['Cameron Wheatley', 'endWorksFor', 'University of Bordeaux', '2026-11-01']]
[['', 'startLocation', 'Fc Nantes Ii', '2026-11-01']]
[['Fraj Bnouni', 'endMemberOf', 'US Monastir ( football)', '2026-11-01']]
[['Mark Mackey', 'endMemberOf', 'West Chester Golden Rams Men U0027 S Basketball', '2026-11-01']]
[['Andrea Madella', 'endWorksFor', 'University of Bern', '2026-11-01']]
[['Jinrong Li', 'startMemberOf', 'AC Sparta Prague', '2026-11-01']]
[['Glenroy Ferguson', 'endMemberOf', 'North Texas Mean Green men\' s basketball', '2026-11-01']]
[['Tucker Haymond', 'startMemberOf', 'K. R. C. Genk', '2026-11-01']]
[['Alejandro Ruidiaz', 'endMemberOf', 'Argentina national under-20 football team', '2026-11-01']]
[['Davoud Bahadori', 'endMemberOf', 'Iran national under-20 football team', '2026-11-01']]
[['Fred Gilliam', 'endMemberOf', 'Clemson Tigers men\' s basketball', '2026-11-01']]
[['Baruch Eitam', 'endWorksFor', 'Columbia University', '2026-11-01']]
[['Zhou Yajun', 'endMemberOf', 'Henan Songshan Longmen F. C.', '2026-11-01']]
[['Florian Führer', 'endWorksFor', 'Max Planck Institute for Nuclear Physics', '2026-11-01']]
[['Zdeněk Štybar', 'endMemberOf', 'Soudal Quick-Step', '2026-11-01']]
[['Nicolas Lapaque', 'endWorksFor', 'University of Cambridge', '2026-11-01']]
[['Makoto Ōoka', 'startMemberOf', 'German Council of Economic Experts', '2026-11-01']]
[['Glen Cressman', 'endWorksFor', 'Stockholm University', '2026-11-01']]
[['Joe Broekhuizen', 'endMemberOf', 'Vaasan Palloseura', '2026-11-01']]
[['Ole Stavrum', 'startMemberOf', 'University of Sheffield', '2026-11-01']]
[['Sabrina Barbosa De Souza Ferreira', 'endWorksFor', 'Roompot– Charles', '2026-11-01']]
[['Bill Shannon', 'endWorksFor', 'Oracle Corporation', '2026-11-01']]
[['Octavio Jiménez-Robles', 'endWorksFor', 'Museo Nacional de Ciencias Naturales', '2026-11-01']]
[['', 'startMemberOf', 'SV Arminia Hannover', '2026-11-01']]
[['Andrea Fraile', 'endMemberOf', 'Bizkaia– Durango', '2026-11-01']]
[['Muhammad Qasim Nasar', 'endMemberOf', 'Tianjin University', '2026-11-01']]
[['Muhamad Fachrul', 'startMemberOf', 'Los Angeles Salsa', '2026-11-01']]
[['Finn Grey', 'endWorksFor', 'Roslin Institute', '2026-11-01']]
[['Preslav Petrov ( footballer, born 1995)', 'endMemberOf', 'PFC Vidima-Rakovski Sevlievo', '2026-11-01']]
[['Pat Nash', 'endMemberOf', 'North Texas Mean Green men\' s basketball', '2026-11-01']]
[['Frank Maturo', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2026-11-01']]
[['Omar Rutledge', 'endWorksFor', 'Stanford University', '2026-11-01']]
[['Joanna Karłowska-Pik', 'endWorksFor', 'Polish Academy of Sciences', '2026-11-01']]
[['Chandrika Deshpande', 'endWorksFor', 'Centenary Institute', '2026-11-01']]
[['Luis Azcárraga Pérez-Caballero', 'startMemberOf', 'German Research Foundation', '2026-11-01']]
[['David Lofton', 'startMemberOf', 'University of Potsdam', '2026-11-01']]
[['Terry Windeatt', 'endWorksFor', 'General Motors', '2026-11-01']]
[['Simon Poulsen', 'endMemberOf', 'Savannah State Tigers basketball', '2026-11-01']]
[['Felix Khojoyan', 'endMemberOf', 'Pegah F. C.', '2026-11-01']]
[['Tomasz Mokwa', 'endMemberOf', 'Flota Świnoujście', '2026-11-01']]
[['Avi Alfasi', 'endMemberOf', 'Hapoel Kfar Saba F. C.', '2026-11-01']]
[['Hiroshi Moriyasu', 'endMemberOf', 'Sagan Tosu', '2026-11-01']]
[['Joshua Kellner', 'endWorksFor', 'Medical University of South Carolina', '2026-11-01']]
[['Jiao Huang', 'endWorksFor', 'Peking University', '2026-11-01']]
[['Olivier De Cazanove', 'endWorksFor', 'University of Burgundy', '2026-11-01']]
[['Michael W U002E Wyatt', 'endWorksFor', 'Stanford University', '2026-11-01']]
[['Eurico Caires', 'startMemberOf', 'Slovakia national under-21 football team', '2026-11-01']]
[['Damien Thompson', 'endWorksFor', 'Gateshead F. C.', '2026-11-02']]
[['Leif Engqvist', 'endMemberOf', 'Sweden national football team generic instance', '2026-11-02']]
[['Darryl Marshall', 'endMemberOf', 'Mississippi Valley State Delta Devils basketball', '2026-11-02']]
[['Julia M Lappin', 'endMemberOf', 'CR Flamengo', '2026-11-02']]
[['Felipe Garcia-Sanchez', 'startMemberOf', 'FK Voždovac', '2026-11-02']]
[['Mariami Rusishvili', 'endWorksFor', 'International School for Advanced Studies', '2026-11-02']]
[['Francisco Flores ( Venezuelan footballer)', 'endMemberOf', 'Deportivo Anzoátegui S. C.', '2026-11-02']]
[['Vadim Pronskiy', 'endMemberOf', 'Vino SKO Team', '2026-11-02']]
[['Kentaro Sugimoto', 'endWorksFor', 'Riken', '2026-11-03']]
[['Mette J Jacobsen', 'endWorksFor', 'University of Copenhagen', '2026-11-03']]
[['Georgios Kostikos ( footballer, born 1958)', 'endMemberOf', 'Greece national football team', '2026-11-03']]
[['James Booth', 'endMemberOf', 'Alabama Crimson Tide men\' s basketball', '2026-11-03']]
[['Jake Verhagen', 'endMemberOf', 'Eastern Illinois Panthers men\' s basketball', '2026-11-04']]
[['Artemiy Dmitriev', 'endWorksFor', 'Aston University', '2026-11-04']]
[['Yuhai Dou', 'endWorksFor', 'Griffith University', '2026-11-04']]
[['Jim Heine', 'endMemberOf', 'Manhattan Jaspers men\' s basketball', '2026-11-04']]
[['Yasuyuki Okamoto', 'endWorksFor', 'University of Chicago', '2026-11-04']]
[['Vladimir Makei', 'startMemberOf', 'German Research Foundation', '2026-11-04']]
[['Tärnsören', 'endLocation', 'Dragsfjärd', '2026-11-04']]
[['Susan M Fernandes', 'endWorksFor', 'Lucile Packard Children\' s Hospital', '2026-11-05']]
[['Chris Koford', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2026-11-05']]
[['Laurence Y Yeung', 'endWorksFor', 'University of California, Los Angeles', '2026-11-05']]
[['Patrick Bick', 'endMemberOf', 'Public University of Navarre', '2026-11-05']]
[['Pat O U0027 Leary', 'startMemberOf', 'RB Leipzig', '2026-11-05']]
[['Alfonso Pedraza', 'endMemberOf', 'Villarreal CF C', '2026-11-05']]
[['Eric Hipolito', 'endMemberOf', 'New Orleans Privateers men\' s basketball', '2026-11-05']]
[['Ralph Intranuovo', 'endPlaysIn', 'National Hockey League', '2026-11-06']]
[['James D Kellner', 'endWorksFor', 'Alberta Health Services', '2026-11-06']]
[['Ryan Wilson', 'endMemberOf', 'East Tennessee State Buccaneers men\' s basketball', '2026-11-06']]
[['Seth Zvi Rosenfeld', 'endMemberOf', 'Tamworth F. C.', '2026-11-06']]
[['Swati D G Rayasam', 'startMemberOf', 'Jethro Tull ( band)', '2026-11-06']]
[['Michaël Guigou', 'startMemberOf', 'Austin Peay Governors men\' s basketball', '2026-11-06']]
[['Elżbieta Rokosz-Piejko', 'startMemberOf', 'CR Vasco da Gama', '2026-11-06']]
[['Ikaika Alama-Francis', 'endMemberOf', 'Hawaii Rainbow Warriors basketball', '2026-11-06']]
[['Linda Waldman', 'endMemberOf', 'OFC Spartak Pleven', '2026-11-06']]
[['Rania Alkahtani', 'endMemberOf', 'Institute of Molecular and Cell Biology ( Singapore)', '2026-11-06']]
[['Victor Williams', 'endMemberOf', 'Illinois State Redbirds men\' s basketball', '2026-11-06']]
[['Neil Edwards ( cricketer)', 'endMemberOf', 'Nottinghamshire County Cricket Club', '2026-11-06']]
[['Pierre Ruby', 'endMemberOf', 'Peugeot ( cycling team)', '2026-11-06']]
[['Michael Cutright', 'endMemberOf', 'La Crosse Catbirds', '2026-11-06']]
[['Sacha Clémence', 'endMemberOf', 'Angers SCO', '2026-11-07']]
[['Cameron Carmical', 'endMemberOf', 'Eastern Kentucky Colonels men\' s basketball', '2026-11-07']]
[['John Mccloud', 'endMemberOf', 'Chattanooga Mocs men\' s basketball', '2026-11-07']]
[['Yanan Yin', 'startMemberOf', 'Taunton Town F. C.', '2026-11-07']]
[['Les Chapman', 'endMemberOf', 'San Jose Earthquakes ( 1974– 1988)', '2026-11-07']]
[['Michel Cury', 'endMemberOf', 'Tupi Football Club', '2026-11-07']]
[['Ebrahim Asadi', 'endMemberOf', 'F. C. Nassaji Mazandaran', '2026-11-07']]
[['Samsoon Inayat', 'endWorksFor', 'Northwestern University', '2026-11-07']]
[['Habib Bellaïd', 'endMemberOf', 'Algeria national football team generic instance', '2026-11-07']]
[['Jack Brand', 'endMemberOf', 'Seattle Storm ( soccer)', '2026-11-08']]
[['Alonzo Lane', 'endMemberOf', 'Arkansas Razorbacks men\' s basketball', '2026-11-08']]
[['Teng Su', 'endWorksFor', 'Tongji University', '2026-11-08']]
[['Jillian Loyden', 'endMemberOf', 'United States women\' s national soccer team', '2026-11-09']]
[['Gilles De Rocco', 'endMemberOf', 'Olympique Lyonnais', '2026-11-09']]
[['Danielle Martin', 'endWorksFor', 'La Trobe University', '2026-11-09']]
[['Sadio Tounkara', 'endMemberOf', 'Khazar Lankaran FK', '2026-11-09']]
[['Asaf Ali', 'endSpouse', 'Aruna Asaf Ali', '2026-11-09']]
[['Ming Wu', 'endWorksFor', 'Second Military Medical University', '2026-11-09']]
[['Jacob Toppin', 'endMemberOf', 'Rhode Island Rams men\' s basketball', '2026-11-09']]
[['Roman Chrast', 'endWorksFor', 'University of Lausanne', '2026-11-09']]
[['Cristian Consonni', 'endWorksFor', 'University of Trento', '2026-11-09']]
[['Harsh Sheth', 'startMemberOf', 'Khazar Lankaran FK', '2026-11-09']]
[['Colby Fainga\' a', 'endMemberOf', 'Australia national under-20 rugby union team', '2026-11-09']]
[['Dario Vianello', 'endWorksFor', 'University of Bologna', '2026-11-10']]
[['Chris Williams', 'endMemberOf', 'Saint Peter\' s Peacocks men\' s basketball', '2026-11-10']]
[['Rolf-Dieter Dörfler', 'endMemberOf', '1. Göppinger SV', '2026-11-10']]
[['Günther Happich', 'endMemberOf', 'Austria national football team generic instance', '2026-11-10']]
[['Jung Sung-hoon', 'endMemberOf', 'Jeju United FC', '2026-11-11']]
[['María De La Paz González Gutiérrez', 'startMemberOf', 'University of Leeds', '2026-11-11']]
[['Toru Watanabe', 'startMemberOf', 'Movimento Democràtego Del Pòpoło Vałensian', '2026-11-11']]
[['Wayne Lockett', 'endMemberOf', 'Virginia Tech Hokies men\' s basketball', '2026-11-11']]
[['Anis Ben Slimane', 'endMemberOf', 'Denmark national under-19 football team', '2026-11-11']]
[['Mario Telfair', 'endMemberOf', 'Troy Trojans men\' s basketball', '2026-11-11']]
[['Jason Pearcy', 'endWorksFor', 'Montana State University', '2026-11-11']]
[['Achieving The Dream', 'endMemberOf', 'Open Education Global', '2026-11-11']]
