[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Morten Bjerre Toftegård', 'startMemberOf', 'Team Mascot Workwear', '2026-01-01'], ['Hartthijs De Vries', 'endMemberOf', 'Metec– Solarwatt p u002F b Mantel', '2026-01-01'], ['Simon Dalby', 'startMemberOf', 'Uno-X Dare Development Team', '2026-01-01'], ['Daniel Viegas', 'endMemberOf', 'Eolo– Kometa', '2026-01-01']]
[['Luis Mora', 'endMemberOf', 'Deportivo Táchira', '2026-01-01'], ['Andreas Van Den Hoorn', 'endMemberOf', 'Randers Cykleklub Af 1910', '2026-01-01'], ['Morgan Lamoisson', 'endMemberOf', 'Vendée U', '2026-01-01'], ['Daniel Ganahl', 'endMemberOf', 'Team Vorarlberg', '2026-01-01']]
[['Nika Sitchinava', 'startMemberOf', 'Vozrozhdenie', '2026-01-01'], ['Rait Ärm', 'endMemberOf', 'Groupama– FDJ Continental Team', '2026-01-01'], ['Cyril Barthe', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Jelle Declerck', 'endMemberOf', 'Bingoal Pauwels Sauces WB Development Team', '2026-01-01']]
[['Deborah Veerman', 'endMemberOf', 'Vd Velden Adviseurs', '2026-01-01'], ['Andrey Amador', 'endMemberOf', 'Ineos Grenadiers', '2026-01-01'], ['Dorian De Maeght', 'startMemberOf', 'Bingoal WB', '2026-01-01'], ['Mattia Guasco', 'endMemberOf', '. 5 Continental Team', '2026-01-01']]
[['Becky Storrie', 'endMemberOf', 'CAMS– Basso Bikes', '2026-01-01'], ['Georgios Bouglas', 'startMemberOf', 'Spor Toto Cycling Team', '2026-01-01'], ['Mads Rahbek', 'endMemberOf', 'BHS– PL Beton Bornholm', '2026-01-01'], ['Stefan de Bod', 'endMemberOf', 'Astana Qazaqstan Team', '2026-01-01']]
[['Janez Brajkovič', 'startMemberOf', 'Ferei-Ccn Metalac', '2026-01-01'], ['Raul-Antonio Sinza', 'endMemberOf', 'Giotti Victoria– Savini Due', '2026-01-01'], ['Iljo Keisse', 'endMemberOf', 'Soudal Quick-Step', '2026-01-01'], ['Markus Pajur', 'endMemberOf', 'Arkéa– Samsic', '2026-01-01']]
[['Stanisław Aniołkowski', 'endMemberOf', 'Bingoal WB', '2026-01-01'], ['David van der Poel', 'endMemberOf', 'Alpecin– Deceuninck', '2026-01-01'], ['Pepijn Reinderink', 'endMemberOf', 'Development Team DSM', '2026-01-01'], ['Jakub Bouček', 'endMemberOf', 'Israel Premier Tech Academy', '2026-01-01']]
[['Matthew Teggart', 'startMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Thibault Ferasse', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Fabio Christen', 'endMemberOf', 'EF Education– Nippo Development Team', '2026-01-01'], ['Rick Pluimers', 'endMemberOf', 'Jumbo– Visma Development Team', '2026-01-01']]
[['Emilio Halbmayer', 'startMemberOf', 'Tirol KTM Cycling Team', '2026-01-01'], ['Danny Osorio', 'endMemberOf', 'Orgullo Paisa', '2026-01-01'], ['Marko Danilović', 'endMemberOf', 'Ferei-Ccn Metalac', '2026-01-01'], ['Teng Geng', 'endMemberOf', 'Hengxiang Cycling Team', '2026-01-01']]
[['Pernille Mathiesen', 'startMemberOf', 'Cofidis Women Team', '2026-01-01'], ['Giovanni Carboni', 'startMemberOf', 'Gazprom– RusVelo', '2026-01-01'], ['Emanuel Duarte', 'endMemberOf', 'AP Hotels & Resorts– Tavira– SC Farense', '2026-01-01'], ['Andrés Mancipe', 'startMemberOf', 'Colombia Pacto por el Deporte', '2026-01-01']]
[['Alexis Guérin ( cyclist)', 'endMemberOf', 'Team Vorarlberg', '2026-01-01'], ['Álvaro Cuadros', 'endMemberOf', 'Caja Rural– Seguros RGA', '2026-01-01'], ['Nairo Quintana', 'endMemberOf', 'Arkéa– Samsic', '2026-01-01'], ['Théo Delacroix', 'endMemberOf', 'Intermarché– Circus– Wanty', '2026-01-01']]
[['Patryk Gieracki', 'endMemberOf', 'Tc Chrobry Saroni Głogów', '2026-01-01'], ['Peter Øxenberg Hansen', 'endMemberOf', 'Cykling Odense', '2026-01-01'], ['Iñigo Elosegui', 'endMemberOf', 'Movistar Team ( men\' s team)', '2026-01-01'], ['Chiara Consonni', 'endMemberOf', 'Valcar– Travel & Service', '2026-01-01']]
[['Sebastián Henao', 'startMemberOf', 'Astana Qazaqstan Team', '2026-01-01'], ['Damien Clayton', 'endMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Felix Engelhardt', 'endMemberOf', 'Tirol KTM Cycling Team', '2026-01-01'], ['Leonel Quintero', 'endMemberOf', 'Matrix Powertag', '2026-01-01']]
[['Mamyr Stash', 'startMemberOf', 'Vozrozhdenie', '2026-01-01'], ['Adèle Desgagnes', 'endMemberOf', 'MEXX– Watersley International Women\' s Cycling Team', '2026-01-01'], ['Matteo Furlan', 'startMemberOf', 'D\' Amico– UM Tools', '2026-01-01'], ['Mads Landbo', 'startMemberOf', 'Tscherning Cycling Academy', '2026-01-01']]
[['Émilien Jeannière', 'endMemberOf', 'Vendée U', '2026-01-01'], ['Rohan Dennis', 'startMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2026-01-01'], ['Winner Anacona', 'endMemberOf', 'Arkéa– Samsic', '2026-01-01'], ['Vladislav Kulikov ( cyclist)', 'startMemberOf', 'Vozrozhdenie', '2026-01-01']]
[['Alex Dowsett', 'endMemberOf', 'Israel– Premier Tech', '2026-01-01'], ['Lorenzo Germani', 'endMemberOf', 'Groupama– FDJ Continental Team', '2026-01-01'], ['Agnieszka Skalniak-Sójka', 'endMemberOf', 'Mat Atom Deweloper', '2026-01-01'], ['Pierre Gautherat', 'startMemberOf', 'Sco Dijon', '2026-01-01']]
[['Tobias Lund Andresen', 'endMemberOf', 'Development Team DSM', '2026-01-01'], ['Kevin Kuhn', 'endMemberOf', 'EF Education– Nippo Development Team', '2026-01-01'], ['Mil Morang', 'endMemberOf', 'Uc Dippach', '2026-01-01'], ['Magnus Carstensen', 'startMemberOf', 'Cykle Klubben Aarhus', '2026-01-01']]
[['Jacob Degn Fryland', 'startMemberOf', 'Team Herning Ck Elite', '2026-01-01'], ['Markus Zingen', 'endWorksFor', 'Leopard TOGT Pro Cycling', '2026-01-01'], ['Jacob Vaughan', 'startMemberOf', 'Saint Piran ( cycling team)', '2026-01-01'], ['Tomáš Bárta', 'endMemberOf', 'ATT Investments', '2026-01-01']]
[['Christina Schweinberger', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2026-01-01'], ['Morten Nørtoft', 'endMemberOf', 'Riwal Cycling Team', '2026-01-01'], ['Mattia Bais', 'endMemberOf', 'GW Shimano– Sidermec', '2026-01-01'], ['Emil Schandorff Iwersen', 'endMemberOf', 'BHS– PL Beton Bornholm', '2026-01-01']]
[['Mathias Rimm Jeppesen', 'endMemberOf', 'Roskilde Cykle Ring', '2026-01-01'], ['Maxime Chevalier', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Arne Birkemose', 'startMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2026-01-01'], ['Yuki Ishihara', 'endMemberOf', 'JCL Team Ukyo', '2026-01-01']]
[['Maarten Vierhout', 'endMemberOf', 'Allinq Continental Cycling Team', '2026-01-01'], ['Louis Bendixen', 'endMemberOf', 'Team Coop– Repsol', '2026-01-01'], ['Niklas Hornshøj', 'endMemberOf', 'Team Georg Berg', '2026-01-01'], ['Jesse De Rooij', 'endMemberOf', 'Bike Aid', '2026-01-01']]
[['Nicola Conci', 'startMemberOf', 'Gazprom– RusVelo', '2026-01-01'], ['Kasper Øhlenschlæger', 'endMemberOf', 'Svendborg Cykle Club', '2026-01-01'], ['Jason Tesson', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2026-01-01'], ['Stian Fredheim', 'startMemberOf', 'Uno-X Dare Development Team', '2026-01-01']]
[['Alessia Patuelli', 'endMemberOf', 'UAE Team ADQ', '2026-01-01'], ['Matteo Malucelli', 'startMemberOf', 'Gazprom– RusVelo', '2026-01-01'], ['Morten Hulgaard', 'endMemberOf', 'Uno-X Pro Cycling Team ( men\' s team)', '2026-01-01'], ['Mikkel Weber Zeyn', 'endMemberOf', 'Team Zealand Cycling Junior', '2026-01-01']]
[['Florian Rapiteau', 'endMemberOf', 'Laval Cyclisme 53', '2026-01-01'], ['Justine Ghekiere', 'startMemberOf', 'Fenix– Deceuninck', '2026-01-01'], ['Sebastian Andersen', 'startWorksFor', 'Riwal Cycling Team', '2026-01-01'], ['Florian Gamper', 'startMemberOf', 'Team Felbermayr– Simplon Wels', '2026-01-01']]
[['Evaldas Šiškevičius', 'startMemberOf', 'Go Sport– Roubaix– Lille Métropole', '2026-01-01'], ['Riccardo Carretta', 'startMemberOf', 'Work Service– Vitalcare– Dynatek', '2026-01-01'], ['Teo Pečnik', 'endMemberOf', 'Team Ljubljana Gusto Santic', '2026-01-01'], ['Jordy Bouts', 'endMemberOf', 'BEAT Cycling', '2026-01-01']]
[['Guillaume Van Keirsbulck', 'startMemberOf', 'Alpecin– Deceuninck', '2026-01-01'], ['Rui Costa ( cyclist)', 'endMemberOf', 'UAE Team Emirates', '2026-01-01'], ['Tom Paquet', 'startMemberOf', 'CIC U Nantes Atlantique', '2026-01-01'], ['Kevin Inkelaar', 'startMemberOf', 'Leopard TOGT Pro Cycling', '2026-01-01']]
[['Luca Coati', 'endMemberOf', '. 5 Continental Team', '2026-01-01'], ['Michael Kukrle', 'startMemberOf', 'Gazprom– RusVelo', '2026-01-01'], ['Mia Kronheim Gjertsen', 'endMemberOf', 'Fana Il Sykkel', '2026-01-01'], ['Nadine Gill', 'startMemberOf', 'Sopela Women\' s Team', '2026-01-01']]
[['Tim Merlier', 'endMemberOf', 'Alpecin– Deceuninck', '2026-01-01'], ['Giorgi Khorguani', 'startMemberOf', 'Vozrozhdenie', '2026-01-01'], ['Alessandro De Marchi ( cyclist)', 'endMemberOf', 'Israel– Premier Tech', '2026-01-01'], ['Ashleigh Moolman', 'endMemberOf', 'SD Worx', '2026-01-01']]
[['Nikodemus Holler', 'endMemberOf', 'Bike Aid', '2026-01-01'], ['Jørgen Nordhagen', 'startMemberOf', 'Lillehammer Cykleklubb', '2026-01-01'], ['Lars Quaedvlieg', 'startMemberOf', 'Uwtc De Volharding', '2026-01-01'], ['Cyril Lemoine', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01']]
[['Charlie Tanfield', 'startMemberOf', 'Ribble Weldtite', '2026-01-01'], ['Corey Davis', 'endMemberOf', 'Maloja Pushbikers', '2026-01-01'], ['Markus Freiberger', 'endMemberOf', 'Team Hrinkow Advarics Cycleang', '2026-01-01'], ['Nathalie Eklund', 'startMemberOf', 'Massi– Tactic Women Team', '2026-01-01']]
[['Jeppe Aaskov Pallesen', 'endMemberOf', 'Team ColoQuick', '2026-01-01'], ['Giosuè Epis', 'endMemberOf', 'Iseo– Rime– Carnovali', '2026-01-01'], ['Sofie Mohn', 'startMemberOf', 'Asker Cykleklubb', '2026-01-01'], ['Kathrine Olivia Madsen', 'endMemberOf', 'Abc - Arbejdernes Bicycle Club', '2026-01-01']]
[['Jay Vine', 'endMemberOf', 'Alpecin– Deceuninck', '2026-01-01'], ['Jannik Ljungdahl', 'endMemberOf', 'Team Georg Berg', '2026-01-01'], ['Barbara Guarischi', 'endMemberOf', 'Movistar Team ( women\' s team)', '2026-01-01'], ['Jens Reynders', 'endMemberOf', 'Team Flanders– Baloise', '2026-01-01']]
[['Alfred Grenaae', 'endMemberOf', 'Team Herning Ck Junior', '2026-01-01'], ['Francisco Campos', 'startMemberOf', 'Efapel Cycling', '2026-01-01'], ['Emil Herzog', 'endMemberOf', 'Auto Eder Bayern', '2026-01-01'], ['Gavin Mannion', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2026-01-01']]
[['Franck Bonnamour', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Daniel Bichlmann', 'endMemberOf', 'Maloja Pushbikers', '2026-01-01'], ['Ida Mechlenborg Krum', 'startMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2026-01-01'], ['Audric Leleu', 'endMemberOf', 'Bingoal Pauwels Sauces WB Development Team', '2026-01-01']]
[['Gina Ricardo', 'endMemberOf', 'Sydney University', '2026-01-01'], ['Mihkel Räim', 'startMemberOf', 'Burgos BH', '2026-01-01'], ['Connor Swift', 'endMemberOf', 'Arkéa– Samsic', '2026-01-01'], ['Roland Thalmann', 'endMemberOf', 'Team Vorarlberg', '2026-01-01']]
[['Noah Bøge', 'endMemberOf', 'Herning CK', '2026-01-01'], ['Hannes Wilksch', 'endMemberOf', 'Development Team DSM', '2026-01-01'], ['Ella Harris', 'endMemberOf', 'Velocio– SRAM Pro Cycling', '2026-01-01'], ['Walter Calzoni', 'endMemberOf', 'Gallina-Ecotek-Lucchini', '2026-01-01']]
[['Cyril Gautier', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Daniel Arroyave', 'endMemberOf', 'EF Education– EasyPost', '2026-01-01'], ['Fabian Weiss', 'endMemberOf', 'Tudor Pro Cycling Team', '2026-01-01'], ['Caroline Kirk Schad', 'startMemberOf', 'Amager Cykle Ring', '2026-01-01']]
[['Vitaliy Buts', 'endMemberOf', 'Sakarya BB Pro Team', '2026-01-01'], ['Antonio Puppio', 'startMemberOf', 'Israel Premier Tech Academy', '2026-01-01'], ['Stian Rosenlund Richter', 'endMemberOf', 'BHS– PL Beton Bornholm', '2026-01-01'], ['Mats Wenzel', 'endMemberOf', 'Leopard TOGT Pro Cycling', '2026-01-01']]
[['Andrea Ramírez ( cyclist)', 'startMemberOf', 'Massi– Tactic Women Team', '2026-01-01'], ['Kasper Viberg Søgaard', 'startMemberOf', 'Riwal Cycling Team', '2026-01-01'], ['Eddie Dunbar', 'endMemberOf', 'Ineos Grenadiers', '2026-01-01'], ['Steff Cras', 'endMemberOf', 'Lotto– Dstny', '2026-01-01']]
[['Pedro Andrade', 'startMemberOf', 'Efapel Cycling', '2026-01-01'], ['Lennert Teugels', 'endMemberOf', 'Tarteletto– Isorex', '2026-01-01'], ['Max Stedman', 'startMemberOf', 'MG. K vis Colors for Peace VPM', '2026-01-01'], ['Cédric Pries', 'endMemberOf', 'Leopard TOGT Pro Cycling', '2026-01-01']]
[['Alex Edmondson', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-01-01'], ['Henrik Breiner Pedersen', 'endMemberOf', 'Roskilde Junior', '2026-01-01'], ['Sebastian Langeveld', 'endMemberOf', 'EF Education– EasyPost', '2026-01-01'], ['Corentin Ermenault', 'endMemberOf', 'Avc Aix-En-Provence', '2026-01-01']]
[['Rohan Du Plooy', 'endMemberOf', 'ProTouch', '2026-01-01'], ['Davide Bauce', 'endMemberOf', 'Gallina-Ecotek-Lucchini', '2026-01-01'], ['Filippo Conca', 'endMemberOf', 'Lotto– Dstny', '2026-01-01'], ['Nicolai Bujakewitz Kristensen', 'startMemberOf', 'Team Herning Ck Elite', '2026-01-01']]
[['Gil D U0027 Heygere', 'startMemberOf', 'Minerva Cycling Team', '2026-01-01'], ['Michiel Stockman', 'endMemberOf', 'Saris Rouvy Sauerland Team', '2026-01-01'], ['Emiel Verstrynge', 'endMemberOf', 'Tormans Cx Team', '2026-01-01'], ['César Martingil', 'startMemberOf', 'Rádio Popular– Paredes– Boavista', '2026-01-01']]
[['Alexander Salby', 'startMemberOf', 'Riwal Cycling Team', '2026-01-01'], ['Lucas Lorentsen', 'startMemberOf', 'Tscherning Cycling Academy', '2026-01-01'], ['Connor Sens', 'startMemberOf', 'MG. K vis Colors for Peace VPM', '2026-01-01'], ['Urša Pintar', 'endMemberOf', 'UAE Team ADQ', '2026-01-01']]
[['Anastasiya Kolesava', 'startMemberOf', 'Stade Rochelais Charente-Maritime', '2026-01-01'], ['Letizia Paternoster', 'endMemberOf', 'Trek– Segafredo ( women\' s team)', '2026-01-01'], ['Luca Mozzato', 'endMemberOf', 'B& B Hotels– KTM', '2026-01-01'], ['Tomáš Kopecký', 'startMemberOf', 'ABLOC CT', '2026-01-01']]
[['Adriano Brogi', 'endMemberOf', 'Giotti Victoria– Savini Due', '2026-01-01'], ['Wilco Kelderman', 'endMemberOf', 'Bora– Hansgrohe', '2026-01-01'], ['Mantas Bitinas', 'endMemberOf', 'Ampler Development Team', '2026-01-01'], ['Sonny Colbrelli', 'endMemberOf', 'Team Bahrain Victorious', '2026-01-01']]
[['Hjalte Thor Knudsen', 'endMemberOf', 'Cycling Club Hillerød', '2026-01-01'], ['Paul Wright', 'endMemberOf', 'MG. K vis Colors for Peace VPM', '2026-01-01'], ['Julian Mertens', 'endMemberOf', 'Team Flanders– Baloise', '2026-01-01'], ['Mie Nordlund Pedersen', 'endMemberOf', 'Holte Mtb Klub', '2026-01-01']]
[['Lisa Brennauer', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2026-01-01'], ['Tom Paquot', 'endMemberOf', 'Bingoal WB', '2026-01-01'], ['Madis Mihkels', 'startMemberOf', 'Ampler Development Team', '2026-01-01'], ['Cyrus Monk', 'startMemberOf', 'Meiyo CCN Pro Cycling', '2026-01-01']]
[['Corné van Kessel', 'endMemberOf', 'Intermarché– Circus– Wanty', '2026-01-01'], ['Tanja Erath', 'endMemberOf', 'EF Education– Tibco– SVB', '2026-01-01'], ['Matthew Holmes ( cyclist)', 'endMemberOf', 'Lotto– Dstny', '2026-01-01'], ['Evan Burtnik', 'endMemberOf', 'X-Speed United Continental Team', '2026-01-01']]
[['Tatiana Guderzo', 'startMemberOf', 'Top Girls Fassa Bortolo', '2026-01-01'], ['Rasmus Perto', 'endMemberOf', 'Team Mascot Workwear', '2026-01-01'], ['Edo Goldstein', 'endMemberOf', 'Israel Premier Tech Academy', '2026-01-01'], ['Daniel Staniszewski', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2026-01-01']]
[['Joseph Pidcock', 'endMemberOf', 'Groupama– FDJ Continental Team', '2026-01-01'], ['Kasper Andersen ( cyclist)', 'startMemberOf', 'Hagens Berman Axeon', '2026-01-01'], ['Emily Newsom', 'endMemberOf', 'EF Education– Tibco– SVB', '2026-01-01'], ['Alexander Konychev', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-01-01']]
[['Sean Whitfield', 'endMemberOf', 'CCACHE x Par Küp', '2026-01-01'], ['Josh Whitehead', 'startMemberOf', 'AT85 Pro Cycling', '2026-01-01'], ['Sébastien Reichenbach', 'endMemberOf', 'Groupama– FDJ', '2026-01-01'], ['Andrea Bartolozzi', 'startMemberOf', 'Beltrami TSA– Tre Colli', '2026-01-01']]
[['Tobias Kongstad', 'startMemberOf', 'Restaurant Suri– Carl Ras', '2026-01-01'], ['Céline Van Houtum', 'endMemberOf', 'Multum Accountants Ladies Cycling Team', '2026-01-01'], ['Loïc Bettendorff', 'startMemberOf', 'Riwal Cycling Team', '2026-01-01'], ['Thymen Arensman', 'endMemberOf', 'Team DSM ( men\' s team)', '2026-01-01']]
[['William Wisholm', 'startMemberOf', 'Team Sparekassen Danmark Aalborg', '2026-01-01'], ['Oleksandr Prevar', 'startMemberOf', 'Spor Toto Cycling Team', '2026-01-01'], ['Luca Van Boven', 'endMemberOf', 'Lotto– Dstny Development Team', '2026-01-01'], ['Maaike Boogaard', 'endMemberOf', 'UAE Team ADQ', '2026-01-01']]
[['Mylène De Zoete', 'endMemberOf', 'AG Insurance– Soudal– Quick-Step', '2026-01-01'], ['Wolfgang Brandl', 'endMemberOf', 'Team Skyline', '2026-01-01'], ['Alessandro Monaco', 'startMemberOf', 'Giotti Victoria– Savini Due', '2026-01-01'], ['Sebastian Nielsen', 'endMemberOf', 'Restaurant Suri– Carl Ras', '2026-01-01']]
[['Alena Amialiusik', 'endMemberOf', 'Velocio– SRAM Pro Cycling', '2026-01-01'], ['Gladys Verhulst', 'startMemberOf', 'Le Col– Wahoo', '2026-01-01'], ['Victor Grue Enggaard', 'startMemberOf', 'Team Co U003A Play-Giant', '2026-01-01'], ['Marco Frigo', 'startMemberOf', 'Israel Premier Tech Academy', '2026-01-01']]
[['Xavier Cañellas', 'endMemberOf', 'Java Kiwi Atlántico', '2026-01-01'], ['Matteo Badilatti', 'endMemberOf', 'Groupama– FDJ', '2026-01-01'], ['Mads Østergaard Kristensen', 'endMemberOf', 'Team ColoQuick', '2026-01-01'], ['Batuhan Özgür', 'endMemberOf', 'Sakarya BB Pro Team', '2026-01-01']]
[['Nicola Conci', 'startMemberOf', 'Alpecin– Deceuninck Development Team', '2026-05-16'], ['Lukas Grießer', 'endMemberOf', 'Tirol KTM Cycling Team', '2026-05-18'], ['Dylan Guinet', 'startMemberOf', 'Philippe Wagner Cycling', '2026-05-18'], ['Lau De Zee', 'endMemberOf', 'Aalborg Cykle-Ring', '2026-05-20']]
[['Matevž Govekar', 'endMemberOf', 'Tirol KTM Cycling Team', '2026-05-31'], ['Cooper Sayers', 'endMemberOf', 'Nero Continental', '2026-05-31'], ['Alexandre Geniez', 'endMemberOf', 'Team TotalEnergies', '2026-05-31'], ['Riccardo Carretta', 'endMemberOf', 'Work Service– Vitalcare– Dynatek', '2026-05-31']]
[['Lukas Sulaj Kloppenborg', 'endMemberOf', 'Holbæk Cykelsport', '2026-06-30'], ['Lucas Pihl Gaihede', 'startMemberOf', 'Klampenborg Cc', '2026-07-01'], ['Lukas Sulaj Kloppenborg', 'startMemberOf', 'Restaurant Suri– Carl Ras', '2026-07-01'], ['Tim Wollenberg', 'endMemberOf', 'Maloja Pushbikers', '2026-07-07']]
[['Darel Christopher', 'startMemberOf', 'Nice Métropole Côte d\' Azur', '2026-07-11'], ['Žiga Horvat', 'endMemberOf', 'Adria Mobil ( cycling team)', '2026-07-13'], ['Dario Alvarez', 'endMemberOf', 'Sindicato de Empleados Publicos de San Juan', '2026-07-13'], ['Dominik Górak', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2026-07-14']]
[['Marceli Bogusławski', 'endMemberOf', 'HRE Mazowsze Serce Polski', '2026-07-31'], ['Alex Howes', 'endMemberOf', 'EF Education– EasyPost', '2026-07-31'], ['Valentin Retailleau', 'endMemberOf', 'Ag2R Citroën U23 Team', '2026-07-31'], ['Keegan Hornblow', 'endMemberOf', 'Team Smartdry', '2026-07-31']]
[['Louis Barré', 'endMemberOf', 'CIC U Nantes Atlantique', '2026-07-31'], ['Arthur Kluckers', 'endMemberOf', 'Leopard TOGT Pro Cycling', '2026-07-31'], ['Maximilien Juillard', 'endMemberOf', 'Vc Villefranche Beaujolais', '2026-07-31'], ['Almudena Montalvo', 'endMemberOf', 'Soltec Team', '2026-07-31']]
[['Mattéo Vercher', 'endMemberOf', 'Vendée U', '2026-07-31'], ['Anders Foldager', 'endMemberOf', 'Biesse Arvedi', '2026-07-31'], ['Gleb Syritsa', 'endMemberOf', 'Lokosphinx', '2026-07-31'], ['Toon Clynhens', 'endMemberOf', 'Soudal– Quick-Step Devo Team', '2026-07-31']]
[['Thomas Gloag', 'endMemberOf', 'Trinity Racing', '2026-07-31'], ['Charles-Étienne Chrétien', 'endMemberOf', 'Team Ecoflo Chronos', '2026-07-31'], ['Sebastián Henao', 'endMemberOf', 'Astana Qazaqstan Team', '2026-07-31'], ['Fran Miholjević', 'endMemberOf', 'Cycling Team Friuli ASD', '2026-07-31']]
[['Ewen Costiou', 'endMemberOf', 'Côtes D U0027 Armor-Marie Morin', '2026-07-31'], ['Barry Miller', 'endMemberOf', 'Java Kiwi Atlántico', '2026-07-31'], ['Zoe Bäckstedt', 'endMemberOf', 'Tormans Cx Team', '2026-07-31'], ['Mikel Retegi', 'endMemberOf', 'Lizarte', '2026-07-31']]
[['Tom Dumoulin', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2026-08-15'], ['Peter Asbjørn Hansen', 'endMemberOf', 'Team Herning Ck Elite', '2026-08-19'], ['Elmar Reinders', 'endMemberOf', 'Riwal Cycling Team', '2026-08-21'], ['Jess Pratt', 'startMemberOf', 'Torelli Assure', '2026-08-27']]
[['Anna Kiesenhofer', 'endMemberOf', 'Soltec Team', '2026-09-12'], ['Toon Aerts', 'endMemberOf', 'Baloise Trek Lions', '2026-09-14'], ['Renus Uhiriwe', 'startMemberOf', 'ProTouch', '2026-09-19'], ['Joris Nieuwenhuis', 'endMemberOf', 'Team DSM ( men\' s team)', '2026-09-30']]
[['Sebastian Kolze Changizi', 'endMemberOf', 'Cofidis ( cycling team)', '2026-12-31'], ['Nolann Mahoudo', 'endMemberOf', 'B& B Hotels– KTM', '2026-12-31'], ['Nino De Jong', 'endMemberOf', 'Hagens Berman Axeon', '2026-12-31'], ['Florentin Lecamus-Lambert', 'endMemberOf', 'Cofidis ( cycling team)', '2026-12-31']]
[['Ella Wyllie', 'endMemberOf', 'Parkhotel Valkenburg Cycling Team', '2026-12-31'], ['Axel Narbonne-Zuccarelli', 'endMemberOf', 'Nice Métropole Côte d\' Azur', '2026-12-31'], ['Alessandro Fedeli', 'endMemberOf', 'Eolo– Kometa', '2026-12-31'], ['Andoni López De Abetxuko', 'endMemberOf', 'Caja Rural– Seguros RGA', '2026-12-31']]
[['Samuel Kováč', 'endMemberOf', 'Dukla Banská Bystrica ( cycling team)', '2026-12-31'], ['Reinardt Janse van Rensburg', 'endMemberOf', 'Lotto– Dstny', '2026-12-31'], ['Karl Hjøllund Klinge', 'endMemberOf', 'Team ColoQuick', '2026-12-31'], ['Ariya Phounsavath', 'endMemberOf', 'Thailand Continental Cycling Team', '2026-12-31']]
[['Paul Double', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2026-12-31'], ['Ewen Costiou', 'endMemberOf', 'Arkéa– Samsic', '2026-12-31'], ['Florian Lipowitz', 'endMemberOf', 'Bora– Hansgrohe', '2026-12-31'], ['Thibau Nys', 'endMemberOf', 'Trek– Segafredo ( men\' s team)', '2026-12-31']]
[['Nepomuk Roth', 'endMemberOf', 'Tirol KTM Cycling Team', '2026-12-31'], ['Thomas Gachignard', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2026-12-31'], ['Chris Lawless', 'endMemberOf', 'Team TotalEnergies', '2026-12-31'], ['Davide De Pretto', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-12-31']]
[['Fran Miholjević', 'endMemberOf', 'Team Bahrain Victorious', '2026-12-31'], ['Darel Christopher', 'endMemberOf', 'Nice Métropole Côte d\' Azur', '2026-12-31'], ['Matteo Malucelli', 'endMemberOf', 'China Glory Continental Cycling Team', '2026-12-31'], ['Yulduz Hashimi', 'endMemberOf', 'Valcar– Travel & Service', '2026-12-31']]
[['Anders Foldager', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-12-31'], ['Kirstine Frida Rysbjerg Munk', 'endMemberOf', 'Team Nyt Syn By Fialla Powered By Extreme', '2026-12-31']]
[['Clément Chéroux', 'endWorksFor', 'Museum of Modern Art', '2026-01-01'], ['Clara Kim', 'endWorksFor', 'Tate Modern', '2026-01-01'], ['Caroline Campbell ( museum director)', 'endWorksFor', 'National Gallery', '2026-01-01'], ['Maarten Heerlien', 'endWorksFor', 'Rijksmuseum', '2026-02-01']]
