[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Seema Mohapatra', 'endWorksFor', 'Indiana University– Purdue University Indianapolis', '2022-01-01'], ['Miquel Strubell I Trueta', 'startAward', '', '2022-01-01'], ['Joshua Katz ( classicist)', 'endWorksFor', 'Princeton University', '2022-01-01'], ['Valeriy Moskovets', 'endWorksFor', 'National University Of Internal Affairs', '2022-01-01']]
[['Randall Anthony Smith', 'endWorksFor', 'Muhlenberg College', '2022-01-01'], ['Julio Baumgarten', 'endWorksFor', 'State University of Santa Cruz', '2022-01-01'], ['James Owen Ryan', 'endWorksFor', 'Carleton College', '2022-01-01'], ['Corrado Carta', 'endWorksFor', 'TU Dresden', '2022-01-01']]
[['Antoni Escarré Esteve', 'endMemberOf', 'Socialist Party of the Valencian Country', '2022-01-01'], ['Sergei Guriev', 'startMemberOf', 'Institut Universitaire de France', '2022-01-01'], ['Tonia Sutherland', 'endWorksFor', 'University of Hawaiʻi at Mānoa', '2022-01-01'], ['Alberto Barbieri ( academic)', 'endWorksFor', 'University of Buenos Aires', '2022-01-01']]
[['Francisco Mangado', 'startAward', 'Gold Medal of Merit in the Fine Arts', '2022-01-01'], ['Christopher Jackson', 'endWorksFor', 'Muhlenberg College', '2022-01-01'], ['Yury Ramanouski', 'endWorksFor', 'Yanka Kupala State University of Grodno', '2022-01-01'], ['Aleida Assmann', 'startAward', 'Knight Commander U0027 S Cross Of The Order Of Merit Of The Federal Republic Of Germany generic instance', '2022-01-01']]
[['Zoya Tratsiak', 'startAcademicDegree', 'Doctor Of Sciences In Philology generic instance', '2022-01-01'], ['Zbigniew Rau', 'startAward', 'Order Of Merit U0028 Ukraine U0029 U002C 1St Class', '2022-01-01'], ['Anton Zeilinger', 'startAward', 'Doctor Honoris Causa Of The University Of Innsbruck generic instance', '2022-01-01'], ['Edith Hall', 'startAward', 'Honorary Doctor Of Durham University generic instance', '2022-01-01']]
[['Daniel A U002E Machiela', 'endWorksFor', 'McMaster University', '2022-01-01'], ['Abdon Atangana', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Michel Autrand', 'endSpouse', 'Françoise Autrand', '2022-01-01'], ['Laurence Boisson de Chazournes', 'startWorksFor', 'Collège de France', '2022-01-01']]
[['Maryna Viazovska', 'startAward', 'Order Of Merit U0028 Ukraine U0029 U002C 1St Class', '2022-01-01'], ['Marieke Van Everdingen', 'endWorksFor', 'Maastricht University', '2022-01-01'], ['Alex Streim', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2022-01-01'], ['Marc-André Selosse', 'startAward', 'Officer Of The Order Of Agricultural Merit generic instance', '2022-01-01']]
[['Titia de Lange', 'startAward', 'Foreign Member Of The Royal Society generic instance', '2022-01-01'], ['Fritz Gesztesy', 'startAward', 'Honorary Doctor Of The Technical University Of Graz generic instance', '2022-01-01'], ['Benjamin List', 'startAward', 'Knight Commander U0027 S Cross Of The Order Of Merit Of The Federal Republic Of Germany generic instance', '2022-01-01'], ['Christopher Clark', 'startAward', 'Knight Commander U0027 S Cross Of The Order Of Merit Of The Federal Republic Of Germany generic instance', '2022-01-01']]
[['Maurizio Burla', 'endWorksFor', 'ETH Zurich', '2022-01-01'], ['Nataliya Sherstyuk', 'startAcademicDegree', 'Doctor Of Sciences In Physics And Mathematics generic instance', '2022-01-01'], ['Silvia Knobloch-Westerwick', 'endWorksFor', 'Ohio State University', '2022-01-01'], ['Philippe Sands', 'startAward', 'Honorary Doctor Of The University Of Liège generic instance', '2022-01-01']]
[['Jan Assmann', 'startAward', 'Knight Commander U0027 S Cross Of The Order Of Merit Of The Federal Republic Of Germany generic instance', '2022-01-01'], ['Helen Stokes-Lampard', 'startAward', 'Dame Commander Of The Order Of The British Empire generic instance', '2022-01-01'], ['Isabel Menéres Campos', 'endMemberOf', 'Porto Deontology Council Of The Portuguese Bar Association', '2022-01-01'], ['Robert Fisher U002C Jr U002E ', 'endWorksFor', 'Idaho State University', '2022-01-01']]
[['Judith De Jong', 'endWorksFor', 'Maastricht University', '2022-01-01'], ['John A. Agnew', 'startMemberOf', 'American Academy of Arts and Sciences', '2022-01-01'], ['Magdalena Koch', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2022-01-04'], ['Marc De Cacqueray-Valmenier', 'endMemberOf', 'Zouaves Paris', '2022-01-05']]
[['Ana Estela Haddad', 'endWorksFor', 'University of São Paulo', '2022-01-24'], ['Sarah Springman', 'endWorksFor', 'ETH Zurich', '2022-01-31'], ['Iris Eisenberger', 'endWorksFor', 'University of Graz', '2022-02-01'], ['Andrew Seaman', 'endWorksFor', 'Canterbury Christ Church University', '2022-02-01']]
[['Jacques Azéma', 'endMemberOf', 'Academy of Lyon', '2022-02-09'], ['Caroline Pauwels', 'endWorksFor', 'Vrije Universiteit Brussel', '2022-03-01'], ['Marie Lin', 'endSpouse', 'Koeh Hūi-Jī', '2022-03-07'], ['Vera Malygina', 'startAcademicDegree', 'Doctor Of Sciences In Physics And Mathematics generic instance', '2022-03-15']]
[['Pauline Kleingeld', 'startAward', 'Knight Of The Order Of The Netherlands Lion generic instance', '2022-03-31'], ['Catholijn Jonker', 'startAward', 'Knight Of The Order Of The Netherlands Lion generic instance', '2022-03-31'], ['Kornelis Blok', 'startAward', 'Knight Of The Order Of The Netherlands Lion generic instance', '2022-04-07'], ['Elisenda Paluzie', 'endMemberOf', 'Council for the Republic', '2022-04-08']]
[['Fabrice d\' Almeida', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-04-15'], ['Louise Fresco', 'startAward', 'Commander Of The Order Of The Netherlands Lion generic instance', '2022-04-21'], ['Marianne Sloet Van Oldruitenborgh-Oosterbaan', 'startAward', 'Officer Of The Order Orange-Nassau', '2022-04-21'], ['Agnieszka Perkowska-Ptasińska', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2022-04-25']]
[['Sergej Kopčák', 'startAward', 'Ľudovít Štúr Order 2Nd Class', '2022-05-08'], ['Marcin Czepelak', 'startAward', 'Grand Officer Of The Order Of Orange-Nassau generic instance', '2022-05-20'], ['Marie-Josée Dumont', 'endWorksFor', 'McGill University', '2022-05-20'], ['Eric M U002E Moormann', 'startAward', 'Officer Of The Order Orange-Nassau', '2022-05-30']]
[['Michael Woodley', 'endWorksFor', 'Vrije Universiteit Brussel', '2022-06-01'], ['Magdalena Żemojtel-Piotrowska', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2022-06-01'], ['Haim Be\' er', 'startAward', 'Honorary Doctor Of The Hebrew University Of Jerusalem generic instance', '2022-06-01'], ['Ella Henry', 'startAward', 'Member Of The New Zealand Order Of Merit', '2022-06-06']]
[['Judy McGregor', 'startAward', 'Dame Companion Of The New Zealand Order Of Merit U200E generic instance', '2022-06-06'], ['Caroline Pauwels', 'startAward', 'Honorary Rector Of The Vrije Universiteit Brussel', '2022-06-16'], ['Janine Mossuz-Lavau', 'startAward', 'Commander Of The National Order Of Merit generic instance', '2022-06-20'], ['William Christie ( musician)', 'startAward', 'Grand Cross Of The National Order Of Merit generic instance', '2022-06-20']]
[['Frank Bournois', 'startAward', 'Commander Of The National Order Of Merit generic instance', '2022-06-20'], ['Jie Bai', 'endWorksFor', 'Harvard Kennedy School', '2022-06-30'], ['Leslie Topp', 'endWorksFor', 'Queen\' s University at Kingston', '2022-07-01'], ['Sylwia Mildner-Szkudlarz', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2022-07-04']]
[['Sayyid U002C Shafī', 'endMemberOf', 'Academy of the Arabic Language in Cairo', '2022-07-08'], ['Béatrice Barbusse', 'startAward', 'Officer Of The Legion Of Honour', '2022-07-13'], ['Françoise Gaill', 'startAward', 'Grand Officer Of The Legion Of Honour generic instance', '2022-07-13'], ['Alain Fischer', 'startAward', 'Grand Officer Of The Legion Of Honour generic instance', '2022-07-13']]
[['Gilles Kepel', 'startAward', 'Officer Of The Legion Of Honour', '2022-07-13'], ['Sadaoki Furui', 'startAward', 'The Order Of The Sacred Treasure U002C Gold And Silver Star', '2022-07-31'], ['Lothar H. Wieler', 'startAward', 'Honorary Doctor Of The University Of Munich generic instance', '2022-08-01'], ['Dorothea Kolossa', 'endWorksFor', 'Ruhr University Bochum', '2022-09-01']]
[['Markus Krah', 'endWorksFor', 'University of Potsdam', '2022-09-30'], ['Anne-Marie Adam', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17'], ['Mathieu Potte-Bonneville', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17'], ['Francis Duranthon', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17']]
[['Pierre Nora', 'startAward', 'Grand Cross Of The National Order Of Merit generic instance', '2022-11-23'], ['Anne Fagot-Largeault', 'startAward', 'Grand Officer Of The National Order Of Merit generic instance', '2022-11-23'], ['Odile Eisenstein', 'startAward', 'Commander Of The National Order Of Merit generic instance', '2022-11-23'], ['Pope Benedict XVI', 'endHomeLocation', 'Mater Ecclesiae Monastery', '2022-12-01']]
[['João Peschanski', 'endWorksFor', 'Faculdade Cásper Líbero', '2022-12-22'], ['Janine Cossy', 'startAward', 'Officer Of The Legion Of Honour', '2022-12-29'], ['Anne L\' Huillier', 'startAward', 'Officer Of The Legion Of Honour', '2022-12-29'], ['Albert Fert', 'startAward', 'Grand Officer Of The Legion Of Honour generic instance', '2022-12-29']]
[['Michael Marmot', 'startAward', 'Companion Of Honour generic instance', '2022-12-30'], ['Partha Dasgupta', 'startAward', 'Knight Grand Cross Of The Order Of The British Empire generic instance', '2022-12-30'], ['Christine Rubie-Davies', 'startAward', 'Member Of The New Zealand Order Of Merit', '2022-12-31'], ['Farah Palmer', 'startAward', 'Dame Companion Of The New Zealand Order Of Merit U200E generic instance', '2022-12-31']]
[['Mika Hashizume', 'endMemberOf', 'Intersection ( group)', '2022-01-01'], ['Olivia Rodrigo', 'startAward', 'Billboard Music Award for Top Female Artist generic instance', '2022-01-01'], ['Grigory Leps', 'startAward', 'People\' s Artist of Russia generic instance', '2022-01-01'], ['Igor Matvienko', 'startAward', 'People\' s Artist of Russia generic instance', '2022-01-01']]
[['Doja Cat', 'startAward', 'Grammy Award for Best Pop Duo u002F Group Performance generic instance', '2022-01-01'], ['Barry Gibb', 'startAward', 'Honorary Companion Of The Order Of Australia generic instance', '2022-01-27']]
[['Camille Penchinat', 'startMemberOf', 'Société D U0027 Histoire De Nîmes Et Du Gard', '2022-01-01'], ['Guilhem Fabre', 'endMemberOf', 'Académie De Nîmes', '2022-01-01'], ['Brigitte Maurin', 'endMemberOf', 'Académie De Nîmes', '2022-01-01']]
[['Mai Thi Nguyen-Kim', 'startAward', 'Theodor Heuss Medal', '2022-01-01'], ['Jean-Marie Tarascon', 'startAward', 'CNRS Gold Medal', '2022-01-01'], ['Joseph Francisco', 'startAward', 'Willard Gibbs Award', '2022-01-01'], ['John Warner ( chemist)', 'startAward', 'August Wilhelm Von Hofmann Medal', '2022-01-01']]
[['Gregory Fu', 'startAward', 'Ryoji Noyori Prize', '2022-01-01'], ['Gabriela Schlau-Cohen', 'startAward', 'ACS Award in Pure Chemistry generic instance', '2022-01-01'], ['Samuel I. Stupp', 'startAward', 'Ralph F U002E Hirschmann Award In Peptide Chemistry', '2022-01-01'], ['Qin Dahe', 'startAward', 'Igu Lauréat D U2019 Honneur', '2022-01-01']]
[['Karl Barry Sharpless', 'startAward', 'Sir Derek Barton Gold Medal', '2022-01-01'], ['Pavel Hobza', 'startAward', 'Neuron Prize', '2022-01-01'], ['David L U002E Allara', 'startAward', 'Kavli Prize In Nanoscience', '2022-01-01'], ['Anne McCoy', 'startAward', 'Garvan– Olin Medal', '2022-01-01']]
[['Naohiko Yoshikai', 'startAward', 'Mukaiyama Award', '2022-01-01'], ['Timothy J U002E Donohoe', 'startAward', 'Tilden Prize', '2022-01-01'], ['Richmond Sarpong', 'startAward', 'American Chemical Society Award For Creative Work In Synthetic Organic Chemistry generic instance', '2022-01-01'], ['Martin Moskovits', 'startAward', 'Oesper Award', '2022-01-01']]
[['David R. Liu', 'startAward', 'King Faisal International Prize In Medicine', '2022-01-01'], ['Daniel Lincot', 'endWorksFor', 'Collège de France', '2022-01-01'], ['Carol V. Robinson', 'startAward', 'Louis-Jeantet Prize for Medicine', '2022-01-01'], ['Huijun Zhao', 'startAward', 'Fellow Of The Australian Academy Of Science', '2022-01-01']]
[['Richard Robson ( chemist)', 'startAward', 'Fellow of the Royal Society generic instance', '2022-01-01'], ['Peter Bruce', 'startAward', 'Longstaff Prize', '2022-01-01'], ['Gillian Reid', 'startAward', 'Fellowship of the Royal Society of Edinburgh generic instance', '2022-01-01'], ['Graeme Moad', 'startAward', 'Companion Of The Order Of Australia generic instance', '2022-01-26']]
[['Wing Ying Chow', 'endWorksFor', 'Cea Grenoble', '2022-01-31'], ['Evgeny A U002E Pidko', 'endWorksFor', 'ITMO University', '2022-02-01'], ['Christian Hartinger', 'startAward', 'Fellow Of The Royal Society Te Apārangi', '2022-03-17'], ['Andrew Harrison', 'startAward', 'Fellow of the Royal Society generic instance', '2022-05-10']]
[['Peter Hore ( chemist)', 'startAward', 'Fellow of the Royal Society generic instance', '2022-05-10'], ['Rachel O\' Reilly', 'startAward', 'Fellow of the Royal Society generic instance', '2022-05-10'], ['Fiona Powrie', 'startAward', 'Dame Commander Of The Order Of The British Empire generic instance', '2022-06-01'], ['Marco Moroni', 'endWorksFor', 'University of Insubria', '2022-09-30']]
[['Škoda Js', 'endOwnedBy', 'United Heavy Machinery', '2022-01-01'], ['Suunto', 'endOwnedBy', 'Amer Sports', '2022-01-01'], ['Pacific Architects and Engineers', 'endOwnedBy', 'Platinum Equity', '2022-01-01'], ['Trezor Company', 'endOwnedBy', 'Satoshilabs Group', '2022-01-01']]
[['Czech Airlines', 'endOwnedBy', 'Smartwings', '2022-04-01'], ['Sozvezdie', 'startLeader', '', '2022-10-05'], ['Sozvezdie', 'endLeader', '', '2022-10-05']]
[['Diébédo Francis Kéré', 'startAward', 'Pritzker Architecture Prize', '2022-01-01'], ['Floris Alkemade', 'startAward', 'Knight Of The Order Of The Netherlands Lion generic instance', '2022-02-24'], ['India Mahdavi', 'startAward', 'Commandeur Des Arts Et Des Lettres U200E generic instance', '2022-04-15'], ['Dorte Mandrup', 'startAward', 'Knight Of The Order Of The Dannebrog generic instance', '2022-04-16']]
[['Élise Boucharlat', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Dominique Garcia', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Bertrand Fonck', 'startAward', 'Officer Of Arts And Letters generic instance', '2022-04-15'], ['Anna Wodzińska', 'startAward', 'Officer Of The Order Of Polonia Restituta generic instance', '2022-05-25']]
[['Christian Sapin', 'startAward', 'Chevalier Des Arts Et Des Lettres generic instance', '2022-10-17'], ['John P U002E Salvatore', 'endWorksFor', 'Plymouth City Council', '2022-12-01'], ['Michel L U0027 Hour', 'startAward', 'Knight Of The Legion Of Honour generic instance', '2022-12-29']]
[['Aleksandra Kowalska', 'endHomeLocation', 'Hadsten', '2022-01-01'], ['Jeppe Aaskov Pallesen', 'endHomeLocation', 'Hadsten', '2022-01-01'], ['Robyn Corrigan', 'startHomeLocation', 'Kaitaia', '2022-06-06'], ['Wini Solomon', 'startHomeLocation', 'Riverton u002F Aparima', '2022-06-06']]
[['Lorraine Scanlon', 'startHomeLocation', 'Westport, New Zealand', '2022-06-06'], ['Anne Urlwin', 'startHomeLocation', 'Wānaka', '2022-06-06'], ['David Ayers', 'startHomeLocation', 'Rangiora', '2022-06-06'], ['Daphne Rickson', 'startHomeLocation', 'Paekākāriki', '2022-06-06']]
[['John T U002E Darby', 'startHomeLocation', 'Wānaka', '2022-12-31'], ['Bj Clark', 'startHomeLocation', 'Kaiapoi', '2022-12-31'], ['Zoi Sadowski-Synnott', 'startHomeLocation', 'Wānaka', '2022-12-31'], ['Hamish Bond', 'startHomeLocation', 'Durham, North Carolina', '2022-12-31']]
[['Corey Peters ( alpine skier)', 'startHomeLocation', 'Wānaka', '2022-12-31'], ['Kevin McComb', 'startHomeLocation', 'Whakatāne', '2022-12-31'], ['Greg Sherley', 'startHomeLocation', 'Paraparaumu', '2022-12-31'], ['Nico Porteous', 'startHomeLocation', 'Wānaka', '2022-12-31']]
[['Cathleen Crudden', 'startAward', 'Alfred Bader Award', '2022-01-01'], ['Barney S. Graham', 'startAward', 'Maxwell Finland Award', '2022-01-01'], ['Katalin Karikó', 'startAward', 'Louis-Jeantet Prize for Medicine', '2022-01-01'], ['Roger John Barlow', 'startAward', 'Lise Meitner Medal And Prize', '2022-01-01']]
[['Liz Dennis', 'startAward', 'Ruby Payne-Scott Medal And Lecture', '2022-01-01'], ['Mary Munson', 'endHomeLocation', 'Campbellton, New Brunswick', '2022-01-01'], ['Sandra Knapp', 'startAward', 'David Fairchild Medal', '2022-01-01'], ['Hyun Woo Kim', 'endWorksFor', 'Korea Research Institute of Chemical Technology', '2022-01-01']]
[['Tess Tournier', 'endWorksFor', 'Tilburg University', '2022-01-01'], ['Yee-Sin Leo', 'startAward', 'Asia U0027 S Most Influential Singapore', '2022-01-01'], ['Lisa R U002E Gaddis', 'startAward', 'Eugene Shoemaker Distinguished Scientist Medal', '2022-01-01'], ['Özlem Türeci', 'startAward', 'Paul Ehrlich and Ludwig Darmstaedter Prize', '2022-01-01']]
[['Dorthe Dahl-Jensen', 'startAward', 'Carlsberg Foundation Research Prize', '2022-01-01'], ['Francesca Chiaromonte', 'startAward', 'Fellow Of The Institute Of Mathematical Statistics', '2022-01-01'], ['Jessica Allen', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Cheng Qian', 'endWorksFor', 'Aston University', '2022-01-01']]
[['Anežka Kuzmičová', 'startAward', 'Neuron Prize For Young Promising Scientists', '2022-01-01'], ['Dominic M Bowman', 'startAward', 'Henri Vanderlinden Award', '2022-01-01'], ['Martin R U002E Ellegaard', 'endWorksFor', 'Norwegian University of Science and Technology', '2022-01-01'], ['Cynthia Rudin', 'startAward', 'Guggenheim Fellowship generic instance', '2022-01-01']]
[['Ewan Pearson', 'startAward', 'Fellowship of the Royal Society of Edinburgh generic instance', '2022-01-01'], ['Nam Vu', 'endWorksFor', 'Florida State University', '2022-01-01'], ['O-Joung Kwon', 'endWorksFor', 'Incheon National University', '2022-01-01'], ['Danna Freedman', 'startAward', 'MacArthur Fellows Program', '2022-01-01']]
[['Katherine Anne Wilson', 'startAward', 'British Empire Medal', '2022-01-01'], ['Suneetha Ramani Moonesinghe', 'endWorksFor', 'Royal College of Anaesthetists', '2022-01-01'], ['Julia King, Baroness Brown of Cambridge', 'startAward', 'Honorary Fellow Of The Learned Society Of Wales', '2022-01-01'], ['Evan E. Eichler', 'startAward', 'Time 100', '2022-01-01']]
[['Lukasz Kuryk', 'endWorksFor', 'Targovax U0028 Finland U0029 ', '2022-01-01'], ['Kun Chen', 'startAward', 'Fellow Of The American Statistical Association', '2022-01-01'], ['Mamusu Kamanda', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Manyuan Long', 'startAward', 'Guggenheim Fellowship generic instance', '2022-01-01']]
[['Andrew Emili', 'endWorksFor', 'Boston University', '2022-01-01'], ['Filippos Triposkiadis', 'endWorksFor', 'University of Thessaly', '2022-01-01'], ['Mitra Safavi-Naeini', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Vladislav V U002E Khrustalev', 'startAcademicDegree', 'Doctor Of Sciences In Medicine generic instance', '2022-01-01']]
[['Isabel Fernández-Felipe', 'endWorksFor', 'Jaume I University', '2022-01-01'], ['Mark A. Johnson', 'startAward', 'E. Bright Wilson Award in Spectroscopy', '2022-01-01'], ['Howard Thomas', 'startAward', 'Fellow Of The Learned Society Of Wales', '2022-01-01'], ['Claire Wyart', 'startAward', 'Richard Lounsbery Award', '2022-01-01']]
[['Mutiu Idowu Kazeem', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Sandra Duharcourt', 'startAward', 'CNRS Silver Medal', '2022-01-01'], ['Jessica Buck', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Igor Aleiner', 'startAward', 'Lars Onsager Prize', '2022-01-01']]
[['Adele K Morrison', 'startAward', 'Malcolm Mcintosh Prize For Physical Scientist Of The Year', '2022-01-01'], ['Anne Dell', 'startAward', 'Corresponding Member Of The Australian Academy Of Science', '2022-01-01'], ['Jacob Otter', 'endWorksFor', 'Auckland Council', '2022-01-01'], ['Jonas Zaman', 'endWorksFor', 'Research Foundation – Flanders ( FWO)', '2022-01-01']]
[['Abdul Raheem', 'endWorksFor', 'East China University of Science and Technology', '2022-01-01'], ['John Lin', 'startAward', 'Earth Leadership Program Fellow', '2022-01-01'], ['Donald B. Dingwell', 'startAward', 'Willet G. Miller Medal', '2022-01-01'], ['Shelby Hebert', 'endWorksFor', 'Texas A& M University', '2022-01-01']]
[['Thoralf Gerstmann', 'endWorksFor', 'Fraunhofer Institute For Machine Tools And Forming Technology', '2022-01-01'], ['John Swinton ( theologian)', 'startAward', 'Fellow of the British Academy', '2022-01-01'], ['Carol J U002E West', 'startAward', 'Allan Mere Award', '2022-01-01'], ['David Weiss', 'startAward', 'Davisson– Germer Prize in Atomic or Surface Physics', '2022-01-01']]
[['Adugna Negussie Gudeta', 'endWorksFor', 'Lund University', '2022-01-01'], ['Tulio de Oliveira', 'startAward', 'Time 100', '2022-01-01'], ['Monika S U002E Schmid', 'startAward', 'Fellow of the British Academy', '2022-01-01'], ['Jovana V U002E Milic', 'startMemberOf', 'Global Young Academy', '2022-01-01']]
[['Michael L Neidig', 'endWorksFor', 'University of Rochester', '2022-01-01'], ['Cheryl Dissanayake', 'startAward', 'Fellow Of The Academy Of The Social Sciences In Australia', '2022-01-01'], ['Melanie Finch', 'endWorksFor', 'Monash University', '2022-01-01'], ['Adriano Rutz', 'endMemberOf', 'Swiss Chemical Society', '2022-01-01']]
[['Darsh T U002E Wasan', 'endWorksFor', 'Illinois Institute of Technology', '2022-01-01'], ['Muhammad Ali Imran', 'startAward', 'Fellowship of the Royal Society of Edinburgh generic instance', '2022-01-01'], ['Jessica Danaher', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['', 'startAward', 'Order Of Salavat Yulayev', '2022-01-01']]
[['Cléa Dubrou', 'endWorksFor', 'Assistance Publique-Hôpitaux De Marseille', '2022-01-01'], ['Frank W R Van Gool', 'endWorksFor', 'Tilburg University', '2022-01-01'], ['Aryo Makko', 'endMemberOf', 'Young Academy Of Sweden', '2022-01-01'], ['Cayelan C U002E Carey', 'startAward', 'Earth Leadership Program Fellow', '2022-01-01']]
[['David P U002E Hamilton', 'startAward', 'Baldi Memorial Award', '2022-01-01'], ['Ruth King ( statistician)', 'startAward', 'Barnett Award', '2022-01-01'], ['Mutiu Idowu Kazeem', 'endMemberOf', 'Nigerian Young Academy', '2022-01-01'], ['Kylie R U002E Catchpole', 'startAward', 'Fellow Of The Australian Academy Of Technological Sciences And Engineering', '2022-01-01']]
[['Laura Tîrlă', 'endWorksFor', 'Emil Racoviță Institute Of Speleology', '2022-01-01'], ['Wendy H U002E Yang', 'endAward', 'Ecological Society Of America Early Career Fellows', '2022-01-01'], ['Muhammad Arif', 'endWorksFor', 'Nanjing University of Science and Technology', '2022-01-01'], ['Bin Yan', 'endWorksFor', 'Guizhou University', '2022-01-01']]
[['Peng Wei', 'startAward', 'Fellow Of The American Statistical Association', '2022-01-01'], ['Olubukola O Babalola', 'startAward', 'Fellow Of The Nigerian Academy Of Science', '2022-01-01'], ['Erika Marín-Spiotta', 'startAward', 'Fellow Of The Ecological Society Of America', '2022-01-01'], ['Simone Braeuer', 'endWorksFor', 'Ghent University', '2022-01-01']]
[['Raffaella Demichelis', 'startAward', 'Houtermans Award', '2022-01-01'], ['Jacek Strojny', 'startAward', 'Bronze Cross Of Merit generic instance', '2022-01-01'], ['Martin J. Blaser', 'startAward', 'Honorary Doctor Of The University Of Bordeaux generic instance', '2022-01-01'], ['György Bagdy', 'startAward', 'Széchenyi Prize', '2022-01-01']]
[['Emma Yhnell', 'startAward', 'Fellow Of The Learned Society Of Wales', '2022-01-01'], ['Po-Ru Loh', 'startAward', 'Overton Prize', '2022-01-01'], ['Alexandra Beaudry-Richard', 'endWorksFor', 'UCSF Medical Center', '2022-01-01'], ['Di Yu', 'startAward', 'Fellow Of The Australian Academy Of Health And Medical Sciences', '2022-01-01']]
[['John A. Church', 'startAward', 'James Cook Medal', '2022-01-01'], ['Lawrence Corey', 'startAward', 'Alexander Fleming Award', '2022-01-01'], ['Sue Ion', 'startAward', 'Honorary Fellow Of The Learned Society Of Wales', '2022-01-01'], ['Gloria Melzi', 'endWorksFor', 'University of Milan', '2022-01-01']]
[['Madhu Bhaskaran', 'startAward', 'Fellow Of The Australian Academy Of Technological Sciences And Engineering', '2022-01-01'], ['Evan J Reed', 'endWorksFor', 'Stanford University', '2022-01-01'], ['Symon M Kariuki', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Ussif Rashid Sumaila', 'startAward', 'Miroslaw Romanowski Medal', '2022-01-01']]
[['Carrie L. Partch', 'startAward', 'NAS Award in Molecular Biology', '2022-01-01'], ['Seyedmirsajad Mokhtarimousavi', 'endWorksFor', 'Florida International University', '2022-01-01'], ['Dwan Price', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Richard N U002E Henson', 'startAward', 'Fellow of the British Academy', '2022-01-01']]
[['Samuel Kosydar', 'endWorksFor', 'University of Washington', '2022-01-01'], ['Susan Sinnott', 'startAward', 'Medard W. Welch Award', '2022-01-01'], ['Catherine Plaisant', 'endAward', 'Inria International Chair', '2022-01-01'], ['Marjorie G U002E Weber', 'endAward', 'Ecological Society Of America Early Career Fellows', '2022-01-01']]
[['Jewelna Osei-Poku', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Özlem Türeci', 'startAward', 'University Teacher Of The Year', '2022-01-01'], ['Kiara Bruggeman', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Cano Cornelius Ssemakalu', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01']]
[['Bonnie Buratti', 'startAward', 'Gerard P. Kuiper Prize', '2022-01-01'], ['Jennifer C Fan Gaskin', 'endAward', 'Superstars Of Stem', '2022-01-01'], ['Samuel M Duncan', 'endWorksFor', 'University of Dundee', '2022-01-01'], ['Virginie Masserey Spicher', 'endWorksFor', 'Federal Office of Public Health', '2022-01-01']]
[['Lidia Morawska', 'startAward', 'Australian Laureate Fellowship', '2022-01-01'], ['Adina Paytan', 'startAward', 'Vladimir Ivanovich Vernadsky Medal', '2022-01-01'], ['James L U002E Burch', 'startAward', 'NASA Distinguished Public Service Medal', '2022-01-01'], ['Steven C Koetzier', 'endWorksFor', 'Erasmus MC', '2022-01-01']]
[['László Lovász', 'startAward', 'Gauss Lectureship', '2022-01-01'], ['Yunus Ahmed', 'endWorksFor', 'Utrecht University', '2022-01-01'], ['Esmael Habtamu Ali', 'endMemberOf', 'Aas Affiliates Programme', '2022-01-01'], ['Gustaf Edgren', 'endMemberOf', 'Young Academy Of Sweden', '2022-01-01']]
